pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
EURCHF,long,2020-01-07 03:50:00-05:00,1.08384,1.0839349999999999,1.0832600000000001,1.08784,2020-01-07 06:00:00-05:00,1.0854,1.085305,13.700000000000934,2.029629629630492,time_stop,1.5,0.2,1.08496,1.08406
AUDCAD,short,2020-01-08 05:00:00-05:00,0.89364,0.8935449999999999,0.89436,0.88964,2020-01-08 06:00:00-05:00,0.89382,0.893915,3.7000000000009248,0.45398773006139564,time_stop,1.5,0.2,0.89358,0.89042
NZDUSD,short,2020-01-10 03:35:00-05:00,0.66192,0.6618249999999999,0.66266,0.65792,2020-01-10 06:00:00-05:00,0.6616,0.661695,-1.2999999999985246,-0.155688622754288,time_stop,1.5,0.2,0.66198,0.66018
EURJPY,long,2020-01-10 04:00:00-05:00,121.63,121.63949999999998,121.56299999999999,122.03,2020-01-10 04:10:00-05:00,121.56299999999999,121.5535,-8.599999999998431,-1.1241830065358045,sl,1.5,0.2,121.732,121.596
EURAUD,long,2020-01-10 04:00:00-05:00,1.615,1.615095,1.61408,1.619,2020-01-10 04:20:00-05:00,1.61408,1.613985,-11.099999999999444,-1.0935960591132585,sl,1.5,0.2,1.62127,1.61532
EURCHF,long,2020-01-13 05:20:00-05:00,1.08148,1.081575,1.08094,1.08548,2020-01-13 06:00:00-05:00,1.0815,1.081405,-1.7000000000000348,-0.26771653543310114,time_stop,1.5,0.2,1.08278,1.08184
NZDUSD,short,2020-01-14 03:25:00-05:00,0.66269,0.6625949999999999,0.66353,0.65869,2020-01-14 06:00:00-05:00,0.6616,0.661695,-8.999999999999009,-0.9625668449196604,time_stop,1.5,0.2,0.66316,0.66154
USDJPY,long,2020-01-14 03:35:00-05:00,109.927,109.9365,109.875,110.32700000000001,2020-01-14 06:00:00-05:00,110.038,110.02850000000001,9.200000000001296,1.4959349593499203,time_stop,1.5,0.2,110.214,109.998
USDCHF,long,2020-01-14 04:00:00-05:00,0.96924,0.9693350000000001,0.96843,0.97324,2020-01-14 05:55:00-05:00,0.96843,0.968335,-10.000000000001119,-1.1049723756906769,sl,1.5,0.2,0.97131,0.97021
EURCHF,long,2020-01-14 04:00:00-05:00,1.07926,1.079355,1.07842,1.0832600000000001,2020-01-14 05:25:00-05:00,1.07842,1.078325,-10.300000000000864,-1.1016042780748054,sl,1.5,0.2,1.08173,1.0809
GBPJPY,long,2020-01-15 03:40:00-05:00,143.048,143.0575,142.959,143.448,2020-01-15 03:45:00-05:00,142.959,142.9495,-10.80000000000041,-1.0964467005076406,sl,1.5,0.2,143.208,143.042
EURJPY,long,2020-01-15 05:20:00-05:00,122.286,122.29549999999999,122.202,122.686,2020-01-15 06:00:00-05:00,122.44,122.43050000000001,13.500000000001933,1.443850267380014,time_stop,1.5,0.2,122.398,122.242
EURNZD,long,2020-01-16 05:05:00-05:00,1.67868,1.678775,1.6776,1.68268,2020-01-16 05:10:00-05:00,1.6776,1.677505,-12.699999999998823,-1.080851063829755,sl,1.5,0.2,1.68508,1.6806
EURNZD,long,2020-01-17 03:40:00-05:00,1.67572,1.675815,1.67468,1.67972,2020-01-17 06:00:00-05:00,1.67712,1.677025,12.099999999999334,1.0660792951540248,time_stop,1.5,0.2,1.67962,1.6756
AUDCAD,short,2020-01-17 05:45:00-05:00,0.90034,0.900245,0.90134,0.89634,2020-01-17 06:00:00-05:00,0.89961,0.8997050000000001,-5.399999999998739,-0.493150684931361,time_stop,1.5,0.2,0.90054,0.89844
EURJPY,long,2020-01-21 03:45:00-05:00,121.962,121.97149999999999,121.862,122.36200000000001,2020-01-21 06:00:00-05:00,122.174,122.16450000000002,19.300000000002626,1.7625570776258581,time_stop,1.5,0.2,122.269,121.899
NZDCHF,short,2020-01-22 03:50:00-05:00,0.63978,0.639685,0.64056,0.63578,2020-01-22 04:10:00-05:00,0.64056,0.6406550000000001,9.700000000001374,1.1085714285714967,sl,1.5,0.2,0.63962,0.63804
AUDCHF,short,2020-01-22 03:50:00-05:00,0.66393,0.663835,0.66484,0.65993,2020-01-22 04:10:00-05:00,0.66484,0.664935,11.000000000001009,1.0945273631841435,sl,1.5,0.2,0.66398,0.66184
CHFJPY,long,2020-01-23 03:55:00-05:00,113.132,113.1415,113.03399999999999,113.53200000000001,2020-01-23 04:00:00-05:00,113.03399999999999,113.0245,-11.699999999999022,-1.0883720930231475,sl,1.5,0.2,113.458,113.17
NZDCHF,short,2020-01-23 05:15:00-05:00,0.63892,0.638825,0.63946,0.63492,2020-01-23 05:35:00-05:00,0.63946,0.6395550000000001,7.300000000001194,1.149606299212692,sl,1.5,0.2,0.63876,0.63748
