pair,direction,entry_time,entry_price_raw,entry_price,stop,tp,exit_time,exit_price_raw,exit_price,pnl_pips,pnl_r,reason_exit,spread,slippage,session_ref_high,session_ref_low
EURUSD,long,2024-07-01 04:15:00-04:00,1.07572,1.075815,1.07486,1.07972,2024-07-01 05:40:00-04:00,1.075815,1.07572,-0.9499999999995623,-0.099476439790526,sl,1.5,0.2,1.07551,1.07524
GBPUSD,short,2024-07-03 04:05:00-04:00,1.269,1.268905,1.26992,1.265,2024-07-03 04:30:00-04:00,1.26992,1.270015,11.099999999999444,1.0935960591132585,sl,1.5,0.2,1.26934,1.26814
GBPUSD,short,2024-07-08 05:25:00-04:00,1.28136,1.281265,1.28226,1.27736,2024-07-08 05:45:00-04:00,1.28226,1.282355,10.899999999998133,1.095477386934643,sl,1.5,0.2,1.28191,1.28028
EURUSD,long,2024-07-09 05:40:00-04:00,1.0825,1.082595,1.08142,1.0865,2024-07-09 06:00:00-04:00,1.08224,1.0821450000000001,-4.499999999998394,-0.38297872340414274,time_stop,1.5,0.2,1.08334,1.08193
GBPUSD,short,2024-07-10 04:20:00-04:00,1.27944,1.279345,1.28032,1.27544,2024-07-10 05:15:00-04:00,1.28032,1.2804149999999999,10.699999999999044,1.0974358974358578,sl,1.5,0.2,1.27948,1.27842
GBPUSD,short,2024-07-16 04:05:00-04:00,1.29658,1.296485,1.29739,1.29258,2024-07-16 06:00:00-04:00,1.29684,1.296935,4.499999999998394,0.4972375690606325,time_stop,1.5,0.2,1.297,1.29615
EURUSD,long,2024-07-18 03:45:00-04:00,1.09308,1.093175,1.09252,1.09708,2024-07-18 06:00:00-04:00,1.09293,1.092835,-3.4000000000000696,-0.5190839694656023,time_stop,1.5,0.2,1.0941,1.09322
EURUSD,long,2024-07-19 03:25:00-04:00,1.0888,1.088895,1.08808,1.0928,2024-07-19 04:00:00-04:00,1.08808,1.087985,-9.099999999999664,-1.116564417177859,sl,1.5,0.2,1.09018,1.08863
EURUSD,long,2024-07-26 04:10:00-04:00,1.08528,1.085375,1.08439,1.08928,2024-07-26 04:30:00-04:00,1.08439,1.084295,-10.799999999999699,-1.0964467005075684,sl,1.5,0.2,1.08606,1.08469
GBPUSD,short,2024-07-26 05:00:00-04:00,1.28652,1.2864250000000002,1.2874,1.28252,2024-07-26 06:00:00-04:00,1.28688,1.286975,5.499999999998284,0.5641025641024181,time_stop,1.5,0.2,1.28654,1.28532
