date,teams,season,HM_total,Book_total,season_avg_total,edge_points,final_total,result,profit_units
2022-03-09,Idaho @ Sacramento State,2022,145.06315607276963,138.5,140.11271201896773,6.56315607276963,111.0,L,-1.0
2022-03-11,Fordham @ Davidson,2022,134.7120340011292,129.0,140.11271201896773,5.7120340011292114,130.0,W,0.9090909090909092
2022-03-12,Coppin State @ Norfolk State,2022,142.55675622662483,136.75,140.11271201896773,5.806756226624827,129.0,L,-1.0
2022-03-12,Saint Louis @ Davidson,2022,145.34773576398155,137.0,140.11271201896773,8.347735763981547,153.0,W,0.9090909090909092
2022-03-12,Texas Tech @ Kansas,2022,140.67994658559974,134.5,140.11271201896773,6.179946585599737,139.0,W,0.9090909090909092
2022-03-12,Tulane @ Houston,2022,138.06996264726877,131.5,140.11271201896773,6.569962647268767,152.0,W,0.9090909090909092
2022-03-13,Memphis @ Houston,2022,138.59383723602042,133.5,140.11271201896773,5.09383723602042,124.0,L,-1.0
2022-03-13,Richmond @ Davidson,2022,142.28449928146838,137.0,140.11271201896773,5.284499281468385,126.0,L,-1.0
2022-03-18,TCU @ Seton Hall,2022,133.97395510494943,128.5,140.11271201896773,5.473955104949425,111.0,L,-1.0
2022-11-07,Air Force @ Bowling Green,2023,141.76799816429428,135.5,141.49279138440158,6.2679981642942835,120.0,L,-1.0
2022-11-07,The Citadel @ Clemson,2023,145.9240726746293,137.0,141.49279138440158,8.924072674629286,149.0,W,0.8695652173913042
2022-11-09,Monmouth @ Seton Hall,2023,139.6186118818596,134.5,141.49279138440158,5.118611881859607,131.0,L,-1.0
2022-11-10,Cleveland State @ Cincinnati,2023,143.56571998250206,138.5,141.49279138440158,5.06571998250206,127.0,L,-1.0
2022-11-10,Presbyterian @ The Citadel,2023,139.1190417467941,133.5,141.49279138440158,5.619041746794096,128.0,L,-1.0
2022-11-11,Georgia @ Wake Forest,2023,151.60885602612422,138.0,141.49279138440158,13.608856026124215,152.0,W,0.9090909090909092
2022-11-11,Monmouth @ Virginia,2023,127.63588127729365,122.5,141.49279138440158,5.135881277293649,131.0,W,0.9090909090909092
2022-11-11,SMU @ Dayton,2023,137.51072200967468,132.5,141.49279138440158,5.01072200967468,136.0,W,0.9090909090909092
2022-11-12,Cleveland State @ Ohio,2023,142.76386895988105,136.5,141.49279138440158,6.2638689598810515,151.0,W,0.9090909090909092
2022-11-12,Grand Canyon @ Nevada,2023,145.63933047944602,138.0,141.49279138440158,7.639330479446016,105.0,L,-1.0
2022-11-12,Incarnate Word @ UNLV,2023,138.82420999474675,133.0,141.49279138440158,5.824209994746752,151.0,W,0.9090909090909092
2022-11-12,Wagner @ La Salle,2023,137.7416474506586,130.5,141.49279138440158,7.241647450658604,146.0,W,0.9090909090909092
2022-11-14,Miami (OH) @ Georgia,2023,148.7022062733081,140.0,141.49279138440158,8.702206273308093,147.0,W,0.970873786407767
2022-11-14,Northwestern State @ TCU,2023,144.89203524931773,137.0,141.49279138440158,7.892035249317729,127.0,L,-1.0
2022-11-15,Mercer @ Georgia State,2023,137.03546899678625,132.0,141.49279138440158,5.03546899678625,168.0,W,0.9090909090909092
2022-11-15,Montana State @ Oregon,2023,143.4438064523659,136.5,141.49279138440158,6.943806452365891,132.0,L,-1.0
2022-11-15,UNC Wilmington @ Oklahoma,2023,134.04741315223808,128.0,141.49279138440158,6.047413152238079,127.0,L,-1.0
2022-11-15,USC Upstate @ Clemson,2023,145.28473091027462,138.0,141.49279138440158,7.284730910274618,151.0,W,0.9090909090909092
2022-11-15,Vanderbilt @ Temple,2023,140.14641975417925,133.5,141.49279138440158,6.646419754179249,176.0,W,0.9090909090909092
2022-11-15,Yale @ Hawai'i,2023,138.63605152265825,132.5,141.49279138440158,6.136051522658249,121.0,L,-1.0
2022-11-16,Cleveland State @ Canisius,2023,144.1389642888635,138.0,141.49279138440158,6.138964288863491,115.0,L,-1.0
2022-11-17,Northwestern State @ Illinois State,2023,149.8319536343562,134.0,141.49279138440158,15.83195363435621,137.0,W,0.9090909090909092
2022-11-17,Wichita State @ Richmond,2023,138.21348589707085,132.0,141.49279138440158,6.2134858970708535,109.0,L,-1.0
2022-11-18,Boise State @ Loyola Chicago,2023,131.39072949373363,126.25,141.49279138440158,5.14072949373363,118.0,L,-1.0
2022-11-18,Oklahoma State @ UCF,2023,141.8340840708908,133.0,141.49279138440158,8.83408407089081,116.0,L,-1.0
2022-11-18,South Alabama @ Oklahoma,2023,137.4101262406284,128.5,141.49279138440158,8.910126240628387,124.0,L,-1.0
2022-11-18,Southern Miss @ Liberty,2023,138.33548861357116,132.5,141.49279138440158,5.835488613571158,148.0,W,0.9090909090909092
2022-11-18,Temple @ Rutgers,2023,137.20161590499583,131.25,141.49279138440158,5.951615904995833,138.0,W,0.9090909090909092
2022-11-18,UC San Diego @ Navy,2023,137.420530586574,132.0,141.49279138440158,5.420530586573989,147.0,W,0.9090909090909092
2022-11-18,VMI @ Longwood,2023,144.88309968947192,138.0,141.49279138440158,6.883099689471919,148.0,W,0.9090909090909092
2022-11-18,Vermont @ Iona,2023,144.18554200939775,137.5,141.49279138440158,6.68554200939775,121.0,L,-1.0
2022-11-19,American @ NJIT,2023,134.299102436692,127.5,141.49279138440158,6.79910243669201,111.0,L,-1.0
2022-11-19,Villanova @ Michigan State,2023,139.26859805627615,130.5,141.49279138440158,8.768598056276147,144.0,W,0.9090909090909092
