"id","title","authors_or_institution","source_url","downloaded_at_utc","local_path","sha256","license_or_access_note","topic_tags","limni_relevance"
"2008-brunnermeier-nagel-pedersen-carry-trades-currency-crashes","Carry Trades and Currency Crashes","Markus K. Brunnermeier; Stefan Nagel; Lasse H. Pedersen","https://www.nber.org/papers/w14473","2026-07-07T18:31:41Z","docs/literature/papers/Carry Trades and Currency Crashes.pdf","7A173F1E82018895AEEAE223034644960C0A24B045D33E40522CE45AF9D6729B","NBER working paper and published NBER Macroeconomics Annual chapter; user-supplied local copy","fx; carry; crash-risk; funding-liquidity; currency-co-movement","Relevant for FX carry crash risk, funding/liquidity stress, currency co-movement, and regime risk diagnostics."
"2011-lustig-roussanov-verdelhan-common-risk-factors-currency-markets","Common Risk Factors in Currency Markets","Hanno Lustig; Nikolai Roussanov; Adrien Verdelhan","https://doi.org/10.1093/rfs/hhr068","2026-07-07T18:31:41Z","docs/literature/papers/Common Risk Factors in Currency Markets.pdf","968805B4B4F07F8487CCBF0C2C22B0FD3F81E37C265D0131134117FFDA311112","Canonical Review of Financial Studies DOI; NBER working paper also available; user-supplied local copy","fx; currency-risk-premia; carry; cross-section; common-factors","Relevant for FX carry/risk-premia structure, high-minus-low currency factors, and portfolio-level currency exposure research."
"2025-bhuiyan-rafi-deep-learning-algo-trading-review","Deep learning for algorithmic trading: A systematic review of predictive models and optimization strategies","MD Shahriar Mahmud Bhuiyan; MD AL Rafi; Gourab Nicholas Rodrigues; MD Nazmul Hossain Mir; Adit Ishraq; M.F. Mridha; Jungpil Shin","https://www.sciencedirect.com/science/article/pii/S2590005625000177","2026-07-07T18:31:41Z","docs/literature/papers/Deep learning for algorithmic trading_ A systematic review of predictive models and optimization strategies.pdf","09BD99C6F45893CB1044C33A8B335CB6B8CA58DB40DF1C84E485E4886A613458","Open access; Creative Commons license per ScienceDirect","algorithmic-trading; deep-learning; forecasting; model-risk; review","Relevant as a broad predictive-model and model-risk survey; useful for ML/backtest cautions, not strategy proof."
"2012-fodra-labadie-hf-market-making-inventory-directional-bets","High-frequency market-making with inventory constraints and directional bets","Pietro Fodra; Mauricio Labadie","https://arxiv.org/abs/1206.4810","2026-07-07T18:31:41Z","docs/literature/papers/High-frequency market-making with inventory constraints and Directional bets.pdf","7FEB4D6B2B0C294F222F62871FE337314DF0D0394F8FF600185AE460A871AB03","arXiv public preprint; user-supplied local copy","market-making; inventory-risk; directional-bets; hft; stochastic-control","Relevant to market-making add/inventory control and directional bias under inventory constraints."
"2008-avellaneda-stoikov-hft-limit-order-book","High-frequency trading in a limit order book","Marco Avellaneda; Sasha Stoikov","https://people.orie.cornell.edu/sfs33/LimitOrderBook.pdf","2026-07-07T18:31:41Z","docs/literature/papers/High-frequency trading in a limit order book.pdf","7A53A062CE5786167B592C457975EDF212656615F36D6EAE148BF410E63858DE","Author-hosted PDF; canonical Quantitative Finance DOI 10.1080/14697680701381228","limit-order-book; market-making; inventory-risk; quote-placement; fill-intensity","Core limit-order-book market-making model for quote placement, inventory risk, and fill intensity."
"2011-chakraborty-kearns-market-making-mean-reversion","Market Making and Mean Reversion","Tanmoy Chakraborty; Michael Kearns","https://www.cis.upenn.edu/~mkearns/papers/marketmaking.pdf","2026-07-07T18:31:41Z","docs/literature/papers/Market Making and Mean Reversion.pdf","F1996E7DECA98482166377BC71D73C94C8AAD4E6B3916610356F7E4A5B030E81","Author-hosted University of Pennsylvania PDF; ACM citation available","market-making; mean-reversion; liquidity-provision; ornstein-uhlenbeck","Directly relevant to mean-reversion liquidity provision and profitability limits under inventory and price-path behavior."
"2001-almgren-chriss-optimal-execution-portfolio-transactions","Optimal Execution of Portfolio Transactions","Robert Almgren; Neil Chriss","https://doi.org/10.21314/JOR.2001.041","2026-07-07T18:31:41Z","docs/literature/papers/Optimal Execution of Portfolio Transactions.pdf","7330F244A8BA7E6EC6817EDF62F43AB105BA8A29EF646661333A9B3DAAB7DD1A","Canonical Journal of Risk DOI; user-supplied local copy","optimal-execution; market-impact; transaction-costs; risk-aversion; order-routing","Relevant to execution cost, market impact, risk trade-offs, and future order-routing or SLTP manager research."
"1952-markowitz-portfolio-selection","Portfolio Selection","Harry Markowitz","https://doi.org/10.1111/j.1540-6261.1952.tb01525.x","2026-07-07T18:31:41Z","docs/literature/papers/Portfolio Selection.pdf","0AF6B760BBB18CC5543C17A9C3449FA69FEEDA270748507F490310544650E473","Canonical Journal of Finance DOI; full text may be restricted; user-supplied local copy","portfolio-theory; diversification; risk-return; allocation","Foundational portfolio risk/return and diversification reference for all-28 allocation and exposure framing."
"2025-park-jang-kim-lee-beatson-short-term-market-making-inventory","Short-Term Market Changes and Market Making with Inventory","Seyoung Park; Bong-Gyu Jang; Jin Gi Kim; Ho-Seok Lee; Sam Beatson","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5517658","2026-07-07T18:31:41Z","docs/literature/papers/Short-Term Market Changes and Market Making With Inventory.pdf","814F9C9C85230049F23B488C3895963B75EBF7E04F2E546A1228582873C5B5A5","SSRN preprint; user-supplied local copy","market-microstructure; regime-switching; market-making; inventory-management; bid-ask-spread","Relevant to market-making under transient volatility/trading-intensity changes and inventory management."
"2021-garay-pulga-retail-investors-trading-intensity","The performance of retail investors, trading intensity and time in the market: evidence from an emerging stock market","Urbi Garay; Fredy Pulga","https://www.sciencedirect.com/science/article/pii/S2405844021026864","2026-07-07T18:31:41Z","docs/literature/papers/The performance of retail investors, trading intensity and time in the market.pdf","AE20BBB9CFF39F09BDEBA1BB70A4D047317344BB7211861B3C39E965325E47AC","Open access; Creative Commons license per ScienceDirect","retail-investors; trading-intensity; transaction-costs; behavior; emerging-markets","Relevant for behavioral/trading-intensity context and caution about overtrading costs."
