"receipt_type","status","count"
"currency_exposure","snapshot","2"
"engine_step","tick","18764"
"grid_inventory","snapshot","18481"
"harvest_state","disabled","1"
"intent","intent","22539"
"news_guard","disabled","1"
"order_request","close_scan_complete","493"
"order_result","failed","323"
"order_result","sent","43446"
"position_attribution","snapshot","18481"
"revma_grid_add","add_intent","20886"
"revma_grid_birth","birth_intent","1160"
"revma_reentry_gate","fresh_state_change_detected","1168"
"revma_reentry_gate","revma_grid_birth_allowed","1160"
"revma_reentry_gate","startup_state_observed","28"
"revma_signal","intents_emitted","22046"
"run_end","deinit","1"
"run_start","initialized","1"
"run_start","started","1"
"stop_take_profit_guard","account_exit_intent","493"
"stop_take_profit_guard","monitoring","116"
"symbol_init","symbol_init","28"
