"receipt_type","status","count"
"currency_exposure","snapshot","147"
"engine_step","tick","5744"
"grid_inventory","snapshot","147"
"harvest_state","disabled","1"
"intent","intent","146"
"news_guard","disabled","1"
"order_request","close_request","134"
"order_request","close_scan_complete","12"
"order_request","open_request","134"
"order_result","sent","268"
"position_attribution","snapshot","147"
"revma_grid_add","add_intent","112"
"revma_grid_add_skip","add_skip_no_active_grid_found","22"
"revma_grid_add_skip","add_skip_spacing_not_reached","4501"
"revma_grid_birth","birth_intent","22"
"revma_reentry_gate","birth_blocked_waiting_for_fresh_state","67981"
"revma_reentry_gate","fresh_state_change_detected","22"
"revma_reentry_gate","post_harvest_reentry_blocked","41249"
"revma_reentry_gate","revma_grid_birth_allowed","22"
"revma_reentry_gate","startup_state_observed","28"
"revma_signal","intents_emitted","134"
"risk_decision","decision","146"
"run_end","deinit","1"
"run_start","initialized","1"
"run_start","started","1"
"stop_take_profit_guard","account_exit_intent","12"
"stop_take_profit_guard","monitoring","2861"
"symbol_init","symbol_init","28"
"trade_plan","plan_executable","146"
"trade_transaction","transaction","1072"
