"receipt_type","status","count"
"currency_exposure","snapshot","672"
"engine_step","tick","675"
"grid_inventory","snapshot","672"
"harvest_state","disabled","1"
"intent","intent","814"
"news_guard","disabled","1"
"order_request","close_scan_complete","17"
"order_result","failed","3"
"order_result","sent","1550"
"position_attribution","snapshot","672"
"revma_grid_add","add_intent","750"
"revma_grid_birth","birth_intent","47"
"revma_reentry_gate","fresh_state_change_detected","47"
"revma_reentry_gate","revma_grid_birth_allowed","47"
"revma_reentry_gate","startup_state_observed","28"
"revma_signal","intents_emitted","797"
"run_end","deinit","1"
"run_start","initialized","1"
"run_start","started","1"
"stop_take_profit_guard","account_exit_intent","17"
"stop_take_profit_guard","monitoring","48"
"symbol_init","symbol_init","28"
