"FullName","Bytes","GB","LastWriteTime"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p100_SL0p000_L0p010_G0p10Q_RF_CG_NEG_AC_2020_01_01_00_00_00_R160864359\LPEA_2020_01_01_00_00_00_R160864359_receipts.csv","16842975729","15.686","2026-07-08 9:48:29 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p100_SL0p000_L0p010_G1p00Q_RF_NCG_NEG_AC_2020_01_01_00_00_00_R159926609\LPEA_2020_01_01_00_00_00_R159926609_receipts.csv","6860014000","6.389","2026-07-08 9:28:59 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Archive\20260708-gate104-partial-stopped-runs\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p750_SL0p000_L0p010_G0p10Q_NCG_NEG_AC_2020_01_01_00_00_00_R143919265\LimniPortfolioEA_EightcapGlobal_Live_2020_01_01_00_00_00_R143919265_receipts.csv","5593137729","5.209","2026-07-08 5:09:24 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p100_SL0p000_L0p010_G0p10Q_RF_NCG_NEG_AC_2020_01_01_00_00_00_R159174500\LPEA_2020_01_01_00_00_00_R159174500_receipts.csv","5410815002","5.039","2026-07-08 9:15:52 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p010_SL0p000_L0p010_G0p10Q_RF_CG_NEG_AC_2020_01_01_00_00_00_R161442875\LPEA_2020_01_01_00_00_00_R161442875_receipts.csv","5344916563","4.978","2026-07-08 9:52:07 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_FULL_ALL_APct_TP1p000_SL0p000_L0p010_G0p10Q_NCG_NEG_AC_2026_01_01_00_00_00_R137694015\LimniPortfolioEA_EightcapGlobal_Live_2026_01_01_00_00_00_R137694015_receipts.csv","3822220653","3.56","2026-07-08 3:27:45 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Archive\20260708-gate103-reviewed-runs\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP1p000_SL0p000_L0p010_G0p10Q_NCG_NEG_AC_20260101_20260706\LimniPortfolioEA_EightcapGlobal_Live_1767225600_receipts.csv","3735388415","3.479","2026-07-08 2:22:02 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_SLOW_250000_APct_TP1p000_SL0p000_L0p010_G0p10Q_NCG_NEG_AC_20260101_20260706\LimniPortfolioEA_EightcapGlobal_Live_2026_01_01_00_00_00_R136773046_receipts.csv","3684138348","3.431","2026-07-08 3:08:11 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Archive\20260708-gate103-reviewed-runs\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p500_SL0p000_L0p010_G0p10Q_NCG_NEG_AC_2026_01_01_00_00_00_R141423765\LimniPortfolioEA_EightcapGlobal_Live_2026_01_01_00_00_00_R141423765_receipts.csv","3615905832","3.368","2026-07-08 4:22:12 PM"
"C:\Users\User\AppData\Roaming\MetaQuotes\Terminal\Common\Files\LimniPortfolioEA_Rv_FX28_MEDIUM_50000_APct_TP0p100_SL0p000_L0p010_G1p00Q_RF_NCG_NEG_AC_2020_01_01_00_00_00_R159510812\LPEA_2020_01_01_00_00_00_R159510812_receipts.csv","3178888552","2.961","2026-07-08 9:19:21 PM"
