week_start,week_end,decision_asof,pair,candidate_b_direction,realized_pair_return_this_week,realized_pair_return_next_week,candidate_b_correct_this_week,candidate_b_correct_next_week,was_jpy_pair,was_usd_pair,stress_notes,revma_deposit_load_pct,revma_equity_dd_pct,revma_managed_positions,revma_open_grids,revma_pair_floating_pnl,revma_currency_exposure,candidate_b_aligned_with_revma_inventory,candidate_b_opposed_revma_inventory,candidate_b_would_have_blocked_or_warned
2024-07-21,2024-07-28,2024-07-21,AUDCAD,CAD over AUD,2.777352,0.705964,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-07-21,2024-07-28,2024-07-21,AUDCHF,CHF over AUD,4.432116,4.029935,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,AUDJPY,JPY over AUD,4.569493,4.194647,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,AUDNZD,AUD over NZD,0.20052,-4.584653,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,AUDUSD,USD over AUD,3.539184,0.766463,true,true,false,true,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-07-21,2024-07-28,2024-07-21,CADCHF,CHF over CAD,2.730578,4.793601,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,CADJPY,JPY over CAD,3.27413,4.370642,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,CHFJPY,JPY over CHF,2.571444,2.395851,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURAUD,EUR over AUD,3.975818,2.127508,true,true,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,true
2024-07-21,2024-07-28,2024-07-21,EURCAD,EUR over CAD,1.47837,2.157951,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURCHF,CHF over EUR,2.332767,4.386556,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURGBP,EUR over GBP,0.830456,3.554577,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURJPY,JPY over EUR,3.264172,3.9713,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURNZD,EUR over NZD,3.008359,-1.318244,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,EURUSD,EUR over USD,-1.078387,1.66586,false,true,false,true,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPAUD,AUD over GBP,-3.084113,-0.096423,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPCAD,CAD over GBP,-0.726049,0.683884,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPCHF,CHF over GBP,2.355867,5.509822,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPJPY,JPY over GBP,3.385722,5.029561,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPNZD,NZD over GBP,-2.581161,3.400632,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,GBPUSD,USD over GBP,1.273827,1.061568,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,NZDCAD,CAD over NZD,1.946163,-2.63554,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,NZDCHF,CHF over NZD,3.924122,1.872348,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,NZDJPY,JPY over NZD,4.37298,2.974403,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,NZDUSD,NZD over USD,-2.798193,1.888475,false,true,false,true,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,USDCAD,CAD over USD,-2.869093,-0.537074,false,false,false,true,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,USDCHF,CHF over USD,1.013147,4.349626,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-21,2024-07-28,2024-07-21,USDJPY,JPY over USD,2.374551,4.331371,true,true,true,true,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,AUDCAD,CAD over AUD,0.705964,-0.221551,true,false,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-07-28,2024-08-04,2024-07-28,AUDCHF,CHF over AUD,4.029935,-1.599748,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,AUDJPY,JPY over AUD,4.194647,-0.904272,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,AUDNZD,AUD over NZD,-4.584653,0.11648,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,AUDUSD,USD over AUD,0.766463,-1.344357,true,false,false,true,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-07-28,2024-08-04,2024-07-28,CADCHF,CHF over CAD,4.793601,-2.165959,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,CADJPY,JPY over CAD,4.370642,-0.972995,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,CHFJPY,JPY over CHF,2.395851,0.217058,true,true,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURAUD,EUR over AUD,2.127508,-1.305721,true,false,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,true
2024-07-28,2024-08-04,2024-07-28,EURCAD,EUR over CAD,2.157951,-1.882273,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURCHF,CHF over EUR,4.386556,-1.381199,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURGBP,EUR over GBP,3.554577,0.592466,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURJPY,JPY over EUR,3.9713,-0.456261,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURNZD,EUR over NZD,-1.318244,-1.37318,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,EURUSD,EUR over USD,1.66586,0.197827,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPAUD,AUD over GBP,-0.096423,1.874545,false,true,false,false,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPCAD,CAD over GBP,0.683884,2.436907,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPCHF,CHF over GBP,5.509822,-0.764971,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPJPY,JPY over GBP,5.029561,-0.25114,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPNZD,NZD over GBP,3.400632,1.888029,true,true,false,false,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,GBPUSD,USD over GBP,1.061568,0.325216,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,NZDCAD,CAD over NZD,-2.63554,-0.137786,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,NZDCHF,CHF over NZD,1.872348,-1.847766,true,false,false,false,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,NZDJPY,JPY over NZD,2.974403,-0.983595,true,false,true,false,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,NZDUSD,NZD over USD,1.888475,1.375954,true,true,false,true,this_week_direction_profitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,USDCAD,CAD over USD,-0.537074,2.6014,false,true,false,true,this_week_direction_unprofitable;next_week_direction_profitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,USDCHF,CHF over USD,4.349626,-1.056657,true,false,false,true,this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-07-28,2024-08-04,2024-07-28,USDJPY,JPY over USD,4.331371,-0.362414,true,false,true,true,candidate_b_jpy_strength;this_week_direction_profitable;next_week_direction_unprofitable,,,,,,,,,false
2024-08-04,2024-08-11,2024-08-04,AUDCAD,CAD over AUD,-0.221551,-1.040999,false,false,false,false,candidate_b_warning_active;candidate_b_fallback_used;this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,true
2024-08-04,2024-08-11,2024-08-04,AUDCHF,CHF over AUD,-1.599748,-0.784004,false,false,false,false,this_week_direction_unprofitable;next_week_direction_unprofitable,,,,,,,,,false
