"Terminal","RelativePath","RepoHash","TerminalHash","Status"
"14275","Include\Execution\TradeRouter.mqh","6B900B4E406C5B50847A4F85F37CDF4090F8915CD6BF8E9003EAF18F7BB9F56D","6B900B4E406C5B50847A4F85F37CDF4090F8915CD6BF8E9003EAF18F7BB9F56D","MATCH"
"14275","Include\Execution\TradePlan.mqh","EBEDDE93775ECEDCEFC1B00F8BCE47784C327C98311395F07B49FFB75519575E","EBEDDE93775ECEDCEFC1B00F8BCE47784C327C98311395F07B49FFB75519575E","MATCH"
"14275","Include\Strategies\Revma\RevmaGridProtectionManager.mqh","3C660ABD6514069BF425EBBAA8F9193D5DB56A9029D263E4317D8D58E25F7C52","3C660ABD6514069BF425EBBAA8F9193D5DB56A9029D263E4317D8D58E25F7C52","MATCH"
"14275","Include\Receipts\ReceiptTypes.mqh","5224A873A29B6195274921356D2F52B21D9EA0D7E8EC272EEBFCA6FB4E2CA22A","5224A873A29B6195274921356D2F52B21D9EA0D7E8EC272EEBFCA6FB4E2CA22A","MATCH"
"14275","Include\Signals\LrmgState.mqh","B2EBB32F9D65BB6148E6C56259561790DFEF33807396A6EFFDE2D4DACAB0CEE4","B2EBB32F9D65BB6148E6C56259561790DFEF33807396A6EFFDE2D4DACAB0CEE4","MATCH"
"14275","Include\Strategy\RawHarvestEngine.mqh","E2AB2C32024123D052F31847EEA432ED1E2A564E3A4401607C87607362CA481D","E2AB2C32024123D052F31847EEA432ED1E2A564E3A4401607C87607362CA481D","MATCH"
"14275","Include\Core\Types.mqh","C334D2E877B01CBFCBB73CD7AEF85AA88E35E434CA4A9B091F3D1EAAB8FDAB41","C334D2E877B01CBFCBB73CD7AEF85AA88E35E434CA4A9B091F3D1EAAB8FDAB41","MATCH"
"14275","Include\Market\M1Clock.mqh","715429E852BD659041FDB6DE3F39ACBC08F9FC7855A266A190775B76F9E6A839","715429E852BD659041FDB6DE3F39ACBC08F9FC7855A266A190775B76F9E6A839","MATCH"
"14275","Include\Strategies\Revma\RevmaVisualReporter.mqh","41D188707F60AAE20A4A133A325AB6B4618EA9869E3B5C3337C038965134B258","41D188707F60AAE20A4A133A325AB6B4618EA9869E3B5C3337C038965134B258","MATCH"
"14275","Include\Market\SessionCalendar.mqh","D0ACA0FE88096082D66260302B5EBF348CFC1C6A7CCBF1BF7D4BA6E08F83FC99","D0ACA0FE88096082D66260302B5EBF348CFC1C6A7CCBF1BF7D4BA6E08F83FC99","MATCH"
"14275","Include\Core\Engine.mqh","A72D7329E23ADDA0B5D5E7ADD5E37CEC0EA98F6E42A9007E61C6906084F898EF","A72D7329E23ADDA0B5D5E7ADD5E37CEC0EA98F6E42A9007E61C6906084F898EF","MATCH"
"14275","Include\Strategies\RevmaGridSleeve.mqh","F2C3882A0C10F616209C7B6F89623B4A727107A19E4EF905EDB88350795766CB","F2C3882A0C10F616209C7B6F89623B4A727107A19E4EF905EDB88350795766CB","MATCH"
"14275","Include\Strategies\TrendFollowLane.mqh","7ECB62098889D576CDD775D342A10A4889A4B27C138E4B92BAA0E646C1C65527","7ECB62098889D576CDD775D342A10A4889A4B27C138E4B92BAA0E646C1C65527","MATCH"
"14275","Include\Receipts\RunManifest.mqh","3F881D88A8203E1A3F7B43A1916F7FDECD434A9DCEB87189D4F0B0199F8FB15A","3F881D88A8203E1A3F7B43A1916F7FDECD434A9DCEB87189D4F0B0199F8FB15A","MATCH"
"14275","Include\Portfolio\GridBook.mqh","AB099DD2FFD187C87B6065C0F6C1E143B41719B58EE15A9718AFC5F1689DAB8F","AB099DD2FFD187C87B6065C0F6C1E143B41719B58EE15A9718AFC5F1689DAB8F","MATCH"
"14275","Include\HistoricalReconstruction.mqh","B53F7E436468AA3F2A465AABFD2A865334A095D7EF2727A4480AE76BB0889FA3","B53F7E436468AA3F2A465AABFD2A865334A095D7EF2727A4480AE76BB0889FA3","MATCH"
"14275","Include\Market\SymbolSpecCache.mqh","B62D0403ADC6D1085C5448B24D96E4689E7543FA6D356DE5DEB9F3012D208B04","B62D0403ADC6D1085C5448B24D96E4689E7543FA6D356DE5DEB9F3012D208B04","MATCH"
"14275","Include\Signals\RevmaSignalState.mqh","76A53C8924FE08D2C078C3BC28F50458806684660617B11C569F6A1BC07543BF","76A53C8924FE08D2C078C3BC28F50458806684660617B11C569F6A1BC07543BF","MATCH"
"14275","Limni\LimniPortfolioEA.mq5","5A7C138539BD07B168EED64970195FA13B3F0EBBE52341CCFC3F6F457564CADD","5A7C138539BD07B168EED64970195FA13B3F0EBBE52341CCFC3F6F457564CADD","MATCH"
"14275","Include\Signals\SignalSnapshot.mqh","998132B5BAF03794BBCDBDCD5AAE7086EC7EB0EE18683F5BD01C99542C951A03","998132B5BAF03794BBCDBDCD5AAE7086EC7EB0EE18683F5BD01C99542C951A03","MATCH"
"14275","Include\Strategies\Revma\RevmaReceipts.mqh","C334B9A5DDCDD8609F3626400A2B246A14BB0E520CAD3F9A40FA4AB2E493BF73","C334B9A5DDCDD8609F3626400A2B246A14BB0E520CAD3F9A40FA4AB2E493BF73","MATCH"
"14275","Include\Receipts\RuntimeTelemetry.mqh","874A25A1256EE7277EEE40344CD9DB177B51DC420575A5CFB1F078DCD8D8EF3F","874A25A1256EE7277EEE40344CD9DB177B51DC420575A5CFB1F078DCD8D8EF3F","MATCH"
"14275","Include\Portfolio\PositionCommissionCache.mqh","3ED8E4BB5EC21297D77CA19A8D3919FD16F111910919865DF3AA6C7F25ADCAD4","3ED8E4BB5EC21297D77CA19A8D3919FD16F111910919865DF3AA6C7F25ADCAD4","MATCH"
"14275","Include\Domain\Enums.mqh","7417DF58734D31C1EF7C6F1B344B909DA5C695B16C9237BFEA30267C30A541AE","7417DF58734D31C1EF7C6F1B344B909DA5C695B16C9237BFEA30267C30A541AE","MATCH"
"14275","Include\Core\SymbolUniverse.mqh","AFAA341B976ACA1E93995DD8A5F87A1825CBCD451D341242900A4EA9E1F6CFC3","AFAA341B976ACA1E93995DD8A5F87A1825CBCD451D341242900A4EA9E1F6CFC3","MATCH"
