rule_id,rule_family,base_rule_id,flip_policy,age_bucket,event_count,open_loss_adr,realized_loss_adr,flip_loss_adr,recovery_rate,average_time_to_recovery_hours,worst_pair,worst_pair_loss_adr,worst_currency,worst_currency_loss_adr,content_hash
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,1_2_weeks,128,-0.266919,-92.333093,-92.333093,0,,USDCHF,-8.222029,USD,-32.364394,7D294646536A082AFCE933B6C6331C553D4521AFA43AC699325BA0A724C1DD63
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,9_13_weeks,84,-1.827368,-79.487934,-79.487934,0,,GBPJPY,-23.130161,GBP,-38.654691,48C83EDF97B156572AA8B998B940FE4C9CBBB817FF07F8E8E6CB1E25CE1388B4
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,13_plus_weeks,205,-106.968507,-424.38828,-424.38828,0,,AUDNZD,-61.238891,JPY,-202.150445,17E2B82B7D0C6CA317BE7CCB75F024039CB02705425FB575230619AC0412F6CC
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,3_4_weeks,139,-2.057177,-97.1781,-97.1781,0,,NZDUSD,-14.694147,USD,-39.276673,2A8FE980CBFADDF976391FA0DF58EF0CF6AC448A3A081E5BF5276808CB5D5140
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,5_8_weeks,125,-5.84582,-114.415424,-114.415424,0,,USDJPY,-15.534752,USD,-44.469524,DA7528EE5100091FCA652C4A3D1B1A75EFD31FF8874F1EDC2519BFFE122193DE
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,same_week,249,0,-155.633897,-155.633897,0,,EURAUD,-13.425709,AUD,-49.363771,DF05E752756ADD34F3FBB8F1192D6E005E852F086FED370C333FF347E74BDC97
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,same_week,27692,-24.130746,-2580.116603,-2580.116603,0.971878,21.05,EURAUD,-368.66894,AUD,-920.039239,BF003D859DD2D5B0E7981371D3DC8166EE72F5599E46D5B25E0D6889E50640C3
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,1_2_weeks,979,-106.671015,-1394.956092,-1394.956092,0.914198,210.183333,USDCAD,-130.160042,USD,-537.49597,6AAC2C219882579F0B3924712E1804C2FF7979B79D5BEF06DD5C8201C7A69D99
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,3_4_weeks,330,-33.471982,-1007.72799,-1007.72799,0.9,451.733333,GBPCHF,-151.728632,GBP,-501.930345,E6C119341D4FB6261F31268C05ADE04318393345AAA3CA924A9FFC9BB124E97B
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,5_8_weeks,143,-111.833923,-1470.581865,-1470.581865,0.853147,860.575,USDCAD,-267.457688,USD,-919.166605,AF940AD4A9DD7E5138E94A12051036D04AD461F1E760297090E747C8792170C0
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,13_plus_weeks,36,-4180.217386,-3404.205026,-3404.205026,0.694444,3277.283333,AUDNZD,-3352.567334,AUD,-4787.740417,B54FE006B20726A1932D19F6AD014A8C8AB0EB2AF3D2C73BC70EFB752E9E6721
