rule_id,rule_family,base_rule_id,flip_policy,harvest_engine_promising,flip_logic_is_main_defect,open_tail_defect_unresolved,audnzd_currency_tail_unacceptable,closed_pnl_illusion,return_too_weak,candidate_worth_further_research,reject,content_hash
WEEKLY_FORCED_CLOSE,control,,current_forced_flip_close,false,false,false,false,false,true,false,false,0D1F68139A5245EFCFFF84DB29B53C235FCD67022D854B23A810E58F0E141057
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,false,false,false,false,false,true,false,false,6A46C6253B0233FE946223D1AC7ABD18FD364183678F9E342A8AFB61D9E301AE
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,true,true,true,false,true,true,false,true,ACD98BB943858DC3134B60DE7D0B0557209C65D84AF96E3B3651342D2C413716
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,true,true,true,false,true,true,false,true,F94F3475B7EFE6E12C00780183663666067C404B63371790B3952FF10BECDD33
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,false,false,false,false,false,true,false,false,A08A30DDD8C5C13715885D5A4E109514B5920A8811A577D629D69D9C75A07798
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,false,true,500AB2DDC02B4DF16E1DC308FE6AD085D230140CC75D594344497F1DDC33FBBA
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,true,false,B9873C2D97B5FAFCC0437005FFB732F953A8CCBBB605916C02583BB810C42CFB
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,true,true,true,false,true,true,false,true,B28BC3D27896653FA840B884D163AACEF8324530FC5BBD120C3D97598EADA4F4
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,true,false,true,false,true,true,false,true,676126289855BDF270DBFE213BB9D0FC406C7D3B76A4820711474F166B8C9074
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,true,false,true,false,true,true,false,true,69A9DA27323A7CCD5797E697A9459253783B395671C2518B14082EBC5506EAE7
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,true,false,true,false,true,true,false,true,37142A4FB842EE3902A95554E7692A50BBC8F918E246033FAFB0C10375488F15
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,true,false,true,false,true,true,false,true,BB8C3B9F89D103DE668AD9DCDEC41669E2476EB39719B6BEBA217C2C50BF9D7B
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,true,false,true,false,true,true,false,true,E2314ACD83DA4CD1C93E60E5700644C9F33027AA620ABFC99E0939669C840E48
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,true,false,true,false,true,true,false,true,57F1DF37312BE6EDA8A2D909C4BBABE9F3AB29C7194078F7FD97BFFE23E52717
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__FLIP_CLOSE_SMALL_LOSS_WAREHOUSE_GT3ADR,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,close_small_loss_warehouse_large_loss,true,false,true,false,true,true,false,true,C33117AAB7558D576FD80AB2F13890426A86291F51FFED2920F9990551B136A2
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,no_flip_force_no_new_fills,true,false,true,false,true,true,false,true,7D54D7031390E51486A8BCFB3FAECF0D461F197B6FF6FFFEAA8A516CEA40297D
