rule_id,rule_family,base_rule_id,flip_policy,flip_event_count,flip_loss_event_count,total_flip_loss_adr,total_flip_adr,average_flip_loss_adr,median_flip_loss_adr,worst_flip_loss_adr,profitable_inventory_flip_count,losing_inventory_flip_count,mixed_inventory_flip_count,average_open_state_before_flip_adr,median_reset_ordinal_at_flip,median_inventory_age_hours_at_flip,worst_pair,worst_pair_flip_adr,worst_currency,worst_currency_flip_adr,content_hash
WEEKLY_FORCED_CLOSE,control,,current_forced_flip_close,0,0,0,0,,,0,0,0,0,,,,,,,,ECB6956E2181886BCD11DBE5FF44589B849F6F2B09F954FB245EEF57120500D1
CARRY_UNTIL_FLIP,control,,current_forced_flip_close,902,400,-963.436728,694.688146,-2.408592,-1.460044,-21.63951,502,400,0,0.770164,0,504,EURCHF,-38.448168,GBP,73.975787,B4ACB920C135CAA1B2A9AFA1FABC6425D274BBD30825827D72A81F208398A764
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,,current_forced_flip_close,902,616,-10815.950986,-10602.320445,-17.558362,-2.816994,-1317.346336,286,616,108,-11.754236,3,83.475,CHFJPY,-1677.762211,JPY,-3623.949793,28891D858F146182FD8DE53A8DCF13E2D12301F567ED40FC54A980FF8463FA25
PAIR_TWO_SIDED_GRID_TARGET_150_SPACING_020_RESTART_UNTIL_FLIP,pair_directional_two_sided_grid,,current_forced_flip_close,902,679,-14668.815258,-14422.455899,-21.603557,-4.47486,-1335.319119,223,679,197,-15.989419,2,100.016667,CHFJPY,-1808.378622,JPY,-5731.892514,20F4200D8BF8D781BDB993E45ABFE58F744A414E872C0FE5D90EB1CC7583DAC8
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_2_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,170,155,-3789.579526,-3761.400644,-24.4489,-10.097359,-357.793296,15,155,25,-22.125886,1,168,AUDNZD,-405.420945,AUD,-1654.35729,5046E9A82CED0FBD46F9C4741313691B32EEC24976B9D8693CCACF4BA164285D
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,311,268,-5132.272395,-5091.937646,-19.15027,-7.95309,-357.793296,43,268,58,-16.37279,1,145.466667,AUDCAD,-470.163825,AUD,-1896.87619,5DA2A5F74B0C8ACB686026975EABCF2583D520CDF334972BD08A5B70D9726DC1
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,402,344,-6297.282489,-6233.035336,-18.306054,-6.058764,-621.509684,58,344,70,-15.505063,1,139.208334,AUDCAD,-747.710873,AUD,-2386.475692,50F396F9230A96EEC429C0410CE841F5C7A274E89E8E7121C0260698DA048E50
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,,current_forced_flip_close,495,413,-7245.973831,-7157.774507,-17.544731,-5.509183,-628.671368,82,413,93,-14.460151,1,133.85,AUDCAD,-787.400051,AUD,-2594.763257,F48246FF839858FA53E41CAD65A052B787C3892147FDFB7E7591EAB4FB757E28
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_LOSER_WAREHOUSE,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,warehouse_losing_flip_no_new_fills,286,0,0,213.630541,,,0,286,0,67,0.74696,4,68.533334,EURNZD,2.312624,EUR,26.515606,1DFDD10B24F9D35640C6BC75FE5121DBED9100D91D3C343CA9FD275396C45DA5
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP__FLIP_GRACE_1W,flip_counterfactual,PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,grace_window_losing_flip_no_new_fills,286,0,0,213.630541,,,0,286,0,67,0.74696,4,68.533334,EURNZD,2.312624,EUR,26.515606,3FCEDAC2D3021A813475B578684831B01CD89FA2BC5E98E5822D955B01FBF358
