rule_id,final_equity_adr,max_drawdown_adr,equity_curve_smoothness_score,weekly_mtm_volatility_adr,downside_weekly_volatility_adr,time_in_drawdown_weeks,longest_drawdown_weeks,recovery_duration_from_max_drawdown_weeks_proxy,worst_4_week_period_adr,worst_13_week_period_adr,worst_26_week_period_adr,monthly_consistency,path_skew_proxy_mean_minus_median,top5_loss_share_of_total_losses,unresolved_inventory_read,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,9901.156008,-5462.545131,42.079601,375.500597,270.523902,280,42,42,-2563.980674,-3908.06394,-4931.527275,0.662791,7.340363,0.165987,open_inventory_visible,F4D73E6A0E600AA75E1C5DD3F78BFF7F3DF09FA3ACA5D32CFE8E39E3503E5BDC
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,11713.727501,-1811.737115,76.669589,232.209317,177.862014,232,23,23,-1320.821015,-1801.272614,-1431.330143,0.709302,0.510328,0.180615,open_inventory_visible,63A2D9FE9298EFC37543CA0AF134DC1B12C2337EB163B88F31FA8D926F7CAAE3
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,13772.999764,-1989.442654,81.80169,266.184638,195.381846,233,25,25,-1516.75362,-1989.442654,-1618.939434,0.755814,2.566164,0.187692,open_inventory_visible,43698830215CFFB0981779025761C5E19362723BF97F1B7989780A8A3A2A041C
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,13018.163434,-4074.085132,67.343587,308.821249,228.596742,244,27,27,-2140.08273,-3299.95095,-3700.803801,0.72093,6.976519,0.18945,open_inventory_visible,42A33BD610F5E4E1FC8BD541F188D1C40929F7F81E18A524512E3368940875AC
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,13842.569182,-1992.408147,81.951145,266.611821,195.757998,232,25,25,-1517.873487,-1992.408147,-1619.279468,0.744186,0.192231,0.187273,open_inventory_visible,51489A2B9BB14A6781C8877F27E34A8395D4518C61A2A614489CC848108B3796
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,14820.927278,-2895.729322,67.089487,329.550948,234.868671,248,39,39,-1995.035439,-2559.995671,-2463.122581,0.686047,4.790706,0.162258,open_inventory_visible,6D137F2D950A611491414399C9F22426AED5F978339B4932A7D5669CD01EBE41
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,53646.297719,-705.647194,307.029797,167.99567,130.341042,53,2,2,-280.187081,915.954548,2862.191747,0.965116,3.060464,0.368374,open_inventory_visible,F7ECEB240107C212F130930DDEBA1B4750258F81170FF5168F52B338F576B640
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,82549.112283,-1167.092908,341.534267,219.647506,245.183777,26,2,2,-14.270997,1520.691714,4408.050816,0.988372,17.341329,0.672299,open_inventory_visible,1227B6E102F8DAFE7D66B4409DCECDC97425576693D9D4D548B0D3EABF2359D1
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,27114.519974,-563.927568,270.434379,117.408362,102.049143,61,3,3,-464.974514,201.456977,1259.397159,0.953488,-0.725183,0.339328,open_inventory_visible,A3CF990F92321E89080B7626C87E10EAD1293DC175723A1D03EF546A07519945
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,26531.777745,-694.023413,269.225499,110.31327,101.02289,71,2,2,-550.010253,91.528115,1027.034615,0.988372,-2.155597,0.33705,open_inventory_visible,7D21BBE50360EEAFD7C382C01DD265C92D7902DBFB52A7F3549BDC20FD2033EE
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,26726.881812,-375.382096,289.282358,92.405449,81.316,51,2,2,-190.334156,418.956166,1339.375073,0.965116,2.148494,0.364264,open_inventory_visible,6603CF89B17ACBE8D3E7252B3E975A9FDE2BD041F7CE8BFA51457B4818675761
