rule_id,rule_family,average_active_pair_side_slots_proxy,max_active_pair_side_slots_proxy,average_open_inventory_abs_adr,max_open_inventory_abs_adr,total_fills,resets,worst_pair_by_mtm,worst_currency_by_mtm,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,adverse_only_pair_net_grid,28,28,1095.021689,5730.416295,124689,28300,AUDNZD,AUD,9BC7093253ADCC5AAC6E5047A79D5B47159F4421870729AAE2B403ABE913DF0D
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,28,28,498.892713,2627.126459,107731,21658,AUDNZD,AUD,B33B6C4CFA69FFA2A9049003341429859204D1028319C3C30A940B9A12804783
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,28,28,595.047388,3001.945057,106080,19367,AUDNZD,AUD,66FE30606A462EC1FCECD46F867955EE021ABE1697A9149414D57971F8A3CACF
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,pair_reset_limit,28,28,804.10926,5032.162889,110454,17218,AUDNZD,AUD,B6E809C61E078B7983D1856EA65C14ABC14BBD81184100B78AB4B7ECAE72A476
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,flip_counterfactual,28,28,595.974081,3001.945057,106080,19367,AUDNZD,AUD,5F0DC2553B54FB43F0A1FA2EEB0FBACB388D3169685DDC23D8D875AC1EB8D939
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,flip_counterfactual,28,28,2238.865171,8067.331207,105766,19367,AUDNZD,AUD,B6D1632C6E41A3D253CC999A3F313DCA0D71F4B69504D19D0CB10C8B466A64F7
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,fully_hedged_reference,56,56,142.941837,966.732115,204752,48500,EURCHF,JPY,853544EF655A9CD0508FDE4A26A2958B84C76BDFB6A5942EC402A1F65C977B1E
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,fully_hedged_reference,56,56,226.678314,1927.15691,305641,74186,AUDNZD,CAD,215FBF587B9370ADE38FF0955423E981CF5C4B7C65945CF8A86903E6D9246D47
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,28,28,71.384067,752.678688,102551,24544,EURCHF,EUR,B000D810FBDB93125987DA6B60EE6A806594C5B355A6E40E496A2F68BFC34B24
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,28,28,71.561777,829.213048,102201,23956,GBPJPY,JPY,4896FC292BEDE19A0D834AE92D24D7174FF5B8CB013FFC9F38B2610B06C95B92
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,all_pairs_direction_reference,28,28,70.838909,493.661799,102253,24220,EURCHF,JPY,DDB78459A3507D9BF1ED4557AD7613067D766C6F2392DCE5C2249456009A4E84
