rule_id,raw_final_equity_adr,raw_max_drawdown_adr,gross_pair_side_slots_proxy,gross_exposure_normalized_to_28_pair_side_slots_adr,margin_proxy_denominator_abs_dd_plus_abs_open,margin_proxy_return_per_unit,fill_count,fill_ratio_vs_t100,final_equity_per_10000_fills_adr,risk_budget_scale_to_t100_dd,risk_budget_normalized_final_equity_to_t100_dd_adr,normalized_edge_vs_t100_gross_slots_adr,content_hash
PAIR_NET_GRID_CYCLE_TARGET_075_SPACING_020_RESTART_UNTIL_FLIP,9901.156008,-5462.545131,28,9901.156008,11192.961426,0.884588,124689,1.175424,794.068122,0.364197,3605.971505,-3871.843756,8577204B96950FB9012AA4CB5D26A6233984F8A0A45AA815D7157E257194C1FA
PAIR_TWO_SIDED_GRID_T075_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,11713.727501,-1811.737115,28,11713.727501,4438.863574,2.638902,107731,1.015564,1087.312612,1.098086,12862.676894,-2059.272263,93869E5B8494BD872F1E8EF7B0F899A101873743D5EBC2A607740535531965C2
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,13772.999764,-1989.442654,28,13772.999764,4991.387711,2.759353,106080,1,1298.359706,1,13772.999764,0,C9879F89D251F611D70A03A2EA96C73FB1835CD8B8B8AEABAFB83116A843E749
PAIR_TWO_SIDED_GRID_T125_S020_STOP_AFTER_3_PAIR_RESETS_WEEK,13018.163434,-4074.085132,28,13018.163434,9106.248021,1.429586,110454,1.041233,1178.604979,0.488316,6356.982923,-754.83633,BA50B57C1D3A7AACB26EE4B7BFEB43FB4814DF6FC329825A932815A0D6632146
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__FLIP_LOSER_WAREHOUSE,13842.569182,-1992.408147,28,13842.569182,4994.353204,2.771644,106080,1,1304.917909,0.998512,13821.965953,69.569418,5CCD81B3DB52F2B47EB488C4B2523764B5EFF62465309FB5447DF1D4D23B742C
PAIR_TWO_SIDED_GRID_T100_S020_STOP_AFTER_3_PAIR_RESETS_WEEK__NO_FLIP_FORCE_DIAGNOSTIC,14820.927278,-2895.729322,28,14820.927278,10963.060529,1.351897,105766,0.99704,1401.294109,0.687026,10182.369144,1047.927514,C1F1CD78C998AC0030994FD184E60A936FBDB6FDE38903825BA5D4535435CB6B
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,53646.297719,-705.647194,56,26823.14886,1672.379309,32.077829,204752,1.930166,2620.062208,2.819316,151245.882955,13050.149096,E71A9C5B74A010B3210826A0DC584E3598562766555B7C9F7E74B36742EEEEEC
FULLY_HEDGED_LONG_SHORT_28_PAIR_WEEKLY_T100_S020_NO_LIMIT_REFERENCE,82549.112283,-1167.092908,56,41274.556142,3094.249818,26.678231,305641,2.881231,2700.852055,1.704614,140714.354359,27501.556377,0985316E1CEB4214EB0CFF2185C9C81ACC238B8E9B2F58C96EB24AED82A634D5
LONG_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,27114.519974,-563.927568,28,27114.519974,1316.606256,20.594251,102551,0.966733,2644.003469,3.527834,95655.516134,13341.52021,D1A02F363176FE81328494BAE446C602C4184FE55C16B8079224336E844E40B3
SHORT_ONLY_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,26531.777745,-694.023413,28,26531.777745,1523.236461,17.41803,102201,0.963433,2596.038957,2.866535,76054.279068,12758.777981,2493A7CD752A5160B597161750BB6645562559FEC4B836E128C61C4E8B37E71A
DETERMINISTIC_RANDOM_SIDE_28_PAIR_WEEKLY_T100_S020_L3_REFERENCE,26726.881812,-375.382096,28,26726.881812,869.043895,30.754352,102253,0.963923,2613.799283,5.29978,141646.602893,12953.882048,5C128DA19D425063E96B3DB0A4E0E5B1657372D03E1C82D2DD29A5EB58A13A3C
