variant_id,symbol,date_range,price_bundle_id,warehouse_manifest_id,warehouse_hash,weeks_replayed,tail_fraction,tail_activation_adr,tail_trail_adr,hwm_reset_step_adr,cost_fraction,final_equity_mtm_adr,liquidation_mtm_after_estimated_exit_cost_adr,closed_pnl_after_cost_adr,grid_harvest_pnl_adr,tail_realized_pnl_adr,tail_unrealized_pnl_adr,max_equity_drawdown_adr,return_dd_ratio,weekly_mtm_profit_factor,weekly_sharpe,weekly_sortino,weekly_win_rate,fills,grid_target_closes,tails_created,tails_closed,tail_stops,max_open_inventory,max_tail_inventory,total_modeled_execution_cost_with_liquidation_adr,cost_drag_pct_of_gross_profit,final_equity_vs_baseline_adr,max_dd_improvement_vs_baseline_adr,worst_drawdown_window_start_utc,worst_drawdown_window_end_utc,verdict_hint,content_hash
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0,515.039666,515.039666,1268.033864,1268.033864,0,0,-1269.613752,0.405666,1.034596,0.01073,0.015073,0.480597,6044,999,0,0,0,193,0,0,0,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,3FD9EF7F223B648FC02CA4D2F818162263BA60789BB5CB51E42A82B44E5B86F8
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.0025,500.170916,499.929666,1253.165114,1268.033864,0,0,-1271.446252,0.393387,1.033577,0.01042,0.014638,0.480597,6044,999,0,0,0,193,0,15.11,1.191609,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,CFC910183C14643887DC87FA3550DB225E12095FDA2705F7DED00FEAA5ADD9F8
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.005,485.302166,484.819666,1238.296364,1268.033864,0,0,-1273.278752,0.381144,1.03256,0.010109,0.014203,0.480597,6044,999,0,0,0,193,0,30.22,2.383217,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,BE05EA22FA4BE1B59A8713D635C2EB1CDBBF7F29D2CC973B3E57EAE25E7FE59E
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.01,455.564666,454.599666,1208.558864,1268.033864,0,0,-1276.943752,0.356762,1.030529,0.009489,0.013332,0.480597,6044,999,0,0,0,193,0,60.44,4.766434,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,F6DE88D698BCF80A8A75A32E1F18076DD035395490C6193336B82330CBA26E2A
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.02,396.089666,394.159666,1149.083864,1268.033864,0,0,-1284.273752,0.308415,1.026481,0.008249,0.011591,0.480597,6044,999,0,0,0,193,0,120.88,9.532868,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,34B2661A485EE87387734071710341B507F16BB29F4EA8613C136C1588B8732F
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.05,217.664666,212.839666,970.658864,1268.033864,0,0,-1306.263752,0.166631,1.01445,0.00453,0.006373,0.477612,6044,999,0,0,0,193,0,302.2,23.832171,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,532D99B5370F8EA5670D5F9F6BA530FBDF161BDD6047B8D6DC159C9DCAD5218B
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.1,-79.710334,-89.360334,673.283864,1268.033864,0,0,-1342.913752,-0.059356,0.994769,-0.001657,-0.002333,0.477612,6044,999,0,0,0,193,0,604.4,47.664342,,,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,F05D720BEBD11D0911F65176BD681A63256857F58719BE5243AE1960E83D59B2
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.2,-674.460334,-693.760334,78.533864,1268.033864,0,0,-1451.089837,-0.464796,0.95676,-0.013991,-0.01977,0.468657,6044,999,0,0,0,193,0,1208.8,95.328684,,,2024-05-05T23:00:00.000Z,2025-12-29T00:00:00.000Z,baseline,1B4DC5DC79167C88A0692DCFEF6672548B29E90A7BB00293AD36048E12A6FE13
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL000,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0,0,0,OFF,0.5,-2458.710334,-2506.960334,-1705.716136,1268.033864,0,0,-3134.777647,-0.784333,0.853147,-0.050635,-0.072531,0.429851,6044,999,0,0,0,193,0,3022,238.321711,,,,2026-02-23T00:00:00.000Z,baseline,218BFE5CB8DD67B4D44CC6CE7DC500706212868C7EEB3FF544065A6615F74BDE
RAW_HEDGED_GRID_T100_S020_EURUSD_TAIL_TRAIL_SMOKE_TAIL025_A1_TR1,EURUSD,2020-01-06T00:00:00.000Z..2026-05-31T23:00:00.000Z,gate55e_fx_m1_oanda_ny5_v1_20181217_20260607_8E37E953,gate74b_trade_leg_path_ECDE7C4A6553,36290BFDD28B47AFF31CA798C75ED1E7736A4778EBAA3E5FFAB64ECA07C462CC,335,0.025,1,1,OFF,0,513.750428,513.750428,1266.744626,1236.333041,30.411585,0,-1269.558551,0.404669,1.034513,0.010704,0.015037,0.480597,6044,999,999,999,999,193,0.55,0,0,-1.289238,0.055201,2025-03-16T23:00:00.000Z,2025-12-29T00:00:00.000Z,weak,28718FF2B584E871A34CC342984438F40B0C8D5D8D5131889A292F3345AFA020
