variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-01-06T00:00:00.000Z,1,27.100027,-1.98,0.052971,25.172998,-43.930018,-2.936958,9978.306022,10025.172998,-21.693978,15,12,3,33,5,15,12,5,10,9.456944,C8FCD1E4F385139E425FF950F3A7564D64BE20A2FA60063510F30FE786F759FC
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-01-13T00:00:00.000Z,1,58.349945,-3.6,-8.174528,46.575417,-33.109943,-0.54474,10012.920734,10046.575417,34.614712,11,9,2,60,10,18,12,7,10,131.831944,59FBC4E0BE7FB8F423CAF84D3D987985F9D5C9FB488897F55E7D195B55D63CCC
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-01-20T00:00:00.000Z,1,81.899993,-5.16,-8.004973,68.73502,-120.170068,-7.591126,9940.973826,10068.73502,-71.946908,19,17,2,86,15,19,17,7,16,148.7875,C693CC5D2F6696330EAF46F66861ED38476BA07A8F78114263D8B7F985F8EF97
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-01-27T00:00:00.000Z,1,100.109885,-6.6,-28.063086,65.446799,-45.749959,0.091312,10019.788152,10065.446799,78.814326,12,1,11,110,19,32,22,11,21,378.554167,7FCEB27851120B8C15C8A351695EDC00F8A47BB8C3F556F39D05964C7FC053CF
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-02-03T00:00:00.000Z,1,124.009839,-8.34,-27.481712,88.188127,-82.899942,-3.637569,10001.650616,10088.188127,-18.137536,18,15,3,139,24,32,22,11,21,436.691667,8D95743CEDEE4C0BA094AB2F18C96ED0E8A974EC7BF481821978909F6F3BB859
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-02-10T00:00:00.000Z,1,153.949853,-10.2,-27.320509,116.429344,-309.00994,-16.186569,9791.232835,10116.429344,-210.417781,31,28,3,170,30,32,28,11,27,452.811806,8FB004AC1403866FB6C24AA5EE0612E0BAE1D2503BCD538812A04DE105888B5D
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-02-17T00:00:00.000Z,1,177.959878,-12.24,-27.138613,138.581265,-288.000135,-36.225111,9814.356019,10138.581265,23.123184,45,35,10,204,35,45,35,11,34,471.001389,ECA47321088198CBE562EE88A18FC48DCD76945BFE30AE196E61D43EE21E6AD5
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-02-24T00:00:00.000Z,1,236.999349,-16.08,-81.404862,139.514487,-77.519944,0.095945,10062.090488,10139.514487,247.734469,31,10,21,268,45,45,35,21,34,1108.274306,D000425C873EEE71A1A15615C277C8E4B4BBCE320ABDDFB4BFF600E9B2FCF160
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-03-02T00:00:00.000Z,1,409.299542,-19.56,-85.314084,304.425458,-801.140215,1.838699,9505.123942,10304.425458,-556.966546,37,4,33,326,57,45,35,33,34,1150.904861,FCAD9D203DC3431E69A28DB98C33BA00689CED6A44869227C34532EE7D28B802
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-03-08T23:00:00.000Z,1,531.949255,-22.2,-82.496644,427.252611,-276.270075,-3.717829,10147.264707,10427.252611,642.140765,19,18,1,370,64,50,35,33,34,1551.659028,512DCC420C224C80571673A3BFB1B3C511D4A7F19F05F858EEBD33F9998F0E20
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-03-15T23:00:00.000Z,1,697.069434,-25.08,-82.348748,589.640686,-1025.540377,-16.309684,9547.790625,10589.640686,-599.474082,29,26,3,418,74,50,35,33,34,1566.448611,5E47490AF61048C2B636F7462EF13C046EF1349EFEEB54739045B3E4776E54B5
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-03-22T23:00:00.000Z,1,717.769395,-25.8,-82.197866,609.771529,-365.650012,-32.854237,10211.26728,10609.771529,663.476655,35,26,9,430,75,50,35,33,34,1581.536806,F1D6EFC2491A09505E27D7E58F86D83FF8E7D74ACF80D8066F14BE2885196057
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-03-29T23:00:00.000Z,1,823.159475,-26.7,-120.207112,676.252363,-149.249964,-2.26749,10524.734909,10676.252363,313.467629,11,9,2,445,78,50,35,33,34,2068.898611,16C07989EB3CFE6525D8B5730473461BA9E8C987C811618897EBFC62C4B76BDE
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-04-05T23:00:00.000Z,1,846.389564,-27.3,-128.655802,690.433762,-59.259992,0.198834,10631.372604,10690.433762,106.637695,8,1,7,455,79,50,35,33,34,2161.032639,846C4024038F05B9E722C199BC92166717E0563AB47610209B49688BF84CE6E3
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-04-12T23:00:00.000Z,1,906.639475,-29.04,-128.61255,748.986925,-22.599995,-1.565316,10724.821614,10748.986925,93.44901,13,9,4,484,84,50,35,33,34,2243.991667,0EE9D9583BAE0ACECB23FE0880C95F633779E80A329C05B58C5FCC04350081FC
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-04-19T23:00:00.000Z,1,954.969456,-30.54,-128.391655,796.037801,-73.230001,-7.884357,10714.923443,10796.037801,-9.898171,19,14,5,509,89,50,35,33,34,2266.08125,460C424CEF98BF3A442098A0EF79D9C647326C8E2031DCBB769050B7AEAFA614
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-04-26T23:00:00.000Z,1,1011.269466,-32.46,-140.756127,838.053339,-223.620005,0.584991,10615.018325,10838.053339,-99.905118,20,3,17,541,95,50,35,33,34,2400.917361,ED89DE7357E03881BB9306FB4634697F1F5F151C6FD631C399A8045725E4EF40
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-05-03T23:00:00.000Z,1,1049.759318,-34.14,-139.446259,876.173059,-63.72994,-5.445743,10806.997376,10876.173059,191.979051,21,15,6,569,99,50,35,33,34,2531.904167,051ED37C5F7BDAE99A7DDE4D177C8688ADC2DFBD147E5535494709569AE43623
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-05-10T23:00:00.000Z,1,1074.819346,-35.04,-139.121467,900.657879,-113.07006,-15.084757,10772.503062,10900.657879,-34.494314,20,15,5,584,102,50,35,33,34,2564.383333,B54D34D00659437C521E492D9E4B4EB7CAFC78D8CA449FABAE27236F5D9D298B
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-05-17T23:00:00.000Z,1,1123.879228,-36.96,-158.434556,928.484672,-47.080011,-0.575092,10880.829569,10928.484672,108.326507,9,8,1,616,108,50,35,33,34,2855.014583,F1A0D4F7F12E874333C2A735A3060AFB79257E2287261B648A339DB265FAA473
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-05-24T23:00:00.000Z,1,1183.109204,-39.54,-162.52081,981.048394,-217.499893,0.414045,10763.962546,10981.048394,-116.867023,20,2,18,659,115,50,35,33,34,2899.575694,A07A8AEE8B8E720A918407B2623784E65732E953D7574E66A64B1D1F4339FC45
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-05-31T23:00:00.000Z,1,1243.919183,-42.18,-163.852562,1037.886621,-642.449877,1.763868,10397.200612,11037.886621,-366.761934,40,6,34,703,122,50,35,34,34,2914.098611,215B4C6B9AE1422662BAB13E3EB09EBAAE2924B402AE83C7D769022F99CB3BB7
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-06-07T23:00:00.000Z,1,1294.599222,-43.62,-166.802119,1084.177103,-470.050077,3.809991,10617.937017,11084.177103,220.736405,42,8,34,727,127,50,35,34,34,2946.263889,9D3653E8E1C21EF897BCD5EBC086451E1EB9657C413A830754B0CC18219AF2ED
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-06-14T23:00:00.000Z,1,1305.239151,-44.1,-169.837898,1091.301253,-252.720322,4.986938,10843.567869,11091.301253,225.630852,42,8,34,735,128,50,35,34,34,2979.369444,26AAEBF69797BF269A96CE967AD8B06E0C91AD22AFDFEC5F0122AA82B1A4BFC8
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-06-21T23:00:00.000Z,1,1326.289137,-44.7,-174.153592,1107.435545,-304.300101,7.8106,10810.946044,11107.435545,-32.621825,41,7,34,745,130,50,35,34,34,3026.432639,85915E27D5BF2320236DEA8BDDD5F4D9B1D677A6CA0BC0B39DF8315B951AF7D6
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-06-28T23:00:00.000Z,1,1363.059149,-45.78,-178.073894,1139.205255,-403.450098,11.000744,10746.755901,11139.205255,-64.190143,39,5,34,763,134,50,35,34,34,3069.184028,A6352D1BFC02382325A8C8B384CFD3F2AC25BD2047AB4C7E4143E868EAE4C39E
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-07-05T23:00:00.000Z,1,1401.889207,-47.04,-181.438711,1173.410496,-651.870049,13.905042,10535.445489,11173.410496,-211.310412,36,1,35,784,139,50,35,35,34,3105.877778,34DF3DE40E552601879E74D7398FFAAF2114AF9DFC2E3728E8C6794ABF37A3C6
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-07-12T23:00:00.000Z,1,1444.139184,-48.36,-182.784536,1212.994648,-1011.07014,16.443103,10218.367611,11212.994648,-317.077878,40,1,39,806,144,50,35,39,37,3120.554167,A43B66B03962ED5FE1E78AE6598C84DF3BE6685B3DAAF1D7A39D9AB8E1D5C3B7
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-07-19T23:00:00.000Z,1,1495.989193,-50.58,-184.135328,1261.273865,-1942.100302,19.578621,9338.752184,11261.273865,-879.615427,55,1,54,843,150,56,35,54,52,3135.284722,075AE7B3AB52B4698D7F45687D82607D238A629C733480844C6D39F7ECABBC02
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-07-26T23:00:00.000Z,1,1566.219277,-52.92,-185.351053,1327.948224,-3066.110529,23.399979,8285.237674,11327.948224,-1053.51451,69,5,64,882,157,69,35,64,62,3148.542361,4AEC02CDC40D8F69F1861E3736351A148DBB402597AF707DADF1640FA6B1E0A7
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-08-02T23:00:00.000Z,1,1599.379137,-54,-188.524318,1356.854819,-2805.020112,27.75924,8579.593947,11356.854819,294.356273,71,7,64,900,160,73,35,64,62,3183.147222,5E68FE87059B619A9E3CA06BDE8C20A83ACAE4CDC8B05577B5A3D770F40E65C5
RAW_HEDGED_GRID_T100_S020_CONTINUOUS_TRUTH,2020-08-09T23:00:00.000Z,1,1609.489199,-54.36,-192.537785,1362.591414,-3037.809788,32.085006,8356.866632,11362.591414,-222.727315,68,4,64,906,161,73,35,64,62,3226.914583,46A9B6EF1873C32D0DFE105CAB02C79612C3D3B27A7515A2348BF5C8BE893B18
