variant_id,activation_rule_id,cycle_id,pair,side,terminal_timestamp_utc,anchor_week_open_utc,start_timestamp_utc,fill_count,adverse_fill_count,expansion_fill_count,max_add_depth,max_fill_age_days,avg_fill_age_days,terminal_mark_price,terminal_david_ma,side_exit_distance_to_ma_adr,directed_move_from_anchor_adr,price_pnl_adr,liquidation_price_pnl_usd,liquidation_swap_usd,entry_commission_usd,liquidation_net_usd,min_pnl_adr,max_pnl_adr,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|83,AUDCAD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:31:00.000Z,5,4,0,4,0.103472,0.067222,0.9854,0.987832,0.375908,-0.528098,-0.601233,-2.802273,-0.030821,-0.3,-3.133095,-2.103069,0.132797,6A4653B166251A3D8FAD71CC086C422BDDD6AA6F9ABF4ACA59BCB9A69D0BFA71
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDJPY|LONG|74,AUDJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:52:00.000Z,5,4,0,4,0.088889,0.067361,113.482,113.759032,0.351534,-0.542382,-0.359839,-1.778248,-0.030885,-0.3,-2.109133,-2.133425,0.587696,6E89766E988DD45B947EAD3D8F0D5ED37950AD2A76149EE496C8B5816806C6A8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDNZD|SHORT|81,AUDNZD,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-01T00:26:00.000Z,11,10,0,10,4.606944,3.441667,1.21555,1.215021,0.071187,-1.891138,-9.694672,-41.679295,0.378583,-0.66,-41.960712,-11.493179,0.0666,CA2459F21C852D1CE73B005B22909095B36F0AB4E2A523477D0B4E6F68490025
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDUSD|LONG|75,AUDUSD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:37:00.000Z,5,4,0,4,0.099306,0.065972,0.70812,0.710722,0.452703,-0.701562,-1.392426,-8.010011,-0.030248,-0.3,-8.340259,-2.681885,0.093773,D716A668542C134AB5417405A42EAA6DC59CB0B283F01DF54E44E5F62DD9BCD2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CADCHF|SHORT|99,CADCHF,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T11:34:00.000Z,6,5,0,5,0.143056,0.105903,0.57062,0.570079,0.181941,-0.951326,-1.650443,-6.170357,0.006354,-0.36,-6.524003,-2.820298,0.326206,18B638B23CF2B8D64B3C35AD8625673E5EA62B8AD2DFAE174D461CB60320CC28
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CADJPY|LONG|130,CADJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T13:44:00.000Z,2,1,0,1,0.052778,0.052083,115.162,115.204833,0.11329,-0.060844,0.177476,0.418041,-0.009552,-0.12,0.288489,-0.29893,0.43156,BCA14A6C2EFA421EED129FE99512192999164C0B50BD94F13C84485734BE1622
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|CHFJPY|LONG|80,CHFJPY,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:29:00.000Z,6,5,0,5,0.104861,0.085069,201.826,202.238707,0.397421,-0.872231,-1.904572,-12.36031,-0.046805,-0.36,-12.767115,-3.314927,0.030739,5BDD749E02C3D6AD3A9B1D6CAD194A7B177745E0F998E5573830EEFF8045B7D1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURAUD|SHORT|98,EURAUD,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-03T13:08:00.000Z,8,7,0,7,2.077778,1.30651,1.63249,1.631963,0.057931,-1.128203,-3.325907,-21.335657,0.104521,-0.48,-21.711136,-5.870567,0.075139,5FE11C342B24B9778D82D740F7F19F58D9D21EE61178F65FC6FC4C62005F32D5
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURCAD|LONG|114,EURCAD,LONG,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-05T12:31:00.000Z,4,3,0,3,0.103472,0.063368,1.60866,1.610152,0.266135,-0.438568,-0.482855,-1.947223,-0.023243,-0.24,-2.210466,-1.453772,0.449501,58D2C51A9CE041AD4770776550D18E9C7F08F04CAB7C89FC4638265F5558B6E3
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|EURCHF|SHORT|118,EURCHF,SHORT,2026-06-05T15:00:00.000Z,2026-05-31T23:00:00.000Z,2026-06-01T00:02:00.000Z,12,11,0,11,4.623611,3.400868,0.91793,0.917877,0.016128,-1.976325,-10.288843,-42.499895,0.408104,-0.72,-42.811791,-15.07151,0.122185,7C4F6AFC22DB48E2133AE594BFB71CD087A3BEDAAF82995CAE9E49E1544B9FF4
