variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,834.034276,-81.66,-6.969323,745.404953,-305.349505,-4.116694,10435.938754,10745.404953,435.938754,115,32,83,1361,832,125,40,87,16,224.843751,2B909DDECB7EF6FBA3E98602904746A747AA648F91B6BF1551CA03E17E48CCAE
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,1495.010543,-142.98,-17.682353,1334.34819,-786.615729,-21.146891,10526.58557,11334.34819,90.646816,186,135,51,2383,1470,194,139,87,21,922.402083,A25A73E52DC258AAEB58CD1341AA08AD6BE444B7772A4998C391DDFCAE3411F0
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,2148.503984,-223.56,-69.170676,1855.773308,-402.426481,-26.585833,11426.760994,11855.773308,900.175424,92,61,31,3726,2349,194,139,87,21,1836.259028,1355FEB33DB887761972A29BB039B340A756B627052ABF9CCEAD45A3099D885C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,2709.861235,-292.44,-125.768906,2291.652329,-646.57137,-6.481715,11638.599244,12291.652329,211.83825,203,93,110,4874,2943,206,139,116,26,2872.843056,19A573CC19609B66E491AB5755663717CC382FC3862DB20C3C8BA3524AB3A15C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,3643.869132,-365.52,-160.800828,3117.548304,-702.260627,-2.048968,12413.238709,13117.548304,774.639465,175,84,91,6092,3665,213,139,131,26,3872.325694,8A43C88D73134BC1B7DC539751E375DA3262E96D52247714F8646B9DC4FF1E62
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-03T23:00:00.000Z,28,421.278748,-36.6,-4.338362,380.340386,-56.326946,-2.756493,10321.256947,10380.340386,321.256947,36,17,19,610,402,40,22,23,10,94.644439,3DC2239B0747181B8B5EF56796131D7DE7920E0235264A8DB7CC4D05C87DB4CA
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-10T23:00:00.000Z,28,773.659799,-72,-7.332602,694.327197,-602.706666,-18.903408,10072.717123,10694.327197,-248.539824,115,91,24,1200,757,119,91,30,21,273.840267,60DE2C05B70CCAF74EE2C4C382E611B22A99E01F0CE66171205F539CEAAEB42D
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-17T23:00:00.000Z,28,1091.591474,-110.94,-42.326525,938.324949,-241.165493,-27.12176,10670.037696,10938.324949,597.320573,58,49,9,1849,1160,120,99,30,21,871.468037,A22D57517AAE2E0A42254F2E844AC3AB6FFFA17597B54FA5A4A6FA0F8671043E
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-24T23:00:00.000Z,28,1429.128653,-144.6,-92.283708,1192.244945,-244.224522,-1.255245,10946.765178,11192.244945,276.727482,93,38,55,2410,1458,120,99,61,21,1544.005532,5BBF96EF9C36557BA6BAFF634F1E81E317CF12AA07C6D344392363833EA2CBE9
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-31T23:00:00.000Z,28,1909.459406,-182.22,-102.920633,1624.318773,-465.322523,-1.661586,11157.334664,11624.318773,210.569486,100,47,53,3037,1815,120,99,70,21,2014.902053,0EBE193798CA473EB4F28CC169FA77FF6319D3F86E7344EF18E4444805094B14
