"signal_adr_brick","david_ma_period","activation_rule_id","pair","side","fill_count","max_add_depth","max_fill_age_days","side_exit_distance_to_ma_adr","price_pnl_adr","liquidation_price_pnl_usd","liquidation_swap_usd","liquidation_net_usd","net_profit_usd","end_liquidation_positions","max_open_positions"
"0.025","25","candidate_b","GBPNZD","SHORT","17","16","7.009028","-0.086732","-24.026838","-235.355709","0.516174","-235.859536","1532.66","72","87"
"0.025","25","candidate_b","NZDUSD","LONG","10","9","2.48125","-0.045309","-8.279403","-47.180019","-1.294689","-49.074708","1532.66","72","87"
"0.025","25","candidate_b","NZDJPY","LONG","11","10","2.48125","-0.124279","-8.342361","-39.782581","-1.517826","-41.960407","1532.66","72","87"
"0.025","25","candidate_b","USDCHF","SHORT","7","6","0.1125","-0.032901","-3.318504","-21.155504","0.005715","-21.569789","1532.66","72","87"
"0.025","25","candidate_b","CHFJPY","LONG","7","6","0.138889","-0.102987","-2.487431","-16.147645","-0.058904","-16.626549","1532.66","72","87"
"0.025","25","candidate_b","GBPCHF","SHORT","6","5","0.283333","-0.067536","-1.627285","-8.739251","0.009611","-9.08964","1532.66","72","87"
"0.025","25","candidate_b","AUDNZD","SHORT","4","3","2.467361","0.025416","-1.178075","-5.091223","0.093722","-5.237501","1532.66","72","87"
"0.025","25","candidate_b","GBPAUD","LONG","1","0","0.009722","0.158247","-0.107752","-0.821414","-0.000892","-0.882306","1532.66","72","87"
"0.025","25","candidate_b","EURUSD","LONG","2","1","0.036806","-0.058929","-0.131721","-0.669997","-0.005731","-0.795729","1532.66","72","87"
"0.025","25","candidate_b","AUDJPY","SHORT","1","0","0.006944","0.150208","-0.128589","-0.630181","0.000069","-0.690112","1532.66","72","87"
"0.025","25","candidate_b","EURAUD","LONG","1","0","0.011111","0.114162","-0.080124","-0.516925","-0.001019","-0.577944","1532.66","72","87"
"0.025","25","candidate_b","AUDCAD","SHORT","1","0","0.008333","0.141031","-0.111646","-0.51734","0.000083","-0.577257","1532.66","72","87"
"0.025","25","candidate_b","AUDCHF","SHORT","1","0","0.005556","0.105541","-0.012086","-0.050371","0.000056","-0.110316","1532.66","72","87"
"0.025","25","candidate_b","AUDUSD","SHORT","1","0","0.005556","0.109426","-0.006986","-0.039997","0.000056","-0.099942","1532.66","72","87"
"0.025","25","candidate_b","EURNZD","LONG","1","0","0.005556","0.099193","0.003602","0.029126","-0.000509","-0.031384","1532.66","72","87"
"0.025","25","candidate_b","USDJPY","SHORT","1","0","0","0.089761","0.010972","0.031197","0","-0.028803","1532.66","72","87"
"0.025","25","david_contra","GBPNZD","SHORT","14","13","4.266667","-0.086732","-15.251283","-149.841722","0.33009","-150.351632","1576.22","55","96"
