variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-14T23:00:00.000Z,28,2649.922203,-70.56,-15.852856,2563.509347,-24438.958254,-26.759768,-11902.208675,12563.509347,-21902.208675,311,170,141,1176,208,311,170,142,20,474.047917,C3CB5056AFB638E7C5457CFD0FCAC514927AED0B61550E8148E1274F35B833A2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-21T23:00:00.000Z,28,4122.888372,-141.78,-66.808557,3914.299815,-2269.310806,-116.81022,11528.178789,13914.299815,23430.387464,559,357,202,2363,431,570,366,210,27,1954.802081,2D48D5C3267C863FB74DF39D419288D3043F2E2C68A532DB47988D3E7CA29BF3
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-28T23:00:00.000Z,28,5806.260201,-201.06,-215.355566,5389.844635,-2632.342722,-146.376776,12611.125137,15389.844635,1082.946348,457,260,197,3351,634,570,369,245,28,4811.417357,7631185F5D041A3F8CD50D0EBACE4727BE74172A0D02D2453A6D7E4E8335AA1C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-05T23:00:00.000Z,28,8189.313605,-282.42,-296.248034,7610.645571,-3415.191619,-230.942656,13964.511296,17610.645571,1353.386159,507,336,171,4707,896,570,369,245,41,7388.403464,2B38D5C0631B046830E77C18296DE12B0002E21B7CDC05CC2BA295BB0E4A2748
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-12T23:00:00.000Z,28,9244.520539,-326.52,-306.686642,8611.313897,-6741.332335,-459.374437,11410.607125,18611.313897,-2553.904171,633,477,156,5442,1048,635,477,245,41,8532.505546,45CF3622C8C37E05DB41C85DF429CF8161704F07220EE9034D5A7FD62A2CA5B2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-19T23:00:00.000Z,28,10343.468192,-378.06,-373.411559,9591.996633,-8365.810507,-714.330053,10511.856073,19591.996633,-898.751052,752,551,201,6301,1201,775,575,245,41,10742.668739,3DDB427ED972F06D3060F3E08E0F2754D7FC09488BF034AFBC957656CB19243B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-26T23:00:00.000Z,28,11129.195068,-420.42,-417.076742,10291.698326,-10909.177328,-1024.824024,8357.696974,20291.698326,-2154.159099,806,622,184,7007,1336,806,622,245,41,12485.961794,06ADCF0BDB0493DE6CA7D83327AC507EF7AA677F69FC5FF008DBD6ED0D8AE075
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-02T23:00:00.000Z,28,12310.035228,-480.12,-593.794341,11236.120887,-10671.951378,-1249.632213,9314.537296,21236.120887,956.840322,883,640,243,8002,1522,887,645,262,41,15468.306929,B14C2F42879AEFC6C154AFA5EA58A95C20EE3A067958DDC6C9101EB24F623C0A
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-09T23:00:00.000Z,28,13056.554997,-522.48,-838.351644,11695.723353,-12020.002348,-1401.162039,8274.558966,21695.723353,-1039.97833,858,674,184,8708,1651,899,674,262,53,19958.458315,B49D59FDF63AAB5F52A41AD5F3A324849389E8A7866D196E462A0055A2BDFD22
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-16T23:00:00.000Z,28,14184.17625,-588.18,-925.400867,12670.595383,-14177.227942,-1757.148719,6736.218722,22670.595383,-1538.340244,999,736,263,9803,1848,1004,737,274,62,21971.74859,9ABA649B9347AFDE5C9D3F8787D1C66770F46BDBA1487E90DBD751C8F980F8AC
