variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-14T23:00:00.000Z,28,231.924021,-36.54,-4.854812,190.529209,-1.110789,-0.447802,10188.970618,10190.529209,188.970618,21,12,9,609,358,25,14,15,5,107.661806,177BFAEEA26294BBFC72402B2769981BBF955CBE6C0AF2880A63C4823BE6A0C1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-21T23:00:00.000Z,28,273.294972,-93.24,-17.837233,162.217739,-33.868383,-0.078021,10128.271335,10162.217739,-60.699283,53,15,38,1554,853,58,19,45,7,339.317361,01B3488E2B691486F154105FB90A8B35F725D2342233FCDB7333CB8057A4019D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-28T23:00:00.000Z,28,324.769478,-150.9,-25.418776,148.450702,-115.514197,-0.394075,10032.54243,10148.450702,-95.728905,63,25,38,2515,1431,73,28,48,7,619.893056,15A8D786BEED229F39AA0D2EF7B1343B92ED8A2320A2ACC93F46E9C22D78E34E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-05T23:00:00.000Z,28,818.088467,-222.36,-37.753755,557.974712,-18.890611,-0.139566,10538.944535,10557.974712,506.402105,31,22,9,3706,2210,73,37,48,7,928.095139,C749AE2E8C278D39B77DF94C6D43D145E0B5701C6DF29A29D9A5CA8129482FA8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-12T23:00:00.000Z,28,894.173557,-267.18,-50.844078,576.149479,-51.262721,-0.613588,10524.27317,10576.149479,-14.671365,40,27,13,4453,2612,73,37,48,7,1150.332639,D98F577D3BFAB2B0EB9761E816098B4A82C5EBF35A6D9B030DB72FE34A00CE7B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-19T23:00:00.000Z,28,935.88133,-316.44,-65.377046,554.064284,-19.68166,-0.133895,10534.248729,10554.064284,9.975559,40,14,26,5274,3057,73,37,48,7,1413.279167,3C8FBE6A624596A93DA2E4C72216D24244573CC915438F8BDF8AB596B6A8F38C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-26T23:00:00.000Z,28,1272.028361,-373.08,-74.138343,824.810018,-152.854818,-1.412869,10670.542331,10824.810018,136.293602,62,46,16,6218,3637,73,46,48,7,1650.847222,A1A70AB59CB8196E2703F53130102A9D00F6B7EF7114A45058F3DEFA2327DFFB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-02T23:00:00.000Z,28,1572.410943,-447.06,-90.712698,1034.638245,-36.260989,-0.127696,10998.24956,11034.638245,327.707229,47,18,29,7451,4428,73,50,48,7,1959.4625,7E0380CBBD0E4824D7662CA08DB65118B2DCCDDCC9FE290AC547DBB327F86799
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-09T23:00:00.000Z,28,1689.000352,-495.66,-101.206026,1092.134326,-94.099227,-1.144337,10996.890762,11092.134326,-1.358798,54,44,10,8261,4884,73,50,48,7,2224.839583,19A9F65E3AF25848E9AB2860F1499DC7753445AFA4D2EC84CBB9BA2DBD67A7E3
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-16T23:00:00.000Z,28,1665.418476,-561.24,-120.169679,984.008797,-66.69945,-0.11034,10917.199007,10984.008797,-79.691755,52,11,41,9354,5483,73,50,48,7,2538.434722,16CA240B8332B91CD5344229832D43AB93CE9EE2BFCEE8561187D7AF21EA246D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-23T23:00:00.000Z,28,1679.298478,-615.36,-127.727803,936.210675,-31.57211,-0.024912,10904.613653,10936.210675,-12.585354,37,11,26,10256,6039,73,50,48,7,2828.040972,007CDBD7319AF29BC7E791FC03AB874ABCEE975734B6ADCC10C0800286B572CA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-30T23:00:00.000Z,28,1685.62972,-657.36,-136.098898,892.170822,-120.645694,-0.549556,10770.975572,10892.170822,-133.638081,63,38,25,10956,6429,73,50,48,7,3053.527778,003EBC1ABC09FF017D0A38D25FD911811F61A4ACEEA5D091D6E7CED8F881BA88
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-07T23:00:00.000Z,28,1780.362677,-703.74,-150.437156,926.185521,-58.499221,-0.619285,10867.067015,10926.185521,96.091443,48,36,12,11729,6868,73,52,48,7,3360.486806,DB3258E0C7B41F2449BEAB425DB1E4DEE9B0A7A5992994021853BCCEFAF8E140
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-14T23:00:00.000Z,28,1672.969194,-763.5,-165.689417,743.779777,-37.772548,-0.418166,10705.589063,10743.779777,-161.477952,45,36,9,12725,7461,73,52,48,7,3649.156944,5F9A1225029CE127C41E86A9D3F0DAAFC5C939554295622C2F6DFE083CAF3C8D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-21T23:00:00.000Z,28,1827.902144,-818.16,-180.969279,828.772865,-73.518825,-0.774678,10754.479362,10828.772865,48.890299,57,40,17,13636,7978,73,52,48,7,3914.556944,AE50CB432787C704F9AAD5F808EBC9316DEB7AF4E465EC230D98954B9D8A5DEA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-28T23:00:00.000Z,28,1130.728634,-903.06,-200.84477,26.823864,-95.568437,-0.818807,9930.43662,10026.823864,-824.042742,58,47,11,15051,8763,73,56,48,14,4251.379861,BBA980C81F6684907C7B1F2D47F248D4CCF09E2D3C78E6B9562CE6AD1C6DB021
