"cell_id","signal_adr_brick","david_ma_period","spacing_adr","activation_rule_id","return_pct","max_dd_pct","return_to_dd","close_event_pf","close_event_win_pct","weekly_pf","positive_weeks","negative_weeks","worst_week_pct","best_week_pct","fills","fills_per_week","close_events","event_wins","event_losses","avg_win_pct","avg_loss_pct","target_closes","flatten_events","flatten_positions","max_open","max_depth","target_net_pct","flatten_net_pct","commission_pct","swap_pct","content_hash"
"adr0075_ma50_s2","0.075","50","0.2","candidate_b","17.01","-7.7","2.209","1.158","84.17","2.034","21","17","-4.34","4.86","21960","577.9","12783","10759","2024","0.0116","-0.0531","10533","2250","6444","90","14","117.71","-100.7","-13.18","-4.37","EE2D744460F888BAA02C2D36430EFD2F554CE088884FC045FFE6648045568BBB"
"adr005_ma50_s2","0.05","50","0.2","candidate_b","16.42","-5.71","2.876","1.169","84.87","2.022","23","15","-2.97","3.96","26286","691.7","16509","14011","2498","0.0081","-0.0389","14296","2213","5779","86","15","107.86","-91.44","-15.77","-3.78","9D3ADAA67A006BFF2A3026257E71FDF7EC5BFB5CE1E226F2B10540420B4D949C"
"adr010_ma50_s2","0.1","50","0.2","candidate_b","15.51","-8.17","1.898","1.135","81.96","1.72","22","16","-4.45","6.11","19354","509.3","10715","8782","1933","0.0148","-0.0592","8375","2340","7060","101","14","121.83","-106.32","-11.61","-4.78","565E86094FEE1715D932A3B72E48CD741206AD24872419523642A53CA8655867"
"adr0075_ma75_s2","0.075","75","0.2","candidate_b","14.13","-7.65","1.847","1.125","82.69","1.668","22","16","-4.17","5.63","19800","521.1","11116","9192","1924","0.0138","-0.0588","8805","2311","6886","102","14","121.16","-107.03","-11.88","-4.67","CACAB7CC0DC881A30E36A73A366976D4D88C34ADFF299E78FE6FBE8F84C09ED2"
"adr005_ma75_s2","0.05","75","0.2","candidate_b","13.96","-6.78","2.059","1.135","84.59","1.795","24","14","-3.66","4.32","23743","624.8","14303","12099","2204","0.0097","-0.0468","12067","2236","6135","84","15","111.01","-97.04","-14.25","-4.1","A8100E396F23B7598229B9B069BAE40C50548413923EB72054BF02201FA2D9B4"
"adr010_ma50_s2","0.1","50","0.2","candidate_b_david_contra_conflict_candidate","13.57","-3.4","3.991","1.232","81.99","2.287","24","14","-1.72","4.35","10290","270.8","5674","4652","1022","0.0155","-0.0572","4421","1253","3808","94","14","66.24","-52.68","-6.17","-2.5","AB864CA479D68DF6A4489A824073C9070F4C398FC20F494253EEEB8D6560B734"
"adr005_ma50_s2","0.05","50","0.2","candidate_b_david_contra_conflict_candidate","11.61","-2.99","3.883","1.229","85.1","2.237","25","13","-2.88","2.63","13973","367.7","8770","7463","1307","0.0084","-0.0388","7558","1212","3169","63","15","58.61","-47","-8.38","-1.84","4DECB117532CF5BBFD82CCC0918C1A05BC1742D7FDA3EB20CD9FCFF134FAC65C"
"adr005_ma75_s2","0.05","75","0.2","candidate_b_david_contra_conflict_candidate","11.16","-2.1","5.314","1.223","84.75","2.214","23","15","-1.9","2.9","12256","322.5","7421","6289","1132","0.0097","-0.0441","6230","1191","3207","58","15","57.46","-46.3","-7.35","-1.93","866974CBF9D8267AD5B33E4E93E602CA7422CD4EA504C03B4A9621633F56AC4E"
"adr0075_ma50_s3","0.075","50","0.3","candidate_b","10.73","-5.95","1.803","1.126","82.48","1.785","22","16","-3.09","3.79","17758","467.3","12703","10477","2226","0.0091","-0.0382","10426","2277","4822","61","9","91.3","-80.57","-10.65","-3.31","D6394F1EED88E9D599B8213DA42F3740609CB4BF8F850431DB78F00D9648F666"
"adr0075_ma50_s2","0.075","50","0.2","candidate_b_david_contra_conflict_candidate","10.56","-4.36","2.422","1.191","84.03","1.818","24","14","-2.4","3.66","11530","303.4","6674","5608","1066","0.0118","-0.0519","5464","1210","3467","65","14","62.25","-51.69","-6.92","-2.17","46F8C493165EE29F3B86374F62ED83999661C7F8855A735DA6BEEBCF20241190"
