cell_id,activation_rule_id,signal_adr_brick,david_ma_period,spacing_adr,weeks_replayed,net_profit_usd,close_event_profit_factor,close_event_win_pct,weekly_equity_profit_factor,max_equity_drawdown_usd,net_to_abs_equity_dd,worst_4_week_equity_delta_usd,worst_8_week_equity_delta_usd,worst_13_week_equity_delta_usd,entries_opened,max_open_positions,max_add_depth,max_fill_age_days,target_close_net_usd,session_flatten_close_net_usd,total_commission_usd,total_swap_usd,session_flatten_count,session_flatten_positions,end_liquidation_positions,source_artifact_dir
adr025_ma25_s1,raw_both,0.025,25,0.1,26,17585.88,2.644401,88.99,,0,,1050.37,4629.32,8125.85,83772,137,25,3.04,26895.55,-9309.67,-5026.32,-263.46,1737,6013,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s1,raw_both,0.05,25,0.1,26,15542.05,1.898257,90.56,45.413503,-181.33,85.7114,396.18,2236.28,6888.08,72910,184,71,3.08,31135.84,-15593.79,-4374.6,-426.73,2550,10164,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s15,raw_both,0.025,25,0.15,26,14568.21,2.691759,85.38,,0,,849.54,3549.31,7105.46,67997,104,18,3.04,21962.55,-7394.34,-4079.82,-219.19,1869,4866,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s15-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s2,raw_both,0.025,25,0.2,26,12330.14,2.474295,83.21,287.990341,-32.62,377.9933,684.04,3094.22,5733.82,60045,84,13,3.04,19702.92,-7372.77,-3602.7,-202.15,2070,4700,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s1,raw_both,0.1,50,0.1,26,12274.36,1.476977,87.78,8.720715,-765.52,16.034,-121.39,933.87,4123.8,47864,235,72,3.08,34888.52,-22614.16,-2871.84,-621.48,3078,16616,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s1-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s2,raw_both,0.05,25,0.2,26,10307.65,1.916285,87.59,59.931488,-114.02,90.4021,396.57,1685.11,4646.28,49318,112,35,3.08,20523.11,-10215.47,-2959.08,-270.58,2679,6481,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s2-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s1,david_contra,0.025,25,0.1,26,9556.15,2.545217,88.81,83.949028,-61.69,154.906,567.51,2467.1,4493.77,46995,95,25,3.04,15004.55,-5448.4,-2819.7,-146.94,949,3277,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr05_ma25_s1,david_contra,0.05,25,0.1,26,9253.44,2.109636,90.52,38.69331,-145.52,63.5888,83.66,2271.94,4287.94,37688,115,27,3.08,16603.39,-7349.94,-2261.28,-216.86,1360,5143,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr005_ma25_s1-exp010-rsi506040-stoch100-3-100-6040
adr025_ma25_s15,david_contra,0.025,25,0.15,26,7997.71,2.652541,85.53,288.177297,-27.85,287.1709,430.64,1941.21,3822.82,37919,72,18,3.04,12178.56,-4180.86,-2275.14,-120.52,1017,2647,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr025_ma25_s15-exp010-rsi506040-stoch100-3-100-6040
adr1_ma50_s2,raw_both,0.1,50,0.2,26,7851.91,1.527329,86.84,11.963871,-352.85,22.2528,47.31,818.58,2893.79,30658,125,36,3.08,21153.23,-13301.32,-1839.48,-355.74,3084,9209,0,docs/research/gates/gate90/artifacts/gate90c-fast-decision-26w-adr010_ma50_s2-exp010-rsi506040-stoch100-3-100-6040
