variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-14T23:00:00.000Z,28,483.880692,-131.1,-4.793436,347.987256,3.757792,0.000031,10351.745079,10347.987256,351.745079,9,2,7,2185,1204,23,12,20,13,140.193056,1FB33BBD4227062C4C3F1E9B2172E10879C0AEF108DD05D8D53D9168419A3638
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-21T23:00:00.000Z,28,807.698597,-296.7,-12.182545,498.816052,-7.466181,-0.000497,10491.349374,10498.816052,139.604295,30,12,18,4945,2683,49,24,34,17,318.711111,CFE7DF4007D437A422BC9545C35C81F828EC8C0051E483176B119C0D898EA2C2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-28T23:00:00.000Z,28,1082.442712,-457.5,-19.867318,605.075394,-166.860055,-0.08371,10438.131629,10605.075394,-53.217745,91,26,65,7625,4130,101,31,78,22,534.961806,AEB802FC0055BC53A91C62BC981C461CB4B81B6F05DE3D7CCB4D9F5130BD33DA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-05T23:00:00.000Z,28,1061.593531,-655.68,-33.555561,372.35797,-51.664156,-0.037987,10320.655827,10372.35797,-117.475802,52,25,27,10928,5852,132,61,91,22,936.661111,215D5FC03EFC496F95018B00EF46035F07A7B22E6B3F2B4BB7D47C971B1A6C00
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-12T23:00:00.000Z,28,1439.495327,-789.06,-46.891694,603.543633,-80.498456,-0.075347,10522.96983,10603.543633,202.314003,62,37,25,13151,7015,132,61,91,22,1219.922222,8794033354CEED7A16967727ABDA82C3BE367D092B805A963F3AA078E35D7CB0
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-19T23:00:00.000Z,28,1423.325266,-936.6,-63.986217,422.739049,-35.101778,-0.220315,10387.416956,10422.739049,-135.552874,57,30,27,15610,8160,132,61,91,22,1562.872222,163A7B6DE099A936DA5049E474EF96B4920665B0C818524D640E5EF018F72DDA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-26T23:00:00.000Z,28,1899.136477,-1102.98,-76.789919,719.366558,-132.57372,-1.040191,10585.752647,10719.366558,198.335691,95,85,10,18383,9647,132,85,91,22,1860.061806,2711377B18785C17906CAC1B67AFCA8E6684DDCC4E47D8514B4B949312F4FA12
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-02T23:00:00.000Z,28,2542.658125,-1320.66,-100.961316,1121.036809,-128.133465,-0.318138,10992.585206,11121.036809,406.832559,108,35,73,22011,11608,132,96,91,22,2231.923611,BD157B4990F6BF3F33125C1BEE7E7B277FC388A7E068356EEED17BF14BF15A1B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-09T23:00:00.000Z,28,2853.583766,-1463.04,-114.712705,1275.831061,-54.340547,-0.453644,11221.03687,11275.831061,228.451664,66,38,28,24384,12940,132,96,91,22,2651.015278,57C3D0AF761144AD940F3BF476EC3167D8B07D4691BEC0A56357BCE1664237F0
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-16T23:00:00.000Z,28,2933.338179,-1662,-131.814391,1139.523788,-137.641688,-0.344943,11001.537157,11139.523788,-219.499713,125,31,94,27700,14556,146,96,99,22,3040.184722,02E56EDB32AB29BF2217B6C43535EE95091CFDDBA0493A50F257B68398595956
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-23T23:00:00.000Z,28,3207.605409,-1821.72,-143.413872,1242.471537,-36.266657,0.019677,11206.224557,11242.471537,204.6874,42,12,30,30362,16016,146,96,102,22,3517.293056,D4FC52CFC26854767456A547BA92899605C846F50D49EB992F9E36C8CE09F59E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-06-30T23:00:00.000Z,28,3321.777502,-1938.72,-151.696463,1231.361039,-152.574467,-0.429318,11078.357254,11231.361039,-127.867303,115,68,47,32312,17000,146,96,102,22,3752.792361,0B5FF581512BEF184E02A3B957A0ACF523F1FBDB90E4491351AB09E220AE8409
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-07T23:00:00.000Z,28,3557.534013,-2074.32,-171.96204,1311.251973,-72.3053,-0.548848,11238.397825,11311.251973,160.040571,60,46,14,34572,18226,146,96,102,22,4174.604167,EA20044793BA3C9DD6665E204D46AF688CA4208C6FF9E802078CA5DB19499F0C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-14T23:00:00.000Z,28,3527.401356,-2251.5,-191.816768,1084.084588,-44.489771,-0.433948,11039.160869,11084.084588,-199.236956,60,54,6,37525,19738,146,96,102,22,4527.386806,7BB340B2EC630EB130FDAE28CF3B9FCA149DBCB6AE574DA899D92FB9B92103DF
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-21T23:00:00.000Z,28,3647.662756,-2406,-210.114508,1031.548248,-38.103644,-0.271704,10993.1729,11031.548248,-45.987969,47,45,2,40100,21080,146,96,102,26,4839.15,8AF20E4BF693C3AA8282E8590EB7876837E4E8F1584B428603BCB8A3E695CA7B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-07-28T23:00:00.000Z,28,2421.499551,-2667.18,-233.231635,-478.912084,-77.080899,-0.472138,9443.534879,9521.087916,-1549.638021,70,58,12,44453,23180,146,96,102,44,5201.186806,4829C89740C29733B66FAC932FB1A1C56ACDB647954556A463B4456CA3E09038
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-08-04T23:00:00.000Z,28,3028.157485,-2957.34,-259.631846,-188.814361,-7.550631,-0.019623,9803.615385,9811.185639,360.080506,26,9,17,49289,25385,146,96,102,44,5722.307639,DA935EAD52EC9254DB167769B29B14290A97555CE3FE157FF32D2E4F180AEBC2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-08-11T23:00:00.000Z,28,3131.246294,-3097.98,-268.088336,-234.822042,-77.618798,0.055516,9687.614676,9765.177958,-116.000709,62,7,55,51633,26496,146,96,102,44,5973.940972,CC3D738EFD1F7267B932DF2554372E2FE634F7EF16A317787C541C5B6C282FCB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-08-18T23:00:00.000Z,28,3385.926386,-3192.3,-272.272579,-78.646193,-34.989237,-0.006777,9886.357793,9921.353807,198.743117,36,14,22,53205,27385,146,96,102,44,6232.251389,8F4D8AC762116BA2E8F7D16FD6C7B70AFA1FB3D939F18FF3F46FEBB2FB2AF3A8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-08-25T23:00:00.000Z,28,4006.391494,-3342.42,-280.684332,383.287162,-37.686165,-0.091981,10345.509016,10383.287162,459.151223,57,43,14,55707,28721,146,96,102,44,6466.988194,9C8950A6B94AD85B5E0F2D3246931339B5C6207A760BCF45FC9630F2C2D21F05
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-09-01T23:00:00.000Z,28,4078.65461,-3504.6,-296.09847,277.95614,-153.958267,-0.376121,10123.621752,10277.95614,-221.887264,86,38,48,58410,30164,146,96,102,44,6780.620139,A807C10D8AA63FCFA6DA4BAAD465E66350E12B7F73FF74389BF05B0B4CA0064C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-09-08T23:00:00.000Z,28,3830.322937,-3681.06,-307.584914,-158.321977,-263.398132,0.035746,9578.315637,9841.678023,-545.306115,86,9,77,61351,31660,146,96,116,44,7150.409722,6D28991418F651C496F18E6D32518F7852E09CE51A803DDCDF9A2074F95F66E1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-09-15T23:00:00.000Z,28,3713.314666,-3834.18,-316.867908,-437.733242,-63.789386,-0.445745,9498.031627,9562.266758,-80.28401,66,53,13,63903,33021,146,96,116,44,7567.625694,10217AC71456507C6EFFD97D3C4E17A7377B236BC1D83BD8E6F02210AEA7D7B0
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-09-22T23:00:00.000Z,28,4138.436637,-3991.92,-335.997484,-189.480847,-104.746696,0.06225,9705.834707,9810.519153,207.80308,67,18,49,66532,34435,146,96,116,44,7868.907639,D9E8512ADB2936C3F32DAC8BCAC7C48D5C0A6209D2F65561C55685AA2072A151
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-09-29T23:00:00.000Z,28,4097.904756,-4197.3,-349.044004,-448.439248,-71.016827,-0.436166,9480.107759,9551.560752,-225.726948,71,40,31,69955,36050,146,96,116,44,8305.404861,C976DAFE3D90C4D8B0EA3022D8A2158A6E7FB1EB89DC2A9B85CB638C61E24D77
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-10-06T23:00:00.000Z,28,3853.515529,-4393.38,-363.085122,-902.949593,-468.488325,-0.032827,8628.529255,9097.050407,-851.578504,134,35,99,73223,37614,146,96,116,44,8666.061111,BDC2E07BD304C8375A0561C97F36AFFA8FEE61B44E497703BBD5A2D6446B69E4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-10-13T23:00:00.000Z,28,4758.930191,-4604.34,-378.730164,-224.139973,-2.648087,-0.014468,9773.197472,9775.860027,1144.668217,17,11,6,76739,39314,146,96,116,44,9234.504861,7EB1F2E229ACA0CA8B4CC5A28CB794007A407AF08DBECF5BB44C4E851357D5E8
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-10-20T23:00:00.000Z,28,5359.532954,-4715.1,-385.854449,258.578505,-24.66079,-0.163216,10233.754499,10258.578505,460.557027,31,20,11,78585,40398,146,96,116,44,9380.181944,3C019B7EFDCB64F35ECFCCDA22406AB65F2AC881970B813351DB7A521440BEB6
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-10-27T23:00:00.000Z,28,5622.564303,-4889.52,-395.453434,337.590869,-14.937251,-0.00746,10322.646158,10337.590869,88.891659,32,8,24,81492,41938,146,96,116,44,9606.722917,DE948196B81192571378BD38F38CFB58892E783D5F3F4EA3C9201A2695686504
