variant_id,activation_rule_id,group_type,group_key,close_event_count,win_count,loss_count,flat_count,win_pct,total_realized_pnl_adr,adr_normalized_return_pct,avg_realized_pnl_adr,net_usd,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_mfe_adr,avg_mae_adr_abs,mfe_1q_hit_count,mfe_2q_hit_count,mfe_3q_hit_count,mfe_1q_hit_pct,mfe_2q_hit_pct,mfe_3q_hit_pct,mae_1q_hit_count,mae_2q_hit_count,mae_3q_hit_count,mae_1q_hit_pct,mae_2q_hit_pct,mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,session_flatten_account_return_pct,content_hash
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-04-14T23:00:00.000Z,247,201,46,0,81.38,3.789098,3.789098,0.01534,12.75,0.127496,234.82,222.07,1.057413,0.235631,0.39089,75,28,18,30.36,11.34,7.29,74,47,38,29.96,19.03,15.38,226.49,-213.74,-2.137415,0E4F7DBB5BFFFEB8C7B78ACA11B7EFA6B4D784A57B3156CBFFD553B41B3A87D4
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-04-21T23:00:00.000Z,332,272,60,0,81.93,7.464382,7.464382,0.022483,-6.69,-0.066949,281.26,287.95,0.97675,0.213966,0.607625,98,34,19,29.52,10.24,5.72,134,94,77,40.36,28.31,23.19,264.55,-271.25,-2.712464,A5D5CB0815F99EFF57A4AEDB66731E3C28E66BD72CA728ECF5F6B81723FEE400
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-04-28T23:00:00.000Z,341,288,53,0,84.46,-17.841263,-17.841263,-0.05232,-263.6,-2.635981,288.25,551.85,0.522335,0.201728,0.538268,109,34,10,31.96,9.97,2.93,124,77,57,36.36,22.58,16.72,253.14,-516.74,-5.167366,956F8D986F24606022588CAE630EEAE37795A6043B04B7703292EE4E67C3CED8
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-05-05T23:00:00.000Z,454,400,54,0,88.11,77.728854,77.728854,0.171209,351.29,3.512892,525.14,173.85,3.020621,0.24661,0.339977,146,64,28,32.16,14.1,6.17,145,93,66,31.94,20.48,14.54,519.47,-168.18,-1.681801,55CCB292DC1C5CABA3E30D7F34FC662D0EAA62FBD1E325879E081003909E6388
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-05-12T23:00:00.000Z,297,222,75,0,74.75,-3.862936,-3.862936,-0.013007,-104.21,-1.042105,269.49,373.7,0.721137,0.201537,0.543074,91,28,9,30.64,9.43,3.03,125,98,75,42.09,33,25.25,261.53,-365.74,-3.657376,941CCFDB073B03FADFB9D0D6F71FFC4CC123B891F906297D3A33192EBBF388AE
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-05-19T23:00:00.000Z,310,245,65,0,79.03,13.669345,13.669345,0.044095,68.92,0.689167,293.33,224.41,1.307103,0.191282,0.432765,97,30,12,31.29,9.68,3.87,126,84,58,40.65,27.1,18.71,278.59,-209.68,-2.09675,4DDA058BFF920A8ADD2E1D0B4B64C9B8631E75F7516CD3CFD3E27D182C80DCD5
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-05-26T23:00:00.000Z,353,299,54,0,84.7,10.928652,10.928652,0.030959,15.24,0.152447,332.99,317.74,1.047978,0.198863,0.415326,110,40,10,31.16,11.33,2.83,123,75,53,34.84,21.25,15.01,265.54,-250.3,-2.502954,188AC41BD44A9926E50BD78CD763155CC95B4CA94104FA0FDEE092C06BECC4F5
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-06-02T23:00:00.000Z,459,413,46,0,89.98,52.964866,52.964866,0.115392,223.42,2.234162,432.83,209.41,2.066863,0.212991,0.391629,146,57,21,31.81,12.42,4.58,164,110,77,35.73,23.97,16.78,397.25,-173.83,-1.738341,A9DEB743181B1A5FB68C94B92DC98209A7B1D1D861E6D313F5C22E222C475428
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-06-09T23:00:00.000Z,302,252,50,0,83.44,5.333878,5.333878,0.017662,0.01,0.000124,242.15,242.13,1.000051,0.184489,0.420032,88,30,5,29.14,9.93,1.66,111,81,61,36.75,26.82,20.2,231.06,-231.05,-2.31046,F8C312BA7916F30C3D1BF08D5EA58A27DF9B3B75EE771B60470902F2C8528657
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,anchor_week,2019-06-16T23:00:00.000Z,384,317,67,0,82.55,2.743449,2.743449,0.007144,2.88,0.028767,365.26,362.38,1.007938,0.190536,0.540298,121,39,9,31.51,10.16,2.34,143,109,78,37.24,28.39,20.31,360.03,-357.15,-3.571515,3C6B11E9D23808F7619CA3097E811498C9B2A7CD69370632D2C2871042AF4871
