group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
close_reason,david_contra,baseline,,,,session_flatten,,2459,501,1958,20.374136,7021,-1869.482814,-117.420975,641.92,12384.01,0.051834,-0.760261,0.139061,1.262606,0.899322,-5.467106,-19.008597,21.960146,69.45913,296,1662,15.117467,369.289472,404.37372,285C5B919DD67AE993FC67BFFC460911C4311FB99F98383C9F3B4067B99C05E6
close_reason,david_contra,baseline,,,,target,,10798,10609,189,98.249676,16300,2261.854742,126.722261,12714.18,41.95,303.067032,0.20947,0.215571,0.285432,0.006101,0.971697,0.972741,31.84849,27.644008,0,0,0,9.402134,22.12451,25FD6EB6C6C2A11A61D9670E9603DEA130AEAE59B38C942495292D2D719612E0
close_reason,david_contra,lock_1q_stop_adds,,,,session_flatten,,2497,484,2013,19.38326,6628,-1841.159225,-115.09546,603.91,12113.46,0.049855,-0.737349,0.141071,1.208728,0.878419,-5.226797,-18.582207,23.628354,70.204245,359,1654,17.834078,343.192452,384.166717,569F2FAC8D9F3A975AD17921285F1C78F0EC5872004D1631195BB569177DFDDC
close_reason,david_contra,lock_1q_stop_adds,,,,target,,10667,10453,214,97.993813,15688,2187.958226,122.529064,12293.35,40.45,303.935537,0.205115,0.212113,0.27037,0.006998,0.967009,0.968759,31.480266,27.224149,0,0,0,10.869134,27.442727,2DB9499EAA7D854DAD7BFECDA9820D3A08939E6198EA0D802C07E2BF643A8650
close_reason,david_contra,protected_flatten_1q,,,,protected_flatten,,1444,0,1444,0,5065,-1923.822838,-121.600489,0,12160.05,0,-1.332287,0.122033,1.903007,1.454321,-10.917392,-33.62834,21.121884,100,305,1139,21.121884,339.680923,370.180923,E937D7152EF28C4395C979D7EDBA3F2F904D192F00491E2EEBF44893368C4A57
close_reason,david_contra,protected_flatten_1q,,,,session_flatten,,874,569,305,65.102975,1353,92.714734,5.272279,617.05,89.82,6.869616,0.106081,0.186168,0.288646,0.080087,0.569813,0.270461,30.892449,37.299771,34,271,11.147541,8.507483,17.378026,D18A1C52D44C04823EAE9CB687611C3B109F401FC8BFC29FAAC5EBDA6733C5F0
close_reason,david_contra,protected_flatten_1q,,,,target,,10660,10429,231,97.833021,15727,2181.887516,122.099273,12253.62,43.7,280.432759,0.20468,0.212195,0.27297,0.007515,0.964584,0.966586,31.538462,27.654784,0,0,0,12.747651,30.717789,3300E9734C358B7B54940452B2284DD621702C341D2DFBF10EEAFE9B58E0AB95
close_reason,david_contra,trail_1q_0_5q,,,,protection_trail,,2371,2261,110,95.360607,5083,365.420605,18.54064,1949.54,95.47,20.419509,0.154121,0.294528,0.42514,0.140408,0.52328,0.496405,100,73.555462,110,0,100,25.281447,95.806189,60CD3D470E02CB23FC6F1DB00D33A0224AE7439DCBA3CBBC0DA6BF12A22FDF1F
close_reason,david_contra,trail_1q_0_5q,,,,session_flatten,,2440,446,1994,18.278689,6664,-1809.876717,-112.992123,544.26,11843.48,0.045955,-0.741753,0.095424,1.198671,0.837177,-7.773244,-21.531342,5.45082,65.737705,5,1989,0.250752,1.583637,1.854458,ED6081703E0577235BA1EB708999B9B2ADB2FBBA74963EC3F7EA66FE648F3CA9
close_reason,david_contra,trail_1q_0_5q,,,,target,,10640,10456,184,98.270677,14447,1824.829209,101.751129,10214.99,39.87,256.18914,0.171507,0.173417,0.233503,0.00191,0.988986,0.982259,21.231203,18.862782,0,0,0,0,0,5E39242FEC52ACAB4B16C91FFB035818BD3BF840FFDC9605942F9EFFBF40BA57
