group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
start_date_origin,david_contra,trail_1q_0_5q,ugly_no_profit,,,,2019-08-01,19,0,19,0,169,-172.235741,-7.808426,0,780.84,0,-9.065039,0.060935,10.197803,9.125974,-148.76636,-287.137725,0,100,0,19,0,0,0,652E05070EFEEA066ED04F6BD8F207324BB6A29630B3E526505A43578356FE52
start_date_origin,david_contra,baseline,ugly_no_profit,,,,2019-08-01,17,0,17,0,153,-154.503622,-6.881595,0,688.16,0,-9.088448,0.050548,10.229171,9.138996,-179.798168,-323.449577,0,100,0,17,0,0,0,8F84E9FF51392E0E27F65D847F7DA93CEB4001F6EDC4B9F518DFA63CAA3F3F6F
start_date_origin,david_contra,lock_1q_stop_adds,ugly_no_profit,,,,2019-08-01,17,0,17,0,153,-154.503622,-6.881595,0,688.16,0,-9.088448,0.050548,10.229171,9.138996,-179.798168,-323.449577,0,100,0,17,0,0,0,5CE927F9EE198867C30E0A2E0B88751E1ACEB4747C684E29007D9E1E25D5695C
start_date_origin,david_contra,protected_flatten_1q,ugly_no_profit,,,,2019-08-01,17,0,17,0,153,-154.503622,-6.881595,0,688.16,0,-9.088448,0.050548,10.229171,9.138996,-179.798168,-323.449577,0,100,0,17,0,0,0,60B1288CEB79FFED687A8F4D44C9E87B08960E7AF71447DE1ACA82BA9E343730
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,ugly_no_profit,,,,2019-08-01,19,0,19,0,131,-123.823128,-5.956968,0,595.7,0,-6.517007,0.05185,7.756649,6.568856,-125.690512,-2452.050295,0,100,0,19,0,0,0,96D78C1AEAFF89802FFB014DBCCEEF2F8D40C8D4EB3B42A243D987BF079C0729
start_date_origin,triangle_v1_david_contra_extension,baseline,ugly_no_profit,,,,2019-08-01,18,0,18,0,129,-123.577771,-5.946494,0,594.65,0,-6.865432,0.052943,8.160974,6.918374,-129.677135,-2696.492825,0,100,0,18,0,0,0,D30CFF34C462851233713370C97FED10B714D9AC1B86E1D91C815E135D1AA089
start_date_origin,triangle_v1_david_contra_extension,lock_1q_stop_adds,ugly_no_profit,,,,2019-08-01,18,0,18,0,129,-123.577771,-5.946494,0,594.65,0,-6.865432,0.052943,8.160974,6.918374,-129.677135,-2696.492825,0,100,0,18,0,0,0,A14C07E5DAAA0DD20BD2977031A0DD46139B27A022C86F5921A571D5AE77B121
start_date_origin,triangle_v1_david_contra_extension,protected_flatten_1q,ugly_no_profit,,,,2019-08-01,17,0,17,0,127,-123.456464,-5.940007,0,594,0,-7.262145,0.043853,8.60867,7.305998,-165.602232,-2996.038171,0,100,0,17,0,0,0,9CD97F804475AB4485DE16E4561D135BD96E4EE21074D4C59706848A1EA72B12
start_date_origin,david_contra,trail_1q_0_5q,ugly_no_profit,,,,2019-10-10,16,0,16,0,103,-57.803291,-4.728683,0,472.87,0,-3.612706,0.05722,4.685652,3.669926,-63.136839,-67.598667,0,100,0,16,0,0,0,BD00C94D93D5BE82B54D73ED77483A4F7E1B6E1222C8FD0A6C4FE6B352D3F89B
start_date_origin,triangle_v1_david_contra_extension,trail_1q_0_5q,ugly_no_profit,,,,2019-10-10,14,0,14,0,75,-43.856264,-3.78419,0,378.42,0,-3.13259,0.050641,4.493245,3.183232,-61.858427,-75.565582,0,100,0,14,0,0,0,E3155B9FE7CBFEBA0090CA130841F67CD12BF43D564AFE4D42ED836E58AF5A88
start_date_origin,triangle_v1_david_contra_extension,protected_flatten_1q,ugly_no_profit,,,,2019-10-10,13,0,13,0,70,-42.565026,-3.726318,0,372.63,0,-3.274233,0.048624,4.648314,3.322857,-67.337578,-82.063135,0,100,0,13,0,0,0,BD6877DB0B86DEA7451EA5A97EF670051C5AC4DF2DAACEB075631F2AE1915204
start_date_origin,triangle_v1_david_contra_extension,baseline,ugly_no_profit,,,,2019-10-10,13,0,13,0,70,-42.519069,-3.723908,0,372.39,0,-3.270698,0.048624,4.648314,3.319322,-67.264875,-82.028769,0,100,0,13,0,0,0,A4DDFF76A170939C31B46BAF9CB97F748DD2152FD508062CCF992C3DD3F09AE8
start_date_origin,triangle_v1_david_contra_extension,lock_1q_stop_adds,ugly_no_profit,,,,2019-10-10,13,0,13,0,70,-42.519069,-3.723908,0,372.39,0,-3.270698,0.048624,4.648314,3.319322,-67.264875,-82.028769,0,100,0,13,0,0,0,3057D21D88F0FA462F41B9C5771014E36D51A52A668354BD61398335CD4DB8EB
start_date_origin,david_contra,baseline,ugly_no_profit,,,,2019-10-10,12,0,12,0,79,-43.119248,-3.454071,0,345.41,0,-3.593271,0.067719,4.732656,3.66099,-53.06155,-56.070339,0,100,0,12,0,0,0,E14C3DE42315D78E5D4B96EE02C984ECDD1E9B797D7B82E8376DDEFE59E87EF0
