group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
origin_class,david_contra,baseline,target_captured,,,,,10798,10609,189,98.249676,16300,2261.854742,126.722261,12714.18,41.95,303.067032,0.20947,0.215571,0.285432,0.006101,0.971697,0.972741,31.84849,27.644008,0,0,0,9.402134,22.12451,1846D265CF122EEA57CCD6A971CF1276D416F9133A53A8D222CAF071B8D050B0
origin_class,david_contra,baseline,ugly_no_profit,,,,,1007,0,1007,0,4247,-1587.359756,-96.936671,0,9693.67,0,-1.576325,0.068588,2.295596,1.644913,-22.982616,-45.806619,0,100,0,1007,0,0,0,7D712ECEB49482665483E7E658D267AB3362B2CFCD5864417E03FCFEBA91AF95
origin_class,david_contra,baseline,eod_green_leftover,,,,,498,438,60,87.951807,770,100.857798,6.015801,606.34,4.76,127.497442,0.202526,0.237461,0.26919,0.034935,0.852881,0.699019,36.746988,34.538153,2,58,3.333333,0.131267,1.143193,18E81082B3F8F0A4C0C503E5CD09071E1DA531E349BECBBC38108DC6F7525D13
origin_class,david_contra,baseline,small_red_no_profit,,,,,384,0,384,0,384,-26.338092,-2.04291,0,204.29,0,-0.068589,0.053461,0.116842,0.12205,-1.282973,-2.507364,0,0,0,384,0,0,0,65D020BC2198AAC2673C9642084DCC1496E351A271BE53344BC96B862A06F793
origin_class,david_contra,baseline,green_to_red_giveback,,,,,279,0,279,0,1078,-326.534288,-22.294355,0,2229.44,0,-1.170374,0.335245,1.883255,1.505619,-3.491096,-3.985185,100,96.057348,279,0,100,364.267758,392.167758,F3406EA5ACE092C0F16C20D0C5D425ABA8E5AC7912B2ABC484A544F9BA1975E2
origin_class,david_contra,baseline,adverse_no_profit,,,,,213,0,213,0,394,-36.857231,-2.489765,0,248.98,0,-0.173039,0.070206,0.291771,0.243244,-2.464739,-6.453616,0,100,0,213,0,0,0,5C619E04DDE0F1ABFA42A8AE795228D90686B4C3FA2943E22E882EFD0A444823
origin_class,david_contra,baseline,green_profit_leak,,,,,78,63,15,80.769231,148,6.748755,0.326924,35.58,2.89,12.318109,0.086522,0.328353,0.340813,0.24183,0.263505,0.271442,100,61.538462,15,0,100,4.890447,11.062769,063E581D7D074F169227BD2F01889E0FC1A097D33D40AA63EDAECB89579CEC71
origin_class,david_contra,lock_1q_stop_adds,target_captured,,,,,10667,10453,214,97.993813,15688,2187.958226,122.529064,12293.35,40.45,303.935537,0.205115,0.212113,0.27037,0.006998,0.967009,0.968759,31.480266,27.224149,0,0,0,10.869134,27.442727,BA4A5A6A787B55037D3A10BC624EA6FB1B6D54187C91CE5E21A1CFF282FF6194
origin_class,david_contra,lock_1q_stop_adds,ugly_no_profit,,,,,1005,0,1005,0,4239,-1584.793396,-96.682376,0,9668.24,0,-1.576909,0.068709,2.296539,1.645618,-22.950644,-45.722271,0,100,0,1005,0,0,0,C50AA65ECB61233C08E5BA8787582E602402DFE2B13D526847E6B7DECA0C1222
origin_class,david_contra,lock_1q_stop_adds,eod_green_leftover,,,,,486,426,60,87.654321,737,95.488625,5.678946,572.65,4.76,120.414205,0.196479,0.231498,0.256746,0.035019,0.848729,0.695705,36.00823,33.744856,2,58,3.333333,0.131267,1.053622,06711A27BA2025807EAB1F50A22DC0C53F1A3EDD6038B75BCECA0B6F4B2C2DAD
origin_class,david_contra,lock_1q_stop_adds,small_red_no_profit,,,,,381,0,381,0,381,-26.12477,-2.030062,0,203.01,0,-0.068569,0.05351,0.116807,0.122079,-1.281426,-2.511474,0,0,0,381,0,0,0,EADB62DABCDD58B6CCEE83EA658266A243AD00F61C8263AA2555E6EA9FF5C8C2
origin_class,david_contra,lock_1q_stop_adds,green_to_red_giveback,,,,,343,0,343,0,752,-295.131395,-19.891964,0,1989.2,0,-0.860441,0.326486,1.328898,1.186927,-2.635464,-2.885087,100,96.793003,343,0,100,338.515993,372.815993,B64963E02980418D568BB7FC4948D950B1ED634266FB22A8EBEA33CE3BFDFE8B
origin_class,david_contra,lock_1q_stop_adds,adverse_no_profit,,,,,210,0,210,0,388,-36.592992,-2.462928,0,246.29,0,-0.174252,0.070619,0.292217,0.244872,-2.467489,-6.511642,0,100,0,210,0,0,0,86177B0A0627687B6C83886E72C31E9F95A131AC5EB0C49FA338BF4423A7908A
origin_class,david_contra,lock_1q_stop_adds,green_profit_leak,,,,,72,58,14,80.555556,131,5.994703,0.292924,31.26,1.97,15.859534,0.08326,0.326275,0.329331,0.243015,0.255183,0.263409,100,58.333333,14,0,100,4.545192,10.297102,8520C1092F7C95694B9E5D4D9EC0754AA9B76EC927A6246638F7E547ABA12970
origin_class,david_contra,protected_flatten_1q,target_captured,,,,,10660,10429,231,97.833021,15727,2181.887516,122.099273,12253.62,43.7,280.432759,0.20468,0.212195,0.27297,0.007515,0.964584,0.966586,31.538462,27.654784,0,0,0,12.747651,30.717789,F102B63C2D61825D3D63CEF1E8DE984423A5F4F0A0E43A1EA3CB7816393E8F4A
origin_class,david_contra,protected_flatten_1q,ugly_no_profit,,,,,956,0,956,0,4113,-1589.000663,-98.085794,0,9808.58,0,-1.662135,0.068149,2.38119,1.730283,-24.389822,-49.720669,0,100,0,956,0,0,0,7475A6B3234E10DA66AF0F86003B507C6A0F0F6D54B182BA4CB72B979E99A5C6
origin_class,david_contra,protected_flatten_1q,eod_green_leftover,,,,,770,507,263,65.844156,1149,99.565648,5.65917,585.3,19.38,30.202284,0.129306,0.171249,0.251082,0.041943,0.755074,0.539692,22.857143,34.025974,2,261,0.760456,0.131267,1.053622,C96757CACCD3D3640857655091D9A62A05E4DFE203D990A904829252151D7E2D
origin_class,david_contra,protected_flatten_1q,green_to_red_giveback,,,,,308,0,308,0,693,-302.802255,-20.310596,0,2031.06,0,-0.983124,0.325933,1.458279,1.309057,-3.016343,-3.322963,100,100,308,0,100,341.589466,372.389466,6C74678689DC524C37BE72BBB9B6C5C9ED768C01AD92EE70F356B60CAAC6BE83
origin_class,david_contra,protected_flatten_1q,adverse_no_profit,,,,,189,0,189,0,296,-44.947337,-3.859601,0,385.96,0,-0.237817,0.063189,0.27285,0.301006,-3.76356,-8.761748,0,100,0,189,0,0,0,2A7F95325B518077A5E83D8F4C722FDAC2B5EC95FBA0AB0566097D810A4B3AF6
origin_class,david_contra,protected_flatten_1q,green_profit_leak,,,,,91,62,29,68.131868,163,6.290179,0.283441,31.75,3.41,9.310091,0.069123,0.324242,0.324444,0.255119,0.213183,0.218922,100,60.43956,29,0,100,6.467673,14.115861,0B989BC933CD4C5BC85AF867FA8068491ED5847C672706717D8E81D71386484D
origin_class,david_contra,protected_flatten_1q,small_red_no_profit,,,,,4,0,4,0,4,-0.213676,-0.014831,0,1.48,0,-0.053419,0.019764,0.056555,0.073184,-2.702775,-3.811471,0,0,0,4,0,0,0,DE76A693BC3E385D0316CC0AF31F35E680B123C6D2E08ACF9D8866F5FDB836D8
origin_class,david_contra,trail_1q_0_5q,target_captured,,,,,10640,10456,184,98.270677,14447,1824.829209,101.751129,10214.99,39.87,256.18914,0.171507,0.173417,0.233503,0.00191,0.988986,0.982259,21.231203,18.862782,0,0,0,0,0,F7E0C4027F03997FECAAA9B2D083E2234B6BD97FFCBB3D2AD398D4740FC652A2
origin_class,david_contra,trail_1q_0_5q,trail_captured,,,,,2261,2261,0,100,4731,374.570829,19.495383,1949.54,0,,0.165666,0.295505,0.399194,0.129839,0.56062,0.534581,100,72.401592,0,0,,7.314849,67.465995,A4C2F57A1DD4E728EABD04DA30FFF65CFCD2AE24B2E3757C4FF9123DC25FB02D
origin_class,david_contra,trail_1q_0_5q,ugly_no_profit,,,,,1186,0,1186,0,4954,-1819.031132,-112.560127,0,11256.01,0,-1.533753,0.069728,2.249257,1.603481,-21.996222,-43.769735,0,100,0,1186,0,0,0,C77600B344DC6BC2A968EED898359016041A3323264D02AE351F40056A272160
origin_class,david_contra,trail_1q_0_5q,eod_green_leftover,,,,,518,446,72,86.100386,756,89.934274,5.38831,544.26,5.43,100.184384,0.173618,0.20316,0.239052,0.029542,0.854589,0.680524,25.096525,30.11583,2,70,2.777778,0,0,5FA14022D3DD705010247F614BD0DB62826DD573381AF07140F5BA33B67D4023
origin_class,david_contra,trail_1q_0_5q,small_red_no_profit,,,,,474,0,474,0,474,-33.775511,-2.611804,0,261.18,0,-0.071256,0.054337,0.118037,0.125593,-1.311389,-2.567503,0,0,0,474,0,0,0,30599D37735F7CC53D13D38285583EA6F464702786D519763CE3443D682B1BEC
origin_class,david_contra,trail_1q_0_5q,adverse_no_profit,,,,,259,0,259,0,474,-45.6106,-3.091953,0,309.2,0,-0.176103,0.070979,0.291528,0.247082,-2.481049,-7.106278,0,100,0,259,0,0,0,2193D616D28A27B3D3F7278ACDF8C109805160E09F32B42BAA9DD8E68E47B603
origin_class,david_contra,trail_1q_0_5q,green_to_red_giveback,,,,,64,0,64,0,199,-12.049261,-1.022573,0,102.26,0,-0.18827,0.290407,0.901724,0.478676,-0.648297,-0.67765,100,95.3125,64,0,100,17.83529,24.23529,38A949EB68C87C800A35172C26651B23663E2D463ADAAA9E78BC4EDA49328E12
origin_class,david_contra,trail_1q_0_5q,green_profit_leak,,,,,49,0,49,0,159,1.505289,-0.048718,0,4.87,0,0.03072,0.25234,1.011686,0.22162,0.121741,0.130802,100,100,49,0,100,1.714945,5.959362,90882D912CC954CAFB0A352CBF918C16B8C7B0BAB026B5594684A3166D1439C1
origin_class,triangle_v0_no_candidate_b,baseline,target_captured,,,,,318,315,3,99.056604,426,100.155172,5.790056,579.5,0.5,1162.111387,0.314953,0.323279,0.223981,0.008325,0.974247,0.964102,57.861635,21.383648,0,0,0,0.017591,0.367334,43E97E509F89A9D8ECE297C6585A9620FBD16E30021202698D1D47BC7FF005B3
origin_class,triangle_v0_no_candidate_b,baseline,eod_green_leftover,,,,,47,42,5,89.361702,56,7.310743,0.464088,47.12,0.71,66.686629,0.155548,0.220105,0.145741,0.064558,0.706697,0.605703,27.659574,17.021277,0,5,0,0,0.026908,FC382B9DF5EC02F2AD9EC27692AD6E3D4D0846A61091F594C99C91BB2977753D
origin_class,triangle_v0_no_candidate_b,baseline,ugly_no_profit,,,,,33,0,33,0,124,-70.03746,-4.376815,0,437.68,0,-2.122347,0.101449,2.62129,2.223796,-20.920362,-36.414457,0,100,0,33,0,0,0,49AEC1E92A76ACAA1D3E517F23C3F0C20AFF810893852ED19D3BF940527F3E74
origin_class,triangle_v0_no_candidate_b,baseline,small_red_no_profit,,,,,27,0,27,0,27,-2.261231,-0.185196,0,18.52,0,-0.083749,0.100782,0.165854,0.184531,-0.830996,-1.54375,0,0,0,27,0,0,0,CB5167DD2FB0A74BCCED36905D7328F2534748F8F141A96DBC5EBA5437D55881
origin_class,triangle_v0_no_candidate_b,baseline,adverse_no_profit,,,,,13,0,13,0,21,-2.94948,-0.170617,0,17.06,0,-0.226883,0.107562,0.332495,0.334445,-2.109318,-3.411035,0,100,0,13,0,0,0,ABDDCC748F9C9F55870F6FA08F97C44B9D9AB9511667CD0F6B7E653F5C169428
origin_class,triangle_v0_no_candidate_b,baseline,green_to_red_giveback,,,,,12,0,12,0,30,-7.133439,-0.368115,0,36.81,0,-0.594453,0.341315,0.909834,0.935768,-1.741658,-2.002961,100,66.666667,12,0,100,8.298928,9.764074,0F2089D08B011A44DADE1DA9AE22003733B067E3E8ED17B9ACFBDF4AD529B8F0
origin_class,triangle_v0_no_candidate_b,baseline,green_profit_leak,,,,,4,3,1,75,5,0.210635,0.020925,2.1,0.01,354.588712,0.052659,0.320215,0.127097,0.267557,0.164448,0.175342,100,25,1,0,100,0.23881,0.604158,918E20FCAB66C18A084158BE4B53B0B93649294239C808E33042219B31C3FE8A
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,target_captured,,,,,316,312,4,98.734177,407,97.858832,5.651513,565.51,0.36,1578.740298,0.30968,0.321633,0.210704,0.011954,0.962835,0.95102,57.911392,21.202532,0,0,0,0.219943,1.091738,04677000BF58C392E5A2B2AB62A99C1FCE9D1DF6AFF61A2D2989D535C4339BBC
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,eod_green_leftover,,,,,46,41,5,89.130435,55,6.865668,0.400615,40.77,0.71,57.702769,0.149254,0.215215,0.14671,0.065961,0.693511,0.597131,26.086957,17.391304,0,5,0,0,0.026908,67EE674E06381F0520D93F800632FFCAE7065F8C171D3571BC20CF9643845AE6
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,ugly_no_profit,,,,,33,0,33,0,124,-70.03746,-4.376815,0,437.68,0,-2.122347,0.101449,2.62129,2.223796,-20.920362,-36.414457,0,100,0,33,0,0,0,0CA85A6CDBD416DE494BEAC2B57A7A4515D9CE1713BFC464B1E82423EC19C810
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,small_red_no_profit,,,,,27,0,27,0,27,-2.261231,-0.185196,0,18.52,0,-0.083749,0.100782,0.165854,0.184531,-0.830996,-1.54375,0,0,0,27,0,0,0,17A2A062B33EE3DE7ADB957BE258B6383A542386AB1505613AC89A41C1C89485
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,green_to_red_giveback,,,,,13,0,13,0,19,-5.16302,-0.32654,0,32.65,0,-0.397155,0.340243,0.616141,0.737398,-1.167271,-1.2161,100,69.230769,13,0,100,6.355888,7.971034,02165B35F2C8405154E10480886FA55D68404AB1813F5752DD9F9648732ECE61
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,adverse_no_profit,,,,,13,0,13,0,21,-2.94948,-0.170617,0,17.06,0,-0.226883,0.107562,0.332495,0.334445,-2.109318,-3.411035,0,100,0,13,0,0,0,1B45D3D7CEADB1B30C3EE726875E1789F97F47D120C5E8504D627C07B93D759E
origin_class,triangle_v0_no_candidate_b,lock_1q_stop_adds,green_profit_leak,,,,,4,3,1,75,5,0.210635,0.020925,2.1,0.01,354.588712,0.052659,0.320215,0.127097,0.267557,0.164448,0.175342,100,25,1,0,100,0.23881,0.604158,2CD04F90AEEBD0392724936519AC40ED0CDC635440CB010783984E98CF261393
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,target_captured,,,,,333,328,5,98.498498,438,101.102208,5.805116,581.14,0.63,929.769543,0.30361,0.317515,0.236516,0.013904,0.956209,0.94208,56.756757,22.822823,0,0,0,0.268207,1.358224,3F3417D53D94418CE26A61087818A9FAC76E7F6D2A75D357DA7B1C159CD18CB7
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,eod_green_leftover,,,,,65,49,16,75.384615,83,7.264259,0.407337,42.08,1.34,31.315496,0.111758,0.178897,0.194272,0.067139,0.624705,0.495424,18.461538,24.615385,0,16,0,0,0.026908,BE6B2E8A16B22E8B0160E2C60D46BBD36D51507847819EED08CAE64700D0FA23
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,ugly_no_profit,,,,,31,0,31,0,124,-75.271119,-4.746392,0,474.64,0,-2.428101,0.102047,2.952178,2.530147,-23.793974,-40.760805,0,100,0,31,0,0,0,5C7E54B06CC008567E5515DC14979C46561B809344F4901B43DC174ABFDB26A0
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,green_to_red_giveback,,,,,9,0,9,0,15,-4.975875,-0.323668,0,32.37,0,-0.552875,0.351644,0.840485,0.904519,-1.572259,-1.687996,100,100,9,0,100,5.95093,7.045801,AD5BC405386D4B00972D213700B90BC769C8AED9A25FA805BD73AE09F23D97D8
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,adverse_no_profit,,,,,8,0,8,0,10,-2.427479,-0.136767,0,13.68,0,-0.303435,0.113248,0.316259,0.416682,-2.679393,-4.280717,0,100,0,8,0,0,0,7B1AE0693A3D30A9BC17EC7699E3F64A1BE888C9A35A512D3D68A77CB7A611EB
origin_class,triangle_v0_no_candidate_b,protected_flatten_1q,green_profit_leak,,,,,6,3,3,50,7,0.227116,0.020302,2.1,0.07,30.760129,0.037853,0.330368,0.110781,0.292515,0.114577,0.124804,100,16.666667,3,0,100,0.3719,1.013136,AFB260C7013158285EABEFF95E3798A9E265D4F559005E436809DF58AA699938
origin_class,triangle_v0_no_candidate_b,trail_1q_0_5q,target_captured,,,,,290,288,2,99.310345,368,83.663193,4.737804,474.11,0.33,1428.118325,0.288494,0.292921,0.204125,0.004427,0.984887,0.97198,45.517241,16.206897,0,0,0,0,0,C2BAC24C3FB7B16C5D0FB637F85CDF57C1AA0ACA87CC772E02FA58E3650CA203
origin_class,triangle_v0_no_candidate_b,trail_1q_0_5q,trail_captured,,,,,91,91,0,100,132,15.936307,1.002313,100.23,0,,0.175124,0.327996,0.179285,0.152872,0.533922,0.5165,100,37.362637,0,0,,0.025063,2.586932,572F835AE2BE347202D5AB7B9762BC8283FEE39E926D1EC0ACE7DDD4A469F869
origin_class,triangle_v0_no_candidate_b,trail_1q_0_5q,eod_green_leftover,,,,,46,41,5,89.130435,53,6.024449,0.376593,38.37,0.71,54.302624,0.130966,0.194112,0.140581,0.063146,0.674693,0.585147,19.565217,15.217391,0,5,0,0,0,318EF9657AB1A76DD1C0A16F2E02E121D5E7101EC1859C68C57A70F3DD74655F
