group_type,activation_rule_id,protection_mode,origin_class,pair,side,close_reason,start_date_et,close_event_count,win_count,loss_count,win_pct,fill_count,adr_normalized_return_pct,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_realized_pnl_adr,avg_mfe_adr,avg_mae_adr_abs,avg_giveback_adr,aggregate_capture_ratio,avg_capture_ratio,mfe_1q_hit_pct,mae_1q_hit_pct,trail_addressable_loss_count,trail_no_activation_loss_count,trail_addressable_loss_pct_of_losses,trail_1q_1q_theoretical_improvement_adr,trail_1q_0_5q_theoretical_improvement_adr,content_hash
variant,david_contra,baseline,,,,,,13257,11110,2147,83.804782,23321,392.371928,9.301286,13356.09,12425.97,1.074854,0.029597,0.201379,0.466685,0.171782,0.146973,-2.539741,30.014332,35.400166,296,1662,13.786679,378.691606,426.49823,466D25EE369B61214C6D6EA0432585D53E6DB8F43A8FD4C7DF59B0F175B2A5E3
variant,david_contra,lock_1q_stop_adds,,,,,,13164,10937,2227,83.08265,22316,346.799001,7.433603,12897.27,12153.91,1.061162,0.026345,0.198637,0.448361,0.172293,0.132626,-2.552218,29.990884,35.376785,359,1654,16.120341,354.061586,411.609444,A32BC29CEFF718197A216617AE1769EBE24FA0E3794F160ACDA8D1FDACF865AB
variant,david_contra,protected_flatten_1q,,,,,,12978,10998,1980,84.743412,22145,350.779412,5.771063,12870.67,12293.57,1.046944,0.027029,0.20041,0.455392,0.173382,0.134867,-2.627027,30.335953,36.35383,339,1410,17.121212,360.936057,418.276738,CDCDADAC859F16820A0710685C9C5E30582FE3BA5F225B742DEFDFD0EEC71235
variant,david_contra,trail_1q_0_5q,,,,,,15451,13163,2288,85.191897,26194,380.373097,7.299646,12708.79,11978.82,1.060938,0.024618,0.179685,0.415328,0.155067,0.137007,-2.423778,30.826484,34.657951,115,1989,5.026224,26.865084,97.660647,5D1CC5F8AFA0A676615A5D48D90C84FAAD98C92344CD2E160600669B67E6C80C
variant,triangle_v0_no_candidate_b,baseline,,,,,,454,360,94,79.295154,689,25.29494,1.174326,628.72,511.29,1.229681,0.055716,0.277514,0.40706,0.221798,0.200767,-1.922658,46.9163,28.854626,13,78,13.829787,8.555329,10.762474,62C21DBC6EC5FA19540A8A202428DE7B0C2DEA18799AB0FC9C9C0168896A7B96
variant,triangle_v0_no_candidate_b,lock_1q_stop_adds,,,,,,452,356,96,78.761062,658,24.523944,1.013886,608.38,506.99,1.199983,0.054257,0.275901,0.39193,0.221645,0.196652,-1.928643,46.902655,28.982301,14,78,14.583333,6.814641,9.693838,64D2CA5E7E4DF5A22B8569C775E8A0A7B9E5E985FFD09A3B4C1A280D663065B3
variant,triangle_v0_no_candidate_b,protected_flatten_1q,,,,,,452,380,72,84.070796,677,25.91911,1.025928,625.31,522.72,1.196267,0.057343,0.280038,0.42846,0.222695,0.204769,-1.879902,47.787611,31.19469,12,55,16.666667,6.591037,9.444069,B36A79BF3F0C31529B74CB6E2F5E77162D54A36E9718924A4DE19979211AA5CF
variant,triangle_v0_no_candidate_b,trail_1q_0_5q,,,,,,518,420,98,81.081081,761,22.957795,0.976382,612.71,515.07,1.189562,0.04432,0.258566,0.365279,0.214246,0.171407,-1.739429,45.945946,27.413127,6,90,6.122449,0.432076,3.718227,7D2018C2E92B7EACC96B2AAAFE6CA3B5B6EA4832C5AB3096C2A004AA1AFB8BE5
variant,triangle_v1_david_contra_extension,baseline,,,,,,12363,7752,4611,62.703227,15567,177.43224,-0.736576,4645.73,4719.39,0.984393,0.014352,0.084869,0.204106,0.070517,0.169107,-2.200431,9.123999,15.158133,76,987,1.648232,48.44107,63.540895,D0706F46AF8A6AF90C4B0F2E3831F4C0F858487D466AA4F66EB5D36265E039B1
variant,triangle_v1_david_contra_extension,lock_1q_stop_adds,,,,,,12235,7663,4572,62.631794,15317,163.693927,-1.378565,4585.82,4723.68,0.970816,0.013379,0.085138,0.203629,0.071759,0.157146,-2.235929,9.203106,15.243155,88,982,1.924759,53.489681,70.931916,D6D73ED07E1FF8A46F1FA018251661F800859AF5DF577E7D992DEDCCCAB4513A
variant,triangle_v1_david_contra_extension,protected_flatten_1q,,,,,,12154,7787,4367,64.069442,15365,174.308661,-1.830787,4683.27,4866.34,0.962379,0.014342,0.086231,0.211928,0.07189,0.166316,-2.313414,9.330262,16.11815,79,745,1.809022,54.518025,71.786853,31E2331409F339BA627502E837FA4A0AEF499242882E55E43C61BA650C1DCEA9
variant,triangle_v1_david_contra_extension,trail_1q_0_5q,,,,,,12774,8125,4649,63.605762,16058,168.206919,-1.674795,4531.15,4698.62,0.964356,0.013168,0.083573,0.201449,0.070405,0.157562,-2.166611,9.480194,15.382809,14,1080,0.30114,3.16102,16.565154,EB82ECE15507B9DDE952517627FF6F5711E0CE91929C1F74850B6E5DFFBB444F
