variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,min_pnl_timestamp_utc,max_pnl_timestamp_utc,first_mfe_0_5q_timestamp_utc,first_mfe_1q_timestamp_utc,first_mfe_2q_timestamp_utc,first_mfe_3q_timestamp_utc,first_mae_0_5q_timestamp_utc,first_mae_1q_timestamp_utc,first_mae_2q_timestamp_utc,first_mae_3q_timestamp_utc,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDCHF|SHORT|1,AUDCHF,SHORT,target,2019-04-18T01:34:00.000Z,2019-04-18T01:49:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.352499,1.8008,-0.06,0.000104,1.740904,0,0.352499,,2019-04-18T01:49:00.000Z,2019-04-18T01:39:00.000Z,2019-04-18T01:49:00.000Z,,,,,,,0,1,0.010417,0.219258,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|SHORT|2019-04-18T01:33:00.000Z|2019-04-18T01:34:00.000Z,5859719846EE4DE23F180A2B8A251392177CA8133C065F2234F24E1E6E25F1EE
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDNZD|SHORT|1,AUDNZD,SHORT,session_flatten,2019-04-18T14:05:00.000Z,2019-04-18T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.250439,1.250003,-0.06,0.002465,1.192469,0,0.318559,,2019-04-18T17:01:00.000Z,2019-04-18T16:02:00.000Z,2019-04-18T17:00:00.000Z,,,,,,,0,,0.246528,0.3,2019-04-14T23:00:00.000Z|AUDNZD|ny|2019-04-18|SHORT|2019-04-18T14:04:00.000Z|2019-04-18T14:05:00.000Z,EAC53F1F258EA43C13F3DF899B41E45E80D2D7DA8FE06799204F331B999A028F
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|EURNZD|SHORT|1,EURNZD,SHORT,session_flatten,2019-04-18T14:05:00.000Z,2019-04-18T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.224717,2.009995,-0.06,0.002465,1.952461,-0.090558,0.247077,2019-04-18T14:41:00.000Z,2019-04-18T19:16:00.000Z,2019-04-18T16:56:00.000Z,2019-04-18T18:42:00.000Z,,,,,,,0,,0.246528,0.21783,2019-04-14T23:00:00.000Z|EURNZD|ny|2019-04-18|SHORT|2019-04-18T14:04:00.000Z|2019-04-18T14:05:00.000Z,2F7E312F6D2F403DCA6EECE4A1C4DD7DA3351F657BE78F2B8EF69C2F813F370B
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|NZDCAD|SHORT|1,NZDCAD,SHORT,session_flatten,2019-04-15T17:10:00.000Z,2019-04-15T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,-0.065913,-0.239294,-0.06,0.001181,-0.298113,-0.113288,0.080331,2019-04-15T18:42:00.000Z,2019-04-15T17:59:00.000Z,,,,,,,,,0,,0.118056,0.295801,2019-04-14T23:00:00.000Z|NZDCAD|ny|2019-04-15|SHORT|2019-04-15T14:41:00.000Z|2019-04-15T14:42:00.000Z,CC34EE93AF5D0DA659A8D1A9BC357B4364A9D30F1404B5920DD700AFE8363AEC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|NZDJPY|LONG|1,NZDJPY,LONG,session_flatten,2019-04-18T14:05:00.000Z,2019-04-18T20:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.0324,0.151872,-0.06,-0.022607,0.069266,-0.108634,0.10101,2019-04-18T14:42:00.000Z,2019-04-18T14:06:00.000Z,,,,,,,,,0,,0.246528,0.3,2019-04-14T23:00:00.000Z|NZDJPY|ny|2019-04-18|LONG|2019-04-18T14:04:00.000Z|2019-04-18T14:05:00.000Z,658476005274AE4175343DB05A81C516044D1B6BB46EBD2663674BF077983E60
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|USDCHF|SHORT|1,USDCHF,SHORT,target,2019-04-18T07:44:00.000Z,2019-04-18T08:26:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.249647,0.801784,-0.06,0.000292,0.742076,0,0.249647,,2019-04-18T08:26:00.000Z,2019-04-18T07:48:00.000Z,,,,,,,,0,1,0.029167,0.273528,2019-04-14T23:00:00.000Z|USDCHF|asia_london|2019-04-18|SHORT|2019-04-18T07:43:00.000Z|2019-04-18T07:44:00.000Z,3120D53E6AC38A012C3A460C0B99173EF6351CB76086457FDFC3A68F72389455
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|USDCHF|SHORT|2,USDCHF,SHORT,session_flatten,2019-04-18T09:43:00.000Z,2019-04-18T20:00:00.000Z,2019-04-14T23:00:00.000Z,6,5,0,-4.010184,-12.828346,-0.36,0.015486,-13.17286,-4.434462,0.117099,2019-04-18T17:06:00.000Z,2019-04-18T10:15:00.000Z,,,,,2019-04-18T12:01:00.000Z,2019-04-18T12:32:00.000Z,2019-04-18T12:57:00.000Z,2019-04-18T13:02:00.000Z,1,,0.428472,0.273528,2019-04-14T23:00:00.000Z|USDCHF|asia_london|2019-04-18|SHORT|2019-04-18T07:43:00.000Z|2019-04-18T07:44:00.000Z,79A28132445D4C32F35F22423297138635EF9B4975C6704AB6E791F2EDAB50D8
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDJPY|LONG|1,AUDJPY,LONG,target,2019-04-25T08:32:00.000Z,2019-04-25T08:59:00.000Z,2019-04-21T23:00:00.000Z,1,0,0,0.302434,1.278244,-0.06,-0.001719,1.216524,0,0.302434,,2019-04-25T08:59:00.000Z,2019-04-25T08:37:00.000Z,2019-04-25T08:46:00.000Z,,,,,,,0,1,0.01875,0.225139,2019-04-21T23:00:00.000Z|AUDJPY|asia_london|2019-04-25|LONG|2019-04-25T08:31:00.000Z|2019-04-25T08:32:00.000Z,F05331C24CE9711A42A9D0340DB12A393687C9CFB8514CBDE0117A3E06873A7E
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDJPY|LONG|2,AUDJPY,LONG,target,2019-04-25T09:43:00.000Z,2019-04-25T18:20:00.000Z,2019-04-21T23:00:00.000Z,3,2,0,0.072768,0.304631,-0.18,-0.074124,0.050507,-0.96263,0.072768,2019-04-25T15:21:00.000Z,2019-04-25T18:20:00.000Z,,,,,2019-04-25T10:12:00.000Z,2019-04-25T12:07:00.000Z,2019-04-25T12:31:00.000Z,2019-04-25T13:46:00.000Z,1,2,0.359028,0.225139,2019-04-21T23:00:00.000Z|AUDJPY|asia_london|2019-04-25|LONG|2019-04-25T08:31:00.000Z|2019-04-25T08:32:00.000Z,B0B7B2CEBFC074E25760538742D2DCABAD0B214C6EAC81622EED842ABF07EC00
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|EURJPY|LONG|1,EURJPY,LONG,target,2019-04-24T08:05:00.000Z,2019-04-24T08:11:00.000Z,2019-04-21T23:00:00.000Z,1,0,0,0.355024,1.788526,-0.06,-0.000382,1.728144,0,0.355024,,2019-04-24T08:11:00.000Z,2019-04-24T08:06:00.000Z,2019-04-24T08:10:00.000Z,,,,,,,0,1,0.004167,0.201347,2019-04-21T23:00:00.000Z|EURJPY|asia_london|2019-04-24|LONG|2019-04-24T08:04:00.000Z|2019-04-24T08:05:00.000Z,9C271781300DF20B6C0B9BE2AE51011FA9CA430164458740C7866CA62E08422F
