variant_id,activation_rule_id,protection_mode,group_type,group_key,close_event_count,win_count,loss_count,flat_count,win_pct,total_realized_pnl_adr,adr_normalized_return_pct,avg_realized_pnl_adr,net_usd,account_return_pct,gross_profit_usd,gross_loss_abs_usd,profit_factor,avg_mfe_adr,avg_mae_adr_abs,mfe_1q_hit_count,mfe_2q_hit_count,mfe_3q_hit_count,mfe_1q_hit_pct,mfe_2q_hit_pct,mfe_3q_hit_pct,mae_1q_hit_count,mae_2q_hit_count,mae_3q_hit_count,mae_1q_hit_pct,mae_2q_hit_pct,mae_3q_hit_pct,target_close_net_usd,session_flatten_close_net_usd,session_flatten_account_return_pct,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2025-12-08T00:00:00.000Z,7,5,2,0,71.43,-0.948615,-0.948615,-0.135516,-7.93,-0.079265,2.19,10.12,0.216544,0.166126,0.642879,0,0,0,0,0,0,1,1,1,14.29,14.29,14.29,1.6,-9.53,-0.095264,6DCE6FE9332D3EE1AA6F3231F6277E8BB2F2EC1907A565079AABC10AB62B9B29
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2025-12-15T00:00:00.000Z,27,25,2,0,92.59,3.145565,3.145565,0.116502,7.05,0.070476,36.12,29.07,1.242396,0.274712,0.283968,16,3,1,59.26,11.11,3.7,6,4,3,22.22,14.81,11.11,36.12,-29.07,-0.290749,2F2C914329055108F09D0E06A36DB9CBDE8002B58FD7B5410497606908ED98C1
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2025-12-22T00:00:00.000Z,1,0,1,0,0,-0.07385,-0.07385,-0.07385,-0.61,-0.006094,0,0.61,0,0.225334,0.122136,1,0,0,100,0,0,0,0,0,0,0,0,0,-0.61,-0.006094,FC9F834114C2B64B6BBC850C143B8E972C22C71363958AAA586A669D14996763
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2025-12-29T00:00:00.000Z,10,9,1,0,90,1.866351,1.866351,0.186635,7.41,0.074125,14.68,7.26,2.020528,0.319254,0.273059,6,3,2,60,30,20,5,2,1,50,20,10,10.7,-3.29,-0.03286,9073F19A32929E0F573473193B9E8EFB8AC16B815A0E41AC63793FFAA66B7BA2
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-01-05T00:00:00.000Z,16,13,3,0,81.25,2.900686,2.900686,0.181293,10.98,0.109783,13.3,2.33,5.720302,0.264043,0.340692,7,2,0,43.75,12.5,0,6,4,2,37.5,25,12.5,11.26,-0.28,-0.00277,AFCE0D629D98919C6C70326CB9852792C312DA8A79899A85085B183A6B4700C4
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-01-12T00:00:00.000Z,7,6,1,0,85.71,1.23049,1.23049,0.175784,4.96,0.049596,5.12,0.16,32.321978,0.190269,0.096049,3,0,0,42.86,0,0,1,0,0,14.29,0,0,5.12,-0.16,-0.001583,0CE736081591B6EA249B3D7C0EB27150527D24D0DB22B62AA6E537BEC343DAA6
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-01-19T00:00:00.000Z,33,27,6,0,81.82,16.02418,16.02418,0.485581,106.88,1.068844,110.72,3.83,28.87877,0.531654,0.543547,13,4,3,39.39,12.12,9.09,10,8,7,30.3,24.24,21.21,32.47,74.41,0.744138,935EBC76D87A9C1A73E7BAB8C0C3D241D36F34F0648591EEDD774470AB8438F1
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-01-26T00:00:00.000Z,31,25,6,0,80.65,1.158871,1.158871,0.037383,1.51,0.01507,39.45,37.94,1.039721,0.253382,0.336109,12,1,1,38.71,3.23,3.23,8,5,4,25.81,16.13,12.9,35.6,-34.09,-0.340904,0E36EA5B10539768A2246AD477CFCDC93D5F4714614D2B2FF7EB9015F738ACB2
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-02-02T00:00:00.000Z,2,0,2,0,0,-0.228044,-0.228044,-0.114022,-2.08,-0.020788,0,2.08,0,0.162355,0.122646,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.08,-0.020788,D73AF3E029D0EC90A98F9C4F09DCCBE08E9181AC9771789B77C6DDAA7C32655A
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,anchor_week,2026-02-09T00:00:00.000Z,17,12,5,0,70.59,1.573079,1.573079,0.092534,10.35,0.103503,26.38,16.03,1.645772,0.211087,0.271597,5,0,0,29.41,0,0,6,4,2,35.29,23.53,11.76,25.12,-14.77,-0.147702,B189CCC21B7B61E3BAFE09B5C0EF26E165741C97A48748B1EA1BC596E264AA32
