variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,min_pnl_timestamp_utc,max_pnl_timestamp_utc,first_mfe_0_5q_timestamp_utc,first_mfe_1q_timestamp_utc,first_mfe_2q_timestamp_utc,first_mfe_3q_timestamp_utc,first_mae_0_5q_timestamp_utc,first_mae_1q_timestamp_utc,first_mae_2q_timestamp_utc,first_mae_3q_timestamp_utc,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDUSD|LONG|1,AUDUSD,LONG,target,2025-12-09T03:33:00.000Z,2025-12-09T03:35:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,0.196497,0.780003,-0.06,-0.000127,0.719875,0,0.196497,,2025-12-09T03:35:00.000Z,2025-12-09T03:34:00.000Z,,,,,,,,0,1,0.001389,0.245132,2025-12-08T00:00:00.000Z|AUDUSD|asia_london|2025-12-09|LONG|2025-12-09T03:31:00.000Z|2025-12-09T03:33:00.000Z,0F10047501DC24A397FAE07DC5D0171F5F8939D50037FE12E680510FAFA04CCB
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDUSD|SHORT|2,AUDUSD,SHORT,session_flatten,2025-12-10T20:16:00.000Z,2025-12-10T21:00:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,0.079807,0.320002,-0.06,0.000306,0.260308,-0.074819,0.13218,2025-12-10T20:18:00.000Z,2025-12-10T20:55:00.000Z,2025-12-10T20:26:00.000Z,,,,,,,,0,,0.030556,0.209157,2025-12-08T00:00:00.000Z|AUDUSD|ny|2025-12-10|SHORT|2025-12-10T19:40:00.000Z|2025-12-10T19:41:00.000Z,61C57F1227FB1EC63A9100926DA5A645CE2501C67E694213E971651FCBB83B88
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|CADCHF|LONG|1,CADCHF,LONG,target,2025-12-11T15:55:00.000Z,2025-12-11T20:02:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,0.219709,0.955723,-0.06,-0.015729,0.879994,-0.208146,0.219709,2025-12-11T17:13:00.000Z,2025-12-11T20:02:00.000Z,2025-12-11T20:01:00.000Z,,,,2025-12-11T16:56:00.000Z,,,,0,1,0.171528,0.28764,2025-12-08T00:00:00.000Z|CADCHF|ny|2025-12-11|LONG|2025-12-11T15:54:00.000Z|2025-12-11T15:55:00.000Z,272CBA5663F1EDCBE4813B3EC5C124E77A6B889819068AD8443EB3DC23E347FD
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|EURUSD|SHORT|1,EURUSD,SHORT,session_flatten,2025-12-10T20:11:00.000Z,2025-12-10T21:00:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,0.05609,0.29,-0.06,0.00034,0.23034,-0.054157,0.152798,2025-12-10T20:18:00.000Z,2025-12-10T20:37:00.000Z,2025-12-10T20:25:00.000Z,,,,,,,,0,,0.034028,0.234302,2025-12-08T00:00:00.000Z|EURUSD|ny|2025-12-10|SHORT|2025-12-10T19:40:00.000Z|2025-12-10T19:41:00.000Z,1E09EAD453AAB18A5DDE7D13FAC6869FA6EEF54BAD51B8B36F03F2AEDF676300
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|GBPCHF|LONG|1,GBPCHF,LONG,session_flatten,2025-12-11T15:58:00.000Z,2025-12-11T21:00:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,-0.122048,-0.981504,-0.06,-0.019232,-1.060735,-0.237836,0.200282,2025-12-11T20:50:00.000Z,2025-12-11T16:03:00.000Z,2025-12-11T16:02:00.000Z,,,,2025-12-11T17:16:00.000Z,,,,0,,0.209722,0.244165,2025-12-08T00:00:00.000Z|GBPCHF|ny|2025-12-11|LONG|2025-12-11T15:57:00.000Z|2025-12-11T15:58:00.000Z,D38346997CF1F711760A6033E5940F231DC28583039AED7E96BA8FF9CA84F4DB
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|NZDUSD|SHORT|1,NZDUSD,SHORT,session_flatten,2025-12-10T20:11:00.000Z,2025-12-10T21:00:00.000Z,2025-12-08T00:00:00.000Z,1,0,0,0.045839,0.160001,-0.06,0.00034,0.100341,-0.19768,0.094543,2025-12-10T20:18:00.000Z,2025-12-10T20:53:00.000Z,,,,,2025-12-10T20:16:00.000Z,,,,0,,0.034028,0.268904,2025-12-08T00:00:00.000Z|NZDUSD|ny|2025-12-10|SHORT|2025-12-10T19:40:00.000Z|2025-12-10T19:41:00.000Z,281889D02004D057ED0501DB82CF97EB6B1F0C835E33F27EAEEE06829215666A
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|USDCHF|LONG|1,USDCHF,LONG,session_flatten,2025-12-11T09:09:00.000Z,2025-12-11T21:00:00.000Z,2025-12-08T00:00:00.000Z,5,4,0,-1.424509,-8.594441,-0.3,-0.162194,-9.056636,-3.727513,0.166875,2025-12-11T17:19:00.000Z,2025-12-11T09:18:00.000Z,2025-12-11T09:17:00.000Z,,,,2025-12-11T09:39:00.000Z,2025-12-11T10:23:00.000Z,2025-12-11T11:06:00.000Z,2025-12-11T13:32:00.000Z,0,,0.49375,0.3,2025-12-08T00:00:00.000Z|USDCHF|asia_london|2025-12-11|LONG|2025-12-11T09:08:00.000Z|2025-12-11T09:09:00.000Z,CDAEB4639F29E9ECD5D1D5A9277F2A71046EFBBBBBB3E0739CBBFFA31E1C2DD1
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDCHF|LONG|1,AUDCHF,LONG,target,2025-12-16T02:27:00.000Z,2025-12-16T04:02:00.000Z,2025-12-15T00:00:00.000Z,1,0,0,0.157953,0.628312,-0.06,-0.00605,0.562262,-0.113727,0.157953,2025-12-16T02:59:00.000Z,2025-12-16T04:02:00.000Z,2025-12-16T03:22:00.000Z,,,,2025-12-16T02:59:00.000Z,,,,0,1,0.065972,0.201532,2025-12-15T00:00:00.000Z|AUDCHF|asia_london|2025-12-16|LONG|2025-12-16T02:26:00.000Z|2025-12-16T02:27:00.000Z,D929CAEF522B90CC65ED0B4B953CC81A08551CB4A38123E0951505E27B45A677
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDCHF|LONG|2,AUDCHF,LONG,target,2025-12-16T10:02:00.000Z,2025-12-16T11:17:00.000Z,2025-12-15T00:00:00.000Z,1,0,0,0.161036,0.640492,-0.06,-0.004776,0.575716,0,0.161036,,2025-12-16T11:17:00.000Z,2025-12-16T10:30:00.000Z,,,,,,,,1,2,0.052083,0.201532,2025-12-15T00:00:00.000Z|AUDCHF|asia_london|2025-12-16|LONG|2025-12-16T03:06:00.000Z|2025-12-16T03:07:00.000Z,6AAD8C9E7C093130C6A9131CD7849774BB5D522A616331BFA2111116E012C676
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,triangle_v0_no_candidate_b,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B|AUDCHF|LONG|3,AUDCHF,LONG,target,2025-12-16T12:05:00.000Z,2025-12-16T13:35:00.000Z,2025-12-15T00:00:00.000Z,2,1,0,0.493074,1.966294,-0.12,-0.008979,1.837315,-0.290542,0.493074,2025-12-16T12:52:00.000Z,2025-12-16T13:35:00.000Z,2025-12-16T13:32:00.000Z,2025-12-16T13:32:00.000Z,2025-12-16T13:35:00.000Z,,2025-12-16T12:25:00.000Z,2025-12-16T12:44:00.000Z,,,2,3,0.0625,0.201532,2025-12-15T00:00:00.000Z|AUDCHF|asia_london|2025-12-16|LONG|2025-12-16T03:06:00.000Z|2025-12-16T03:07:00.000Z,3275C9698D8C510CF28D64B2AA748AC16ACE8558ECEA31313D2AA9E4810897E8
