row_key,source_close_events_csv,variant_id,pair,side,close_reason,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,price_pnl_adr,min_pnl_adr,max_pnl_adr,cycle_quantum_adr,mfe_units,lockout_1q_add_block,lockout_2q_add_block,lock_floor_adr,lock_shadow_state,shadow_preserved_adr,profit_stop_receipt_mode,profit_stop_floor_adr,profit_stop_shadow_preserved_adr,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH|0|AUDCAD|LONG|2022-01-12T13:40:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2022-01-12T13:40:00.000Z,2022-01-10T00:00:00.000Z,3,2,0.764442,-0.846559,0.764442,0.2,3.82221,true,true,0.564442,protected_or_above_floor,0,receipt_only,0.564442,0,0768A2577140F5E8C83CC440ABA05CE2C51BB7733EC4765C9D0AFBBBC4B7BF17
RAW_GRID_T100_S020_GATE90_RAW_BOTH|1|AUDCAD|SHORT|2022-01-12T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,session_flatten,2022-01-12T21:00:00.000Z,2022-01-10T00:00:00.000Z,4,3,-1.591672,-1.743469,0.188503,0.2,0.942515,false,false,,no_lock_mfe,0,receipt_only,,0,8BECE0B378198A9D8A7A3C48071C1973F9D6926BEED7FCC72EB47786A972DAAD
RAW_GRID_T100_S020_GATE90_RAW_BOTH|2|AUDCAD|SHORT|2022-01-13T15:20:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T15:20:00.000Z,2022-01-10T00:00:00.000Z,2,1,0.374997,-0.512943,0.450713,0.2,2.253565,true,true,0.1,protected_or_above_floor,0,receipt_only,0.1,0,4157E0809894333DB3054D4919E8585C9AD5688D2FA305184678927D91332634
RAW_GRID_T100_S020_GATE90_RAW_BOTH|3|AUDCAD|SHORT|2022-01-13T15:38:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T15:38:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.117063,0,0.117063,0.2,0.585315,false,false,,no_lock_mfe,0,receipt_only,,0,2CBF0BBD30B48349835E77D240E994581E9C22AA833284579B34D884C3BEC5CB
RAW_GRID_T100_S020_GATE90_RAW_BOTH|4|AUDCAD|SHORT|2022-01-13T17:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T17:15:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.072305,-0.165268,0.072305,0.2,0.361525,false,false,,no_lock_mfe,0,receipt_only,,0,0F3F94118D8D769DA06304334B039476D2FFFD9D37ECA073C5D756D4F4E00EDF
RAW_GRID_T100_S020_GATE90_RAW_BOTH|5|AUDCHF|SHORT|2022-01-10T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,session_flatten,2022-01-10T21:00:00.000Z,2022-01-10T00:00:00.000Z,2,1,-0.388652,-0.426096,0.051323,0.2,0.256615,false,false,,no_lock_mfe,0,receipt_only,,0,90284F11CA8663F2CB817B8EA2B1DC2E5BAE23F5322BE7273B83C97D91E29D27
RAW_GRID_T100_S020_GATE90_RAW_BOTH|6|AUDCHF|SHORT|2022-01-11T06:45:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T06:45:00.000Z,2022-01-10T00:00:00.000Z,2,1,0.686427,-0.331733,0.686427,0.2,3.432135,true,true,0.486427,protected_or_above_floor,0,receipt_only,0.486427,0,0F02283B057ADBA4AB819633ECA5D5166769E317405AC57813C1358977DA1C07
RAW_GRID_T100_S020_GATE90_RAW_BOTH|7|AUDCHF|LONG|2022-01-11T07:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,LONG,target,2022-01-11T07:15:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.14521,-0.009368,0.14521,0.2,0.72605,false,false,,no_lock_mfe,0,receipt_only,,0,40C87D6270151379DEEB477DC76AA8B5A4ABB1289D6DBED8C0403FFAB6945406
RAW_GRID_T100_S020_GATE90_RAW_BOTH|8|AUDCHF|SHORT|2022-01-11T08:12:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T08:12:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.102881,-0.112235,0.102881,0.2,0.514405,false,false,,no_lock_mfe,0,receipt_only,,0,13572951BE519B0149F4572CB26131DF712C42FA7B0DE7A9E8EE2AC35346C7EE
RAW_GRID_T100_S020_GATE90_RAW_BOTH|9|AUDCHF|SHORT|2022-01-11T08:35:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T08:35:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.114565,-0.114564,0.114565,0.2,0.572825,false,false,,no_lock_mfe,0,receipt_only,,0,C7287E349B0BB809205D0D9CE78AEC5592DCD623477BE9A26BAE43388DCCBB7F
