row_key,source_close_events_csv,variant_id,activation_rule_id,cycle_id,pair,side,close_reason,anchor_week_open_utc,start_timestamp_utc,close_timestamp_utc,fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,geometry_source,geometry_regime,range_condition_pass,geometry_harvestable_candidate,matched_trigger_row_key,matched_trigger_displacement_timestamp_utc,minutes_from_trigger_to_start,start_trace_status,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|1|AUDCAD|LONG|2022-01-12T13:40:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|1,AUDCAD,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T23:05:00.000Z,2022-01-12T13:40:00.000Z,3,0.764442,3.520934,-0.18,-0.11074,3.230193,-0.846559,0.764442,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,DB1F65291428540D3676F1BE045BA35BC8637BAF8887DB1D5BE50148DB5D052E
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|2|AUDCAD|SHORT|2022-01-12T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|2,AUDCAD,SHORT,session_flatten,2022-01-10T00:00:00.000Z,2022-01-12T13:41:00.000Z,2022-01-12T21:00:00.000Z,4,-1.591672,-7.372708,-0.24,0.01059,-7.602118,-1.743469,0.188503,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,710C30C661A75A4C6171F961A5124833563E99E061BB56CA6FECB7C5E33C4E15
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|3|AUDCAD|SHORT|2022-01-13T15:20:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|3,AUDCAD,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-12T23:05:00.000Z,2022-01-13T15:20:00.000Z,2,0.374997,1.747861,-0.12,0.009931,1.637791,-0.512943,0.450713,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,D916C311598493C388725F284FA75AFADB5B78CD99333327636F3E01E009616E
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|4|AUDCAD|SHORT|2022-01-13T15:38:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|4,AUDCAD,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-13T15:37:00.000Z,2022-01-13T15:38:00.000Z,1,0.117063,0.544689,-0.06,0.000007,0.484696,0,0.117063,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,E2FBD45A054EB23808FE3B0E80F26F6BD16EFC3CA75FCB359E6893987176D38F
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|5|AUDCAD|SHORT|2022-01-13T17:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|5,AUDCAD,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-13T15:54:00.000Z,2022-01-13T17:15:00.000Z,1,0.072305,0.336393,-0.06,0.000563,0.276955,-0.165268,0.072305,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,B9787C2DD2730458DAE57E3A8E8FD1B9EA2B774C7AEB86D075F15A2CCDBA9965
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|1|AUDCHF|SHORT|2022-01-10T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|1,AUDCHF,SHORT,session_flatten,2022-01-10T00:00:00.000Z,2022-01-10T19:55:00.000Z,2022-01-10T21:00:00.000Z,2,-0.388652,-1.790498,-0.12,0.00084,-1.909658,-0.426096,0.051323,matched_trigger_session,harvestable_chop_candidate,true,true,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-10|SHORT|2022-01-10T14:33:00.000Z|2022-01-10T14:34:00.000Z,2022-01-10T14:34:00.000Z,321,matched_prior_trigger,8A517100AE66700A39E6CC020A7B869F51984448A4584640A5BAF8CB78EB5107
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|2|AUDCHF|SHORT|2022-01-11T06:45:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|2,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-10T23:05:00.000Z,2022-01-11T06:45:00.000Z,2,0.686427,3.17337,-0.12,0.004583,3.057954,-0.331733,0.686427,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,003C8261213191A552F91EC2D78CCE2D8A4FDAE1D8A8E7D15796E8684903ECD8
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|3|AUDCHF|LONG|2022-01-11T07:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|3,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T06:52:00.000Z,2022-01-11T07:15:00.000Z,1,0.14521,0.669824,-0.06,-0.001465,0.608359,-0.009368,0.14521,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,73DD37F99D79C9E0673D5B1896E777772DEA9B7FAF703D7E055823808D3D081F
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|4|AUDCHF|SHORT|2022-01-11T08:12:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|4,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-11T07:23:00.000Z,2022-01-11T08:12:00.000Z,1,0.102881,0.475516,-0.06,0.00034,0.415857,-0.112235,0.102881,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,64047C6409337F58585CAF90AE645DB6F890F3EF68B06A760EE7D05E3249FB33
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|5|AUDCHF|SHORT|2022-01-11T08:35:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|5,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-11T08:15:00.000Z,2022-01-11T08:35:00.000Z,1,0.114565,0.529493,-0.06,0.000139,0.469632,-0.114564,0.114565,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,88507A9A4262AC8F53D00697E0F0F50A2926E1D7964A69C3354FBCB30F73D126
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|6|AUDCHF|LONG|2022-01-11T09:03:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|6,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T08:51:00.000Z,2022-01-11T09:03:00.000Z,1,0.133436,0.616135,-0.06,-0.000764,0.555371,-0.04916,0.133436,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,7817667A0F1F4350F723FBE675AC6ABC97F84B08FC1F7FD73483213F28F6E562
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|7|AUDCHF|LONG|2022-01-11T09:29:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|7,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T09:14:00.000Z,2022-01-11T09:29:00.000Z,1,0.1826,0.8433,-0.06,-0.000955,0.782345,-0.021069,0.1826,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,2FCC28B18CD8722585503D913B438FF63F7923727A7F005AC40B3F28FD623398
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|8|AUDCHF|SHORT|2022-01-11T11:35:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|8,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-11T09:35:00.000Z,2022-01-11T11:35:00.000Z,1,0.116876,0.539503,-0.06,0.000833,0.480337,-0.100513,0.116876,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,451091A8E6C804F87A99C1D74BB9BE5994C3B7F8FCFE584F93B4C0A1D112592E
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|9|AUDCHF|SHORT|2022-01-11T12:13:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|9,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-11T11:57:00.000Z,2022-01-11T12:13:00.000Z,1,0.102841,0.474834,-0.06,0.000111,0.414945,-0.002338,0.102841,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,B74EE27B5C00479A9C21977F8650E970CB79304A3635313096C194C785FB5991
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|10|AUDCHF|LONG|2022-01-11T15:31:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|10,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T12:38:00.000Z,2022-01-11T15:31:00.000Z,2,0.400699,1.847616,-0.12,-0.01401,1.713606,-0.236383,0.400699,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,14D2913622ADFD152193BE28111930518CF7E832EEA779AEC8BAD2C169AE0711
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|11|AUDCHF|LONG|2022-01-11T16:05:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|11,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T15:42:00.000Z,2022-01-11T16:05:00.000Z,1,0.107684,0.497565,-0.06,-0.001465,0.436101,-0.117048,0.107684,matched_trigger_session,harvestable_chop_candidate,true,true,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-11|LONG|2022-01-11T14:57:00.000Z|2022-01-11T14:58:00.000Z,2022-01-11T14:58:00.000Z,44,matched_prior_trigger,1E04109CC7071BB22DFDF25CB6A811547FD4168E419D27DB08B6A7E87FF0FCEC
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|12|AUDCHF|LONG|2022-01-11T16:38:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|12,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-11T16:05:00.000Z,2022-01-11T16:38:00.000Z,1,0.11237,0.519652,-0.06,-0.002101,0.45755,-0.044479,0.11237,matched_trigger_session,harvestable_chop_candidate,true,true,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-11|LONG|2022-01-11T14:57:00.000Z|2022-01-11T14:58:00.000Z,2022-01-11T14:58:00.000Z,67,matched_prior_trigger,C5CD26E01585E88B3D0A13E6CD29FF3059F92D19EE7DB1C164DD19DEFD6F5740
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|13|AUDCHF|SHORT|2022-01-11T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|13,AUDCHF,SHORT,session_flatten,2022-01-10T00:00:00.000Z,2022-01-11T17:10:00.000Z,2022-01-11T21:00:00.000Z,2,-0.149655,-0.692848,-0.12,0.002597,-0.81025,-0.355244,0.046756,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,CCF24E13244BD744AD8BD7B9E0C1782B1D1DDC2AA0A507DB341EC51311DA7570
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|14|AUDCHF|SHORT|2022-01-12T08:32:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|14,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-11T23:06:00.000Z,2022-01-12T08:32:00.000Z,2,0.489846,2.272508,-0.12,0.004743,2.157251,-0.280155,0.489846,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,B9B76D3C2B411D123FC414B17A7A96EFABA62365C49E0562ABF4C5B859731013
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|15|AUDCHF|SHORT|2022-01-12T10:13:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|15,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-12T09:46:00.000Z,2022-01-12T10:13:00.000Z,1,0.114432,0.530951,-0.06,0.000188,0.471138,-0.028023,0.114432,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,7AC7CA21E940629444D789B3E29710DDE97D3ED6C9DCC53772863936B28403CF
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|16|AUDCHF|SHORT|2022-01-12T12:27:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|16,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-12T10:52:00.000Z,2022-01-12T12:27:00.000Z,1,0.102755,0.476913,-0.06,0.00066,0.417573,-0.032695,0.102755,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,32333458FA0C175BF024F7B6D803194EE427BA019CAF68BABDDC4D5E27A3874A
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|17|AUDCHF|LONG|2022-01-12T13:23:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|17,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-12T13:17:00.000Z,2022-01-12T13:23:00.000Z,1,0.126279,0.585648,-0.06,-0.000382,0.525266,0,0.126279,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,D3D7E40509E2031E9782B785AA907D7EAF5C2534FCD7D5088C4D7421EA2FF97A
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|18|AUDCHF|SHORT|2022-01-12T15:38:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|18,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-12T13:32:00.000Z,2022-01-12T15:38:00.000Z,3,0.673356,3.154709,-0.18,0.002028,2.976737,-0.627839,0.673356,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,9304BBED36A01D96C339AA0A4EA6756011C5B74C51B87356E4B1A06505093875
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|19|AUDCHF|LONG|2022-01-12T19:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|LONG|19,AUDCHF,LONG,target,2022-01-10T00:00:00.000Z,2022-01-12T15:44:00.000Z,2022-01-12T19:15:00.000Z,2,0.444463,2.079185,-0.12,-0.022989,1.936197,-0.31322,0.444463,pair_week_fallback,harvestable_chop_candidate,true,true,,,,no_in_session_trigger,0C0653B5FDC34554F8F348A99F5E8D860966BE2C2A3579D603551376AB651879
RAW_GRID_T100_S020_GATE90_RAW_BOTH|RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|20|AUDCHF|SHORT|2022-01-12T20:07:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCHF|SHORT|20,AUDCHF,SHORT,target,2022-01-10T00:00:00.000Z,2022-01-12T20:03:00.000Z,2022-01-12T20:07:00.000Z,1,0.121357,0.56904,-0.06,0.000028,0.509067,0,0.121357,matched_trigger_session,dead_chop_cost_churn,false,false,2022-01-10T00:00:00.000Z|AUDCHF|ny|2022-01-12|SHORT|2022-01-12T15:27:00.000Z|2022-01-12T15:27:00.000Z,2022-01-12T15:27:00.000Z,276,matched_prior_trigger,81AB63D1DE790BBB0687CCBA54C3BC022599393E5A990922FC88A79FB2AB83AE
