variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2019-04-14T23:00:00.000Z,1,2.16,-0.18,0.003139,1.983139,0,0,10001.983139,10001.983139,1.983139,0,0,0,3,2,1,0,1,0,0.313889,F20790AD4F84A4876120630F1337E49AF5F910C82B2745F194F7270205499F84
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_LOCK_1Q_STOP_ADDS,2019-04-14T23:00:00.000Z,1,2.16,-0.18,0.003139,1.983139,0,0,10001.983139,10001.983139,1.983139,0,0,0,3,2,1,0,1,0,0.313889,30EC63B099400A6CF8CE14BAE0E43BD19F6923B243565F7885D2097420E3395A
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_1Q,2019-04-14T23:00:00.000Z,1,2.16,-0.18,0.003139,1.983139,0,0,10001.983139,10001.983139,1.983139,0,0,0,3,2,1,0,1,0,0.313889,0FD05378DCF8BBCC31C32C4BC0A0BD3428DCA2FA72A4EA3F01252A2A2E5B85B7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_TRAIL_1Q_0_5Q,2019-04-14T23:00:00.000Z,1,2.16,-0.18,0.003139,1.983139,0,0,10001.983139,10001.983139,1.983139,0,0,0,3,2,1,0,1,0,0.313889,6B311F806A0AF79A6906751828CD061BFFF27ACFC5741361F740F66DB1A0BA2F
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q,2019-04-14T23:00:00.000Z,1,1.739999,-0.18,0.003528,1.563527,0,0,10001.563527,10001.563527,1.563527,0,0,0,3,2,1,0,1,0,0.352778,A562BA04F1363433D45C6823B6C7CD15D84B21A40B55CF5C4E288A3BED3D2DD9
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,2019-04-14T23:00:00.000Z,1,1.739999,-0.18,0.003528,1.563527,0,0,10001.563527,10001.563527,1.563527,0,0,0,3,2,1,0,1,0,0.352778,C3D6544A30C3BAD9A1555A084026586505E43BAAD51F2D76FA77BA207812CBB6
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-14T23:00:00.000Z,1,5.93,-0.96,0.028828,4.998828,0,0,10004.998828,10004.998828,4.998828,0,0,0,16,10,4,0,4,3,2.882639,B6D95FCA782CC8F01D3A6BDEFA5AF4385C74E60DF3FDFFA249D07EB686C995FF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_LOCK_1Q_STOP_ADDS,2019-04-14T23:00:00.000Z,1,3.829996,-0.78,0.018981,3.068977,0,0,10003.068977,10003.068977,3.068977,0,0,0,13,9,2,0,2,1,1.897917,A9742DF2E8F5A67AB29E2855F58D90DDEF19404843A012734795A245D0C27688
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_1Q,2019-04-14T23:00:00.000Z,1,6.989998,-1.08,0.031682,5.94168,0,0,10005.94168,10005.94168,5.94168,0,0,0,18,10,5,0,5,4,3.168056,F57FD92526BA6B6A15268FB629CC6E84673CF4BA4869A54A6C35816E580A3A7A
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_TRAIL_1Q_0_5Q,2019-04-14T23:00:00.000Z,1,6.859986,-1.08,0.034141,5.814127,0,0,10005.814127,10005.814127,5.814127,0,0,0,18,10,5,0,5,4,3.413889,769A123379F9AE1F2B408E9ACE2BE7B10C3E8D4D357BD5EFF0C0A566C8182777
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_PROTECTED_FLATTEN_1Q,2019-04-14T23:00:00.000Z,1,3.829996,-0.72,0.019848,3.129844,0,0,10003.129844,10003.129844,3.129844,0,0,0,12,9,2,0,2,1,1.984722,E81EAA42E229D1F29E1C8C75B6C1B1846E2251EACABE103A9607A592808CA1D4
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA__PROTECT_PROTECTED_FLATTEN_1Q_TRAIL_1Q,2019-04-14T23:00:00.000Z,1,6.989998,-1.02,0.032549,6.002547,0,0,10006.002547,10006.002547,6.002547,0,0,0,17,10,5,0,5,4,3.254861,B19DA0ADD1346F374BF4B61B4AA61F18CF601E5BA9044CD6561B0F8AC8C7FEE7
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B,2019-04-14T23:00:00.000Z,1,1.819997,-0.06,0.000104,1.760101,0,0,10001.760101,10001.760101,1.760101,0,0,0,1,1,1,0,1,0,0.010417,A0EB7E3C83054CC132FC0BC48D14D0F3D9E000D87BAA8F0F7E92A95218AA96A1
RAW_GRID_T100_S020_GATE90_TRIANGLE_V0_NO_CANDIDATE_B__PROTECT_LOCK_1Q_STOP_ADDS,2019-04-14T23:00:00.000Z,1,1.819997,-0.06,0.000104,1.760101,0,0,10001.760101,10001.760101,1.760101,0,0,0,1,1,1,0,1,0,0.010417,8B5A8A262730F17BF6239EBCD20FDE2034DB8E3591FA59152F47B464175C0821
