variant_id,close_reason,rows,preserve_candidates,shadow_preserved_adr,avg_shadow_preserved_adr,no_lock_mfe_rows,protected_or_above_floor_rows,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,session_flatten,578,117,171.522992,1.466008,400,61,629FC0746D945752F7FC55B51EA801CD4FCD98B48D919450E7D31DF694211516
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,session_flatten,277,54,88.800436,1.644453,190,33,4BDE37ADFA6CF313EEFAF22996EB8AD6797227ABD93650287B78F4DFCA78CD10
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,session_flatten,281,57,64.613434,1.133569,189,35,5490BFD616F79F3650C1C5C79CC091AA419BB68EA696B2C3986E716B22FF611E
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,session_flatten,182,29,35.159015,1.21238,127,26,44FF7EFC8392C6A83A876E7ECF8867ECE745C0246E6E50EB4BBBBFA415E375DE
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,session_flatten,123,17,24.491374,1.440669,88,18,A940514443F66F4802A907B61AF2D0CF01CC9A9AD55D6ED549CC9056C2B3FC45
RAW_GRID_T100_S020_GATE90_RAW_BOTH,target,2876,17,5.545043,0.326179,2090,769,A1FCAD70156D0BC6D92D6F16BA97BD541DB8853DE1778903F39519401C15C4F1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,target,1405,9,3.595159,0.399462,1005,391,DDF665CF9C4DD609CF6B5FDA2D75216BCCFF00C4D22994FD30974ED896D0BC89
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,target,923,9,2.939831,0.326648,639,275,0036653993FF077639ABF748E042FECC85653AB1CB1A2B1EE5294021915E0429
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,target,660,6,2.123412,0.353902,454,200,01BFB6AF4BC4B77430591597CE79A7284D9B28E9BE8A9335178D72AB969F706A
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,target,1433,7,1.616183,0.230883,1051,375,B6D73B8C5450A57FD21C549B65315AC78AEC50F6571D1F209DAA192FC8A0112F
