row_key,source_close_events_csv,variant_id,pair,side,close_reason,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,price_pnl_adr,min_pnl_adr,max_pnl_adr,cycle_quantum_adr,mfe_units,lock_floor_adr,lock_shadow_state,shadow_preserved_adr,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH|0|AUDCAD|LONG|2022-01-12T13:40:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2022-01-12T13:40:00.000Z,2022-01-10T00:00:00.000Z,3,2,0.764442,-0.846559,0.764442,0.2,3.82221,0.564442,protected_or_above_floor,0,15597CB1D0E9BDAA3087F9B50274E6E3CB8AAFDFFE336A2E1AB492FE43A2A1CD
RAW_GRID_T100_S020_GATE90_RAW_BOTH|1|AUDCAD|SHORT|2022-01-12T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,session_flatten,2022-01-12T21:00:00.000Z,2022-01-10T00:00:00.000Z,4,3,-1.591672,-1.743469,0.188503,0.2,0.942515,,no_lock_mfe,0,CE6A31E73BC13736F43B9A621A98B388C6045C5A8E624DAD1275F4AEED0F0649
RAW_GRID_T100_S020_GATE90_RAW_BOTH|2|AUDCAD|SHORT|2022-01-13T15:20:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T15:20:00.000Z,2022-01-10T00:00:00.000Z,2,1,0.374997,-0.512943,0.450713,0.2,2.253565,0.1,protected_or_above_floor,0,FFC75A6C82F125BB659C35D89D20849CE062BE2C877C0EAC03028169DD28F616
RAW_GRID_T100_S020_GATE90_RAW_BOTH|3|AUDCAD|SHORT|2022-01-13T15:38:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T15:38:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.117063,0,0.117063,0.2,0.585315,,no_lock_mfe,0,D1451E82093D13B732C01C7395EB692D2D6E6D20C5DF61FD01DDE13C7E0311CA
RAW_GRID_T100_S020_GATE90_RAW_BOTH|4|AUDCAD|SHORT|2022-01-13T17:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2022-01-13T17:15:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.072305,-0.165268,0.072305,0.2,0.361525,,no_lock_mfe,0,75CD07F2B7A96A551457F1D88080F7F73FBD62081D70150CE147D5C85B9DB257
RAW_GRID_T100_S020_GATE90_RAW_BOTH|5|AUDCHF|SHORT|2022-01-10T21:00:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,session_flatten,2022-01-10T21:00:00.000Z,2022-01-10T00:00:00.000Z,2,1,-0.388652,-0.426096,0.051323,0.2,0.256615,,no_lock_mfe,0,B1556BEAC22405E7570CC9C993BC70BC6964278C6BD6B00A8C70A00E4B0D8586
RAW_GRID_T100_S020_GATE90_RAW_BOTH|6|AUDCHF|SHORT|2022-01-11T06:45:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T06:45:00.000Z,2022-01-10T00:00:00.000Z,2,1,0.686427,-0.331733,0.686427,0.2,3.432135,0.486427,protected_or_above_floor,0,B28EA9A34DF2B9C87A826E8DD112347B8ED59448F20B07F888507B59914FFCB2
RAW_GRID_T100_S020_GATE90_RAW_BOTH|7|AUDCHF|LONG|2022-01-11T07:15:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,LONG,target,2022-01-11T07:15:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.14521,-0.009368,0.14521,0.2,0.72605,,no_lock_mfe,0,12A02C8DF53EBBE8AD05A5D05C633A8B1AA31631A38590CC3A13D60A367F219A
RAW_GRID_T100_S020_GATE90_RAW_BOTH|8|AUDCHF|SHORT|2022-01-11T08:12:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T08:12:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.102881,-0.112235,0.102881,0.2,0.514405,,no_lock_mfe,0,D58E457C00345E731881E2E3C86433BA8CC47E361C01CB143943B8336166D6D7
RAW_GRID_T100_S020_GATE90_RAW_BOTH|9|AUDCHF|SHORT|2022-01-11T08:35:00.000Z,docs/research/gates/gate90/artifacts/gate90d-start-trace-oos4-refresh/close-events.rows.csv,RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCHF,SHORT,target,2022-01-11T08:35:00.000Z,2022-01-10T00:00:00.000Z,1,0,0.114565,-0.114564,0.114565,0.2,0.572825,,no_lock_mfe,0,94843D33075978CC4DDE3F76D762A6960DB53DC21257365B63921B31B97F520A
