variant_id,activation_rule_id,start_trace_status,rows,session_flatten_rows,target_rows,net_usd,avg_net_usd,gross_profit_usd,gross_loss_abs_usd,profit_factor,win_pct,avg_price_pnl_adr,avg_max_pnl_adr,avg_minutes_from_trigger_to_start,content_hash
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,candidate_b,matched_prior_trigger,109,15,94,50.333094,0.461772,94.404371,44.071277,2.142084,89.908257,0.109565,0.17688,140.889908,2AC3F5ED75A139269CF69E148B31E232C36EF90D23921DAF6CA993C79DA9E620
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,candidate_b,no_in_session_trigger,1605,266,1339,471.143308,0.293547,1911.748433,1440.605125,1.327045,86.666667,0.06402,0.219782,,4F288134044DFF073EA7E24CB254592C154874E54AC4F51645B94651B519CE90
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,matched_prior_trigger,94,14,80,27.166026,0.289,83.86637,56.700344,1.479116,86.170213,0.085695,0.197724,153.904255,9E773E8D437C464D42CCD553EB79512969A32A8BF0E5BB9CAE02EF8C22DB7373
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,david_contra,no_in_session_trigger,1588,263,1325,302.55614,0.190527,1907.859732,1605.303592,1.188473,86.775819,0.042148,0.223762,,6F01B738176BB12E978B07EF75DDF65F19E41ABFD46872754B5AC816DF5245AE
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,david_stoch_confirm,matched_prior_trigger,47,10,37,27.292864,0.580699,45.449142,18.156278,2.503219,80.851064,0.121204,0.209346,128.255319,93D42CBEFA8584A7619E3136B218A7BE0ED9FBC848AEFD4BC760A18ECE8D86C9
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,david_stoch_confirm,no_in_session_trigger,736,113,623,266.250406,0.361753,914.462931,648.212525,1.410746,88.043478,0.085645,0.232271,,84C2EA94C4379E38A2D0773E138C7E38A59ED1075115C5480494A1A3592DB4A1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,matched_prior_trigger,217,35,182,93.074658,0.428915,199.478358,106.4037,1.874731,87.096774,0.104653,0.186542,167.442396,90230A1FCC4320B647330952A600EE885ABF368D436AF035AAD862FFC392E8AA
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,no_in_session_trigger,3237,543,2694,765.526087,0.236492,3894.840835,3129.314748,1.244631,86.43806,0.053534,0.223769,,914A8B1F808838A5314DD831811E6F52DE93310F1C219D9E5E36D3898445D0F8
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,stoch_contra,matched_prior_trigger,84,18,66,54.089011,0.643917,76.74357,22.654559,3.387555,85.714286,0.131947,0.196131,133.892857,DAE8B9498E9F976A633A85F1547B7C762D40D5EC50299521924C96E13B327C42
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,stoch_contra,no_in_session_trigger,1021,164,857,252.732258,0.247534,1237.432909,984.700651,1.256659,87.169442,0.07021,0.228637,,C4A31DC9A2CCB5B9FB93CA4313F5B8256B5DD0812258F6572A39CE72F35EA1DD
