variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2022-01-10T00:00:00.000Z,28,56.623767,-49.2,-5.421182,2.002585,-173.438043,-1.762982,9826.80156,10002.002585,-173.19844,95,71,24,820,383,105,81,28,9,126.070831,F7BBA1900AE0ECC16B4BA1D3B7000FFE9023ED68AA687831B8B4C9D23E706BA4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2022-01-17T00:00:00.000Z,28,330.206733,-117.06,-31.897066,181.249667,-289.71095,-3.205632,9888.333085,10181.249667,61.531525,117,87,30,1951,924,118,88,41,10,578.218743,DCD4AFB142C2BDEF31CA4D7908CCAE0DAF108758EBEE20B8378D8E1ED099D59F
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2022-01-24T00:00:00.000Z,28,884.119303,-215.76,-64.570062,603.789241,-171.343737,-0.620743,10431.824761,10603.789241,543.491676,88,34,54,3596,1743,129,99,64,10,1153.015264,1756A7F68A878038E4DFCB92B494410B36529F0786B7D99160E0CCCE9BB28A0A
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2022-01-31T00:00:00.000Z,28,962.905517,-294.9,-76.06795,591.937567,-254.654403,-0.731242,10336.551922,10591.937567,-95.272839,100,46,54,4915,2398,129,99,74,17,1600.29651,66D440D87CDA463CD897B4FCC7816CAFD2E3C8F881EE756B7142FB9F37FC83CF
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2022-02-07T00:00:00.000Z,28,1332.014498,-353.64,-91.909975,886.464523,-27.343025,-0.520627,10858.600871,10886.464523,522.048949,49,27,22,5894,2876,129,99,74,17,2056.823589,39D3BF989AC67FD903FD1806A6784F6B92024D400D5291E4A899AFF69859FC24
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-10T00:00:00.000Z,28,80.340685,-25.92,-2.249546,52.171139,-26.635488,-0.200653,10025.334998,10052.171139,25.334998,26,12,14,432,215,36,22,20,9,73.124306,FC9874BD7BE5D26D8EEDAECEEC9F50717FDD43CCB22A058251F30521DCF21E66
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-17T00:00:00.000Z,28,236.547043,-60.66,-9.826205,166.060838,-150.999766,-2.061848,10012.999224,10166.060838,-12.335774,66,56,10,1011,475,68,56,23,10,249.282636,FB120085D8E08DFA65DBD1BA787FBA6DC5BACF87D86230571A603308518E5455
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-24T00:00:00.000Z,28,432.41948,-112.08,-31.669312,288.670168,-138.208813,-0.539115,10149.92224,10288.670168,136.923016,62,24,38,1868,874,83,63,48,10,567.60277,AD1A1E0B6A520E34956A6997ADE5B2CACB9BB9ECDB3596D7B0CBF99C0A27A2F2
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-31T00:00:00.000Z,28,369.374482,-149.34,-37.335448,182.699034,-212.470416,-0.333172,9969.895446,10182.699034,-180.026794,69,24,45,2489,1182,83,63,63,17,820.02638,9E8EFF19AA843AC485EAF49EB9E1B0740671877C80B76AA6C5431D00EA536828
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-02-07T00:00:00.000Z,28,558.615095,-175.56,-42.058674,340.996421,-11.288395,0.014225,10329.722251,10340.996421,359.826805,23,1,22,2926,1405,83,63,63,17,1077.916658,1F54560948B75212B751C7C237D30594BF5B456F40101FDA291A7543301B94FD
