row_key,week_open_utc,pair,candidate_b_side,path_efficiency_week,week_range_adr,range_ratio_pair,efficiency_bucket,range_floor_adr,range_condition_pass,range_expansion_bucket,geometry_regime,geometry_harvestable_candidate,all_in_cost_adr,cost_floor_multiple,cost_floor_quantum_adr,cost_safe_quantum_pass,grid_quantum_adr,signal_adr_brick,adaptive_spacing_formula_id,adaptive_spacing_raw_adr,adaptive_spacing_adr,adaptive_spacing_range_floor_adr,adaptive_range_condition_pass,adaptive_signal_adr_brick,adaptive_spacing_tradability_pass,trigger_candidates,long_trigger_candidates,short_trigger_candidates,first_trigger_timestamp_utc,family_alignment_long_context,family_alignment_short_context,content_hash
2022-01-10T00:00:00.000Z|AUDCAD,2022-01-10T00:00:00.000Z,AUDCAD,LONG,0.002091,1.578436,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.526145,0.3,0.9,true,0.075,,8,8,0,2022-01-11T15:30:00.000Z,-0.122432,0.065812,7EAE3917E4DABB7389E2942171533764EB4A38C53BD8C55D0AF26CBEB3847889
2022-01-10T00:00:00.000Z|AUDCHF,2022-01-10T00:00:00.000Z,AUDCHF,LONG,0.001487,2.077671,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.692557,0.3,0.9,true,0.075,,9,6,3,2022-01-10T14:33:00.000Z,-0.117021,0.065812,3CCA9990052675DDF550968AD0F603943817789C778999DF2D833C2A20C3C405
2022-01-10T00:00:00.000Z|AUDJPY,2022-01-10T00:00:00.000Z,AUDJPY,LONG,0.011733,2.113082,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.704361,0.3,0.9,true,0.075,,2,2,0,2022-01-14T14:37:00.000Z,-1.458613,0.065812,9599B85FA1423CC0A04BD6F5B486F693E2B11521CE013A93D244CCE3754B8623
2022-01-10T00:00:00.000Z|AUDNZD,2022-01-10T00:00:00.000Z,AUDNZD,SHORT,0.00011,1.709046,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.569682,0.3,0.9,true,0.075,,6,3,3,2022-01-11T18:36:00.000Z,-0.065812,-0.078866,BF4E112617090B2FE45151DE514B3223F5D085C6D8544A99B7D2751FADB507D9
2022-01-10T00:00:00.000Z|AUDUSD,2022-01-10T00:00:00.000Z,AUDUSD,LONG,0.010181,2.904655,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.968218,0.3,0.9,true,0.075,,5,5,0,2022-01-11T15:00:00.000Z,-0.065812,-1.390442,D6283B8A191AC1760572541D00CFDD7E891D7E52237FEBF224ACA34AB1CBFB76
2022-01-10T00:00:00.000Z|CADCHF,2022-01-10T00:00:00.000Z,CADCHF,LONG,0.000296,2.348884,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.782961,0.3,0.9,true,0.075,,6,1,5,2022-01-11T08:11:00.000Z,-0.117021,-0.122432,FE3F31555DDD03CA38471D01D5CC48BBCE566E8CFEA1E0CFD313554543625869
2022-01-10T00:00:00.000Z|CADJPY,2022-01-10T00:00:00.000Z,CADJPY,LONG,0.011052,2.088552,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.696184,0.3,0.9,true,0.075,,5,3,2,2022-01-11T13:51:00.000Z,-1.458613,-0.122432,5F981FA79C12A949374F41F466104D4D5850B7CCB876362D487C2444DBBA5012
2022-01-10T00:00:00.000Z|CHFJPY,2022-01-10T00:00:00.000Z,CHFJPY,LONG,0.014832,1.744437,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.581479,0.3,0.9,true,0.075,,0,0,0,,-1.458613,-0.117021,5E5B97D27944F33821E43AE290CA2EAAF945509AE7B2F7CAE33709F8AFD861E9
2022-01-10T00:00:00.000Z|EURAUD,2022-01-10T00:00:00.000Z,EURAUD,LONG,0.000396,1.381309,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.460436,0.3,0.9,true,0.075,,3,0,3,2022-01-10T16:05:00.000Z,-0.060852,-0.065812,1A809A56AFD8D724D01E89F8F6D6AACF70AFB037B65D784016437321CE148447
2022-01-10T00:00:00.000Z|EURCAD,2022-01-10T00:00:00.000Z,EURCAD,LONG,0.001509,1.643182,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.547727,0.3,0.9,true,0.075,,6,4,2,2022-01-10T15:45:00.000Z,-0.122432,0.060852,1BC7A8950219DA8E4E37C0E6B8C0047D0DD8DFDD099690CB54E5450A28A12F3F
2022-01-10T00:00:00.000Z|EURCHF,2022-01-10T00:00:00.000Z,EURCHF,LONG,0.002077,2.033908,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.677969,0.3,0.9,true,0.075,,1,1,0,2022-01-13T15:02:00.000Z,-0.117021,0.060852,06D793429B3595F0D0238C95C57227BE7FAA7BFCA9003574E8783F8E935A5C43
2022-01-10T00:00:00.000Z|EURGBP,2022-01-10T00:00:00.000Z,EURGBP,LONG,0.000712,1.040241,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.346747,0.3,0.9,true,0.075,,1,0,1,2022-01-12T15:58:00.000Z,-0.060852,-0.102094,70553FAE5FF7EB2D98B493553AC170266A4CCBF7DE599524141084D9DC4B725F
2022-01-10T00:00:00.000Z|EURJPY,2022-01-10T00:00:00.000Z,EURJPY,LONG,0.0168,2.014886,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.671629,0.3,0.9,true,0.075,,2,1,1,2022-01-10T16:17:00.000Z,-1.458613,0.060852,92150E36BCC4A01404D3D6684D079C14A2ED8CC37A1BEE117B0F7FA0683ABE0A
2022-01-10T00:00:00.000Z|EURNZD,2022-01-10T00:00:00.000Z,EURNZD,LONG,0.000422,1.520649,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.506883,0.3,0.9,true,0.075,,8,1,7,2022-01-11T14:45:00.000Z,-0.060852,-0.078866,754049FA6446A60C37EFDA61E92EA4519FF6771488FF4209AC7BC7EC5BD597E0
2022-01-10T00:00:00.000Z|EURUSD,2022-01-10T00:00:00.000Z,EURUSD,SHORT,0.014899,2.815116,1,low,0.6,true,normal,harvestable_chop_candidate,true,,8,,,0.2,0.05,gate90d_range_box_slots_cost_clamped_v0,0.938372,0.3,0.9,true,0.075,,4,4,0,2022-01-11T14:10:00.000Z,-0.060852,-1.390442,7C4BDAA4341DFE44E4EBF4E4D8693CBD0AC9B2EF984E8637AD22C7495D68A33E
