variant_id,activation_rule_id,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|1,AUDCAD,LONG,target,2022-01-10T14:33:00.000Z,2022-01-10T15:20:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.076019,0.44,-0.06,-0.002993,0.377007,-0.110572,0.076019,0,1,0.032639,0.2,,19D2EF0BDB0F6D97A57368559E942DDEAB52BE0A06714773B3C7C31ED65A5531
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|2,AUDCAD,LONG,target,2022-01-10T15:43:00.000Z,2022-01-10T16:02:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.186669,1.080001,-0.06,-0.00121,1.018791,-0.051853,0.186669,1,2,0.013194,0.2,,494D136A30599AFEA4B4B5A8AD450D5A5BD5B18E9479AF2D11873BA6B3946CD6
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|3,AUDCAD,SHORT,session_flatten,2022-01-10T16:10:00.000Z,2022-01-10T21:00:00.000Z,2022-01-10T00:00:00.000Z,2,1,0,-0.086394,-0.49999,-0.12,0.003306,-0.616685,-0.251967,0.224053,0,,0.201389,0.2,,96BA9BFEFB53B90821434D2559C83083395D07C9E86BF07FB076C93AD792D804
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|4,AUDCAD,SHORT,target,2022-01-10T23:05:00.000Z,2022-01-11T01:17:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.062065,0.359998,-0.06,0.000917,0.300915,-0.09827,0.062065,0,1,0.091667,0.2,,DAFDBE5ECDBFB46CD06CF0F9B0C45830A0E223B3BB63CBC939210B9333648C43
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|5,AUDCAD,LONG,target,2022-01-11T02:02:00.000Z,2022-01-11T02:20:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.110448,0.64,-0.06,-0.001146,0.578854,0,0.110448,2,3,0.0125,0.2,,EEA60613D72324D3AE59DA30C581ACDE39A7110D9DE36227433F47699BC86C75
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|6,AUDCAD,SHORT,target,2022-01-11T03:16:00.000Z,2022-01-11T04:08:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.1034,0.599999,-0.06,0.000361,0.54036,-0.017234,0.1034,1,2,0.036111,0.2,,8E8355364C2237C115AC71737CFFF3BD24D64DC16349B49A38F8C1DFFEDA3E85
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|7,AUDCAD,LONG,target,2022-01-11T06:31:00.000Z,2022-01-11T08:00:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.072483,0.42,-0.06,-0.005668,0.354332,-0.179482,0.072483,3,4,0.061806,0.2,,FE646688B51992C4AF8949372B167D4470A7D43660474663C6F28BE73F7076E9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|9,AUDCAD,SHORT,target,2022-01-11T16:17:00.000Z,2022-01-11T16:21:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.115834,0.670001,-0.06,0.000028,0.610029,0,0.115834,2,3,0.002778,0.2,,DB37F7429A8CE06966E3192F6BE08D941DE0DB7FECFF6B61C976ED9174F5DBBE
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|LONG|8,AUDCAD,LONG,target,2022-01-11T08:24:00.000Z,2022-01-11T16:33:00.000Z,2022-01-10T00:00:00.000Z,3,2,0,0.014365,0.080008,-0.18,-0.061388,-0.16138,-0.87237,0.063871,4,5,0.339583,0.2,,94B42550E68D4EE32C9ECDBB7748077E17DA68DB8CEA75DC4E46C3CBF1FEEDEE
RAW_GRID_T100_S020_GATE90_RAW_BOTH,raw_both,RAW_GRID_T100_S020_GATE90_RAW_BOTH|AUDCAD|SHORT|10,AUDCAD,SHORT,target,2022-01-11T16:27:00.000Z,2022-01-11T17:19:00.000Z,2022-01-10T00:00:00.000Z,1,0,0,0.131404,0.760003,-0.06,0.000361,0.700364,-0.046683,0.131404,3,4,0.036111,0.2,,99A6999992A8A2CD9F21DDD860E2EC2BECEC33917972CA052A2750A91FFA90D1
