variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2022-01-10T00:00:00.000Z,28,-41.442707,-10.26,-0.966664,-52.669371,2.256442,-0.060805,9949.526266,9947.330629,-50.473734,11,8,3,171,91,17,14,7,6,32.570139,A7991E1D8E4E153458CCE23CD022A62EDAC626A21DA3CB943BDF5B5F90D57AA8
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2022-01-17T00:00:00.000Z,28,49.863426,-22.38,-4.484959,22.998467,-77.747979,-1.124181,9944.126307,10022.998467,-5.399959,42,34,8,373,172,43,35,12,8,88.388194,29DC237829A2C36FE2875B507EBCF002A3EE0A2BFCD1F6708D45E62C7D236355
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2022-01-24T00:00:00.000Z,28,131.179605,-57.66,-15.670574,57.849031,-113.966511,-0.378997,9943.503523,10057.849031,-0.622784,39,16,23,961,572,55,40,29,8,257.390972,1B96845F0412A660275AA5871A612163234895E6743E67AA2D1BE7A0EA890E25
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2022-01-31T00:00:00.000Z,28,13.046944,-70.74,-19.19289,-76.885946,-136.841355,-0.101503,9786.171196,9923.114054,-157.332327,40,13,27,1179,659,55,40,44,15,395.939583,F8C7590B91DCBA87420B15B8834C0338E6A455409ACC59D4EC617E2AABA588BC
RAW_GRID_T100_S020_GATE90_TRIANGLE_V1_DAVID_CONTRA_EXTENSION,2022-02-07T00:00:00.000Z,28,24.534163,-78.9,-21.446698,-75.812535,-6.095896,0.013972,9918.105541,9924.187465,131.934345,17,0,17,1315,739,55,40,44,15,514.544444,37799FD90B234349B22D8DA755C98BC2ED1B7E787F68E60B8B2DCD5C1F3828EA
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-10T00:00:00.000Z,28,30.160458,-22.2,-2.224759,5.735699,-31.783618,-0.189095,9973.762986,10005.735699,-26.237014,27,12,15,370,161,37,22,20,9,71.084028,C28CEBFFFD86EC14EA15B9EBBD72938241AED9168FEB1FCFAD18881299B016A2
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-17T00:00:00.000Z,28,122.552435,-53.82,-9.639687,59.092748,-168.15392,-2.033443,9888.905385,10059.092748,-84.857601,66,56,10,897,378,68,56,24,10,248.690972,EFF3290D6D647EAC36E74452499FD79E22F72B22C3AA0485F37951B0FDC1E811
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-24T00:00:00.000Z,28,154.766328,-97.32,-31.401599,26.044729,-168.633131,-0.537563,9856.874035,10026.044729,-32.03135,61,24,37,1622,654,82,63,47,10,565.709722,36B505754643B56C2B02499C11E429C901F6EA67A3091AE4A33B8E435D9F0521
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-01-31T00:00:00.000Z,28,-34.393174,-130.08,-37.09455,-201.567724,-218.531768,-0.331729,9579.568779,9798.432276,-277.305256,68,24,44,2168,895,82,63,63,17,813.20625,3F7DFA015D0CEFCD87AE334341010C1E92AC0D6A7CAFE654D374CACC9E69EBFF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2022-02-07T00:00:00.000Z,28,97.574209,-153.6,-41.86209,-97.887881,-9.678303,0.019763,9892.453579,9902.112119,312.8848,24,1,23,2560,1078,82,63,63,17,1065.938194,BA0253DCB44D7FA266A8DCAEB33AB86066C1514602A8322C254A115F8FF64F77
