"combo","target_adr","spacing_adr","rule","net","dd","pf","entries","commission","swap","max_open","terminal"
"t010_s0025","0.10","0.025","raw_both","8298.06","-3283.42","3.340621","128926","-7735.56","-1904.54","2420","2089"
"t010_s0025","0.10","0.025","david_contra","6798.92","-4264.56","2.363768","72066","-4323.96","-1098.69","1407","778"
"t010_s0025","0.10","0.025","david_stoch_release","1052.79","-2324.6","1.253487","7733","-463.98","-261.79","481","59"
"t010_s005","0.10","0.05","raw_both","3212.82","-1338.98","2.651325","53672","-3220.32","-1011.27","1313","1262"
"t010_s005","0.10","0.05","david_contra","3619.77","-2239","2.569776","30527","-1831.62","-571.19","750","499"
"t010_s005","0.10","0.05","david_stoch_release","609.8","-1546.61","1.246854","5012","-300.72","-200.11","377","59"
"t015_s005","0.15","0.05","raw_both","4632.74","-562.67","5.501655","47154","-2829.24","-1052.49","1239","1170"
"t015_s005","0.15","0.05","david_contra","3910.65","-1617.56","2.952252","26311","-1578.66","-624.93","745","518"
"t015_s005","0.15","0.05","david_stoch_release","1277.24","-1646.18","1.511416","5509","-330.54","-242.61","431","59"
"t020_s005","0.20","0.05","raw_both","2312.59","-766.04","3.631197","42767","-2566.02","-1096.17","1450","1357"
"t020_s005","0.20","0.05","david_contra","3798.72","-1053.43","3.805732","24734","-1484.04","-691.85","760","553"
"t020_s005","0.20","0.05","david_stoch_release","589.22","-1810.7","1.215018","6146","-368.76","-259.93","470","117"
"t020_s010","0.20","0.10","raw_both","1884.02","-321.33","4.655653","17331","-1039.86","-624.73","799","734"
"t020_s010","0.20","0.10","david_contra","1906.19","-541.3","3.143789","10149","-608.94","-415.89","419","329"
"t020_s010","0.20","0.10","david_stoch_release","759.16","-1122.87","1.502145","3575","-214.5","-152.92","273","73"
