variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,3911.746511,-665.88,-70.503955,3175.362556,-2635.11858,-22.599742,10517.644234,13175.362556,517.644234,858,287,571,11098,2093,909,321,598,70,1835.094444,BFDFEBF300FB28EC304ACF898D603E990AD3D3CD16DAA5B67B6D03F8DB30BBE4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,6190.444136,-1085.22,-184.7268,4920.497336,-5068.176688,-100.716774,9751.603874,14920.497336,-766.04036,1080,658,422,18087,3422,1082,698,598,89,7092.41875,65924D63DFA73559BDA3AAD2895F557B511D65035A90DE289A9C53B09E9EE4FB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,8690.746411,-1579.26,-494.739555,6616.746856,-4636.82029,-125.620276,11854.30629,16616.746856,2102.702416,1012,469,543,26321,4957,1120,755,598,102,13096.613194,AB051E033B0076CF1F73B5B02EF1CBB2C1D9D3013C56CC7245D0079D17A6F83E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,10913.195654,-2068.32,-856.741934,7988.13372,-6229.674929,-17.022525,11741.436266,17988.13372,-112.870024,1416,530,886,34472,6421,1421,755,888,132,21362.422917,2A26F31876C955672AB1E7D69FBB594D097789AA058FBD975D44A9ADF5C0CB2F
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,13837.629606,-2566.02,-1112.607849,10159.001757,-7862.857494,16.441828,12312.586091,20159.001757,571.149825,1357,525,832,42767,7971,1450,755,992,134,27746.59375,12E718D46A9EE76D30FC3252EE0B87E087BF19BDF44943697568DFCB8493D7A9
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,2195.320091,-364.62,-38.285061,1792.41503,-1235.094897,-4.331886,10552.988247,11792.41503,552.988247,395,107,288,6077,1194,434,146,298,61,816.79375,8CA0A8312BF1A45EE47F6E5D295F20A300B6DBB6CCF2397EF75E731E30005F55
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,3602.967802,-603.78,-102.52435,2896.663452,-2604.657885,-39.497477,10252.50809,12896.663452,-300.480157,668,466,202,10063,1926,688,490,299,61,3519.216667,9E2669343C4EAA2D9C89B4AA948FC7D1438EF0724CF2211DC44EA34B2EA6CF53
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,5187.527421,-921.72,-246.041042,4019.766379,-2041.420194,-108.75386,11869.592325,14019.766379,1617.084235,543,322,221,15362,2961,688,508,299,67,6157.547222,78EE23BFD3F2546EE080625B2A70520C8B144BE63C869CB65930EE0418B87C9C
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,6528.982093,-1183.2,-494.374485,4851.407608,-3992.645284,-42.604692,10816.157632,14851.407608,-1053.434693,720,377,343,19720,3671,741,508,370,106,11523.543056,7A991AABDDDD016179547EF26AE5C418F375A21A7009CFC1310A1F94C8E84301
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,8034.62529,-1484.04,-682.518121,5868.067169,-2060.016558,-9.328529,13798.722082,15868.067169,2982.56445,553,318,235,24734,4627,760,508,415,106,15632.359028,5DC259EA43AD2ADB4B8526C0004732F5F76E8AF901270AA3DBE6B9CA135EAAEC
