variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,4576.780504,-381.48,-38.485283,4156.815221,-1273.552158,-11.558018,12871.705045,14156.815221,2871.705045,433,136,297,6358,2016,433,139,298,35,961.631925,9914CBCED483AF44290281DC0E2A425AAA39A4F56CA336D7A27D500C64878A8B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,6546.372177,-608.4,-87.321821,5850.650356,-2928.803252,-48.747669,12873.099435,15850.650356,1.39439,619,342,277,10140,3186,620,361,316,45,3272.524278,0D409DF134640CD9FCAF173B92CD7F34E06BAD90204F720CC7ED588370950198
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,8731.473387,-866.1,-249.899151,7615.474236,-2541.502032,-54.910083,15019.062121,17615.474236,2145.962686,563,230,333,14435,4475,640,383,347,50,6621.238154,AFE4CA7FC4CA58AB169522A97DE6FC4E8370494A31AA1A7520B1816971C81254
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,10501.448298,-1122.72,-426.820194,8951.908104,-3257.300797,3.305019,15697.912326,18951.908104,678.850205,770,268,502,18712,5706,770,383,502,67,10789.442312,8DC0D273E08A6864B488A51A8D933A7A0A67D6E06AA692D783FB2763EB58885B
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,12683.581462,-1391.82,-550.823183,10740.938279,-4421.400231,24.841566,16344.379614,20740.938279,646.467288,764,234,530,23197,7043,781,383,583,101,13750.674245,C07A48B3F9AFE2DC1E46879D423919E0EADCC0BB7FB2A46AD5C1BCF8C2A12326
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,2078.051537,-201.36,-19.302823,1857.388714,-586.102945,-6.553891,11264.731878,11857.388714,1264.731878,206,78,128,3356,1066,213,87,134,31,482.585407,0D68C90E1A7C9E59C2EF4A9EA7520367389B183122819C7CBB96500DE581AA7D
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,3295.975707,-331.2,-64.443592,2900.332115,-1445.787652,-21.531383,11433.01308,12900.332115,168.281202,378,255,123,5520,1723,383,262,175,34,1792.111791,476F834CCD91F441830A82CB7334F131557D87360FB43BBFDD12D96D3A19A6AD
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,4486.222054,-489.18,-147.981004,3849.06105,-1267.46086,-52.715293,12528.884897,13849.06105,1095.871817,308,166,142,8153,2545,387,262,175,34,3389.848592,D548B9EC292D90893A2D40833DB14511E3FC66DB06A4766620BC5D693EF993D3
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,5470.244129,-625.62,-268.62077,4576.003359,-1870.58267,-14.719217,12690.701472,14576.003359,161.816575,387,176,211,10427,3143,397,262,233,45,6108.340953,D056ED5234BBCE2BECFF4701AC58F83B196A9110785456F0CFBAF3703B97019C
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,6903.797579,-788.16,-351.92929,5763.708289,-1475.587096,1.919298,14290.040491,15763.708289,1599.339019,358,155,203,13136,3967,403,262,262,50,8005.613172,77CC16CE39C3AD0DC6BF4076C335E76E8BE1ACCA095CB69FD1C4114CAA0F4D8C
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-03T23:00:00.000Z,28,373.626501,-38.1,-3.411768,332.114733,-23.033028,0.032539,10309.114244,10332.114733,309.114244,27,2,25,635,199,36,14,34,12,85.539587,41D84FBE863AFA3580333FAEE7939A2B86326CC281F39E7A0438E4FE5D0522A0
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-10T23:00:00.000Z,28,766.418335,-78.9,-6.275484,681.242851,-648.96316,-10.032044,10022.247647,10681.242851,-286.866597,162,132,30,1315,383,168,135,39,30,247.911812,2B1D6032F7A71B02357050ED9500F67BFD0E8E0D2E52EC8710148408D2181942
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-17T23:00:00.000Z,28,1121.426815,-123.12,-39.906841,958.399974,-390.327343,-31.394472,10536.678159,10958.399974,514.430512,115,76,39,2052,622,185,141,60,30,791.164593,9981E2E331A72BF37E9C8AD128D7F659E90EDC9B810E3ED2AE2DFC625318C0F3
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-24T23:00:00.000Z,28,1523.66948,-174.72,-96.713469,1252.236011,-1217.647561,-16.178994,10018.409456,11252.236011,-518.268703,212,131,81,2912,821,220,165,89,45,1845.428485,3FC380FEE5143AA66E7F39E268AD2B0FA5930A69FB5AFC4D75E91F02603BB9E3
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-31T23:00:00.000Z,28,1829.63243,-218.34,-158.089545,1453.202885,-465.173,-0.721214,10987.308671,11453.202885,968.899215,73,13,60,3639,1040,220,165,113,45,2918.400016,F372CBB121B14C3E76C93FA89789E23D0C389C8BFA49D6A87CFF5E8D8D6846A4
