"ma_period","spacing_label","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_blocked_expansion","activation_started_long","activation_started_short"
"100","s010","raw_both","1550.71","-269.74","6.748883","9726","-583.56","-193.27","327","253","4662","1325184","2352","2338"
"100","s010","david_contra","1308.4","-357.65","4.658372","7494","-449.64","-163.69","282","214","3500","567325","1758","1759"
"100","s010","david_stoch_release","14.98","-107.42","1.139492","81","-4.86","-7.6","30","0","31","2271","16","15"
"100","s020","raw_both","1167.39","-208.27","6.60517","6331","-379.86","-152.1","199","159","4171","1191398","2091","2113"
"100","s020","david_contra","1004.08","-152.97","7.563786","4914","-294.84","-119.35","167","147","3175","499194","1600","1599"
"100","s020","david_stoch_release","8.02","-56.18","1.142776","50","-3","-3.88","15","0","31","2269","16","15"
"200","s010","raw_both","1765.26","-622.06","3.837776","9394","-563.64","-302.67","357","308","4110","1169277","2031","2106"
"200","s010","david_contra","1647.96","-459.19","4.58886","7909","-474.54","-249.33","321","288","3342","432168","1664","1702"
"200","s010","david_stoch_release","51.25","-426.24","1.120242","397","-23.82","-39.02","130","2","140","2081","69","72"
"200","s020","raw_both","1448.99","-163.33","9.871358","6056","-363.36","-165.81","196","174","3814","1086846","1937","1905"
"200","s020","david_contra","1327.38","-102.61","13.935553","5076","-304.56","-139.43","182","166","3127","391404","1606","1547"
"200","s020","david_stoch_release","35.67","-224.9","1.158585","250","-15","-19.91","66","1","140","2079","69","72"
