variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,1368.138896,-107.94,-7.178567,1253.020329,-242.849856,-1.379973,11008.7905,11253.020329,1008.7905,88,17,71,1799,1282,96,25,75,15,207.930556,5136FFD03CF9689C6B255E1F8AAA5C8EE2D10661AD796758F8FAE2F2ED3579C1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,1967.341199,-185.52,-13.886483,1767.934716,-603.291491,-8.314614,11156.328611,11767.934716,147.538111,131,85,46,3092,2213,136,88,75,16,763.315972,9E9BDF4E6B038474CBCD382218DFE90FC736F360AD1681252E477A603D8A6D1F
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,2851.334759,-282.42,-37.918886,2530.995873,-541.129117,-28.81925,11961.047506,12530.995873,804.718895,91,56,35,4707,3413,143,106,75,17,1242.054861,B713F6F8C56E5F09949CC709E64224F6659B3BA010966772B70EED06F767BA09
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,3289.897426,-366.6,-96.263917,2827.033509,-478.107416,-6.622283,12342.30381,12827.033509,381.256304,171,90,81,6110,4293,176,106,91,25,2395.704861,09FB9C37DBF26D4067F5795568CE332A2D450A377AE3D5152267B50AA63A6B49
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,4108.299767,-458.04,-129.387074,3520.872693,-664.386934,-3.254501,12853.231258,13520.872693,510.927448,166,98,68,7634,5350,180,112,92,25,3153.88125,5B9B089E3CF40BE3AE4923773F7E43802ED398D57BA33468116D84D40307ADAF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,1013.882692,-82.38,-8.221765,923.280927,-234.123748,0.644293,10689.801472,10923.280927,689.801472,76,6,70,1373,923,85,15,74,15,185.373616,F717DD7A51CF4EC384BCD91EB884D815A221588F8CDB658E32E9980067A9FEFD
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,1461.365414,-142.8,-8.998032,1309.567382,-606.138326,-8.593197,10694.835859,11309.567382,5.034387,134,91,43,2380,1611,140,94,74,16,668.275703,52BF85C6FDF8D6E3E1C48488DB6FC385755A1A278AC9ABFCD970E609046F74DF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,2197.6169,-217.98,-33.440459,1946.196441,-531.767316,-28.855811,11385.573314,11946.196441,690.737455,89,56,33,3633,2520,144,105,74,17,1130.442374,2F687FFCDEAE5423118452E30A7E7302E8DE94F1545A3BAB44A5185504C7398F
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,2547.79585,-286.86,-91.003104,2169.932746,-493.447969,-6.875239,11669.609538,12169.932746,284.036224,168,88,80,4781,3199,170,105,90,26,2260.756961,5F29946FABEE5A882CBEB040432A10D44A4946C47B9350DA3914AC913AF53E39
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,3206.174281,-362.28,-123.583076,2720.311205,-636.083119,-3.225006,12081.00308,12720.311205,411.393542,156,91,65,6038,4041,182,107,90,26,2982.054883,5C0970AE183CD5BDCA05B9784CEB9CC271911D436B599947ADA344944E94E27C
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-03T23:00:00.000Z,28,28.189454,-2.7,-0.08062,25.408834,-0.452732,0.000389,10024.956491,10025.408834,24.956491,1,0,1,45,37,5,2,5,3,1.747917,FD33AAF15099582B7F827D616234F6E68A9E6198E3A245BAA8AD1D19412BB6CF
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-10T23:00:00.000Z,28,34.924799,-4.2,-0.040167,30.684632,0.035773,0,10030.720405,10030.684632,5.763914,1,1,0,70,54,5,3,5,4,10.016667,DE515BC7C4CBB5DD1901F2352F44BA851B812CE397B33368089435023A87AF4B
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-17T23:00:00.000Z,28,60.881793,-7.92,-0.441184,52.520609,0,0,10052.520609,10052.520609,21.800204,0,0,0,132,105,5,5,5,4,15.609029,912E7D0A729EFCCC533CFF2B5CC846ED3145E5B00A0E229E64165C6A1383803D
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-24T23:00:00.000Z,28,73.609021,-13.68,-0.785456,59.143565,-189.867798,-4.263944,9865.011823,10059.143565,-187.508786,54,45,9,228,140,57,48,10,20,20.237502,617646396003AB9A5BFDF6D91FE37058C561EFF5BDD9D54EE5C443026974B391
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-31T23:00:00.000Z,28,91.324676,-16.5,-17.461892,57.362784,0.998308,-0.009425,10058.351667,10057.362784,193.339844,2,2,0,275,174,57,48,11,20,240.64028,13B9B76CE5FE30C37534B52D324D7C50086609DD4EC41F2B908F092DE754A413
