"ma_period","spacing_label","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_blocked_expansion","activation_started_long","activation_started_short"
"100","s010","raw_both","3470.31","0","","11743","-704.58","-173.99","287","247","6418","5415961","3290","3156"
"100","s010","candidate_b","1502.87","-186.5","5.029244","5811","-348.66","-108.76","165","162","3203","2702284","1638","1583"
"100","s010","david_contra","2744.49","-79.98","35.314642","8755","-525.3","-156.83","266","204","4503","2325131","2309","2210"
"100","s010","david_stoch_confirm","538.74","-70","8.695929","2523","-151.38","-37.86","96","67","1304","331055","616","699"
"100","s010","david_stoch_release","36.89","-106.08","1.3478","94","-5.64","-7.47","29","0","39","9066","19","20"
"100","s020","raw_both","2728.09","0","","8043","-482.58","-138.79","176","139","5838","4976852","2969","2899"
"100","s020","candidate_b","1191.12","-228.62","6.210066","3863","-231.78","-100.67","106","90","2785","2396861","1382","1422"
"100","s020","david_contra","2161.21","-8.12","267.01619","5947","-356.82","-117.58","168","117","4156","2101328","2130","2045"
"100","s020","david_stoch_confirm","299.9","0","","1778","-106.68","-24.41","65","53","1243","312034","595","661"
"100","s020","david_stoch_release","19.19","-54.92","1.349491","61","-3.66","-3.97","15","0","39","9054","19","20"
"200","s010","raw_both","3801.94","0","","11429","-685.74","-189.19","310","289","5790","4949838","2948","2867"
"200","s010","candidate_b","1947.94","-305.34","6.786425","5758","-345.48","-116.43","174","172","2957","2486679","1443","1529"
"200","s010","david_contra","2842.1","0","","9193","-551.58","-178.54","305","263","4355","1829307","2234","2143"
"200","s010","david_stoch_confirm","568.67","-340.35","2.670844","3553","-213.18","-98.88","192","151","1645","105092","767","899"
"200","s010","david_stoch_release","83.83","-359.57","1.233127","417","-25.02","-34.11","113","3","174","8314","81","94"
"200","s020","raw_both","2853.23","0","","7634","-458.04","-132.64","180","166","5350","4616396","2733","2644"
"200","s020","candidate_b","1514.15","-207.17","8.308626","3760","-225.6","-89.05","103","102","2611","2236498","1282","1345"
"200","s020","david_contra","2081","0","","6038","-362.28","-126.81","182","156","4041","1657228","2061","2005"
"200","s020","david_stoch_confirm","391.07","-173.06","3.25969","2407","-144.42","-58.12","99","90","1599","101494","744","877"
"200","s020","david_stoch_release","58.35","-187.51","1.311194","275","-16.5","-17.47","57","2","174","8298","81","94"
