variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,1936.617062,-156.12,-12.529477,1767.967585,-432.084838,-2.666284,11333.216463,11767.967585,1333.216463,161,29,132,2602,1335,177,45,139,31,307.129862,6DF772109F9098EE37520AE59E7AD706A2E8AA249DC3457916D510EECB8DAAB9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,2773.972083,-269.22,-22.608732,2482.143351,-930.738057,-10.655925,11540.749369,12482.143351,207.532906,204,121,83,4487,2338,216,126,141,32,1304.588193,49E5DE8B10926985D3F928932676FFDD092CF23DBAFE8130A29CAEDDD2C016E7
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,4038.423252,-414.54,-58.150363,3565.732889,-624.273128,-33.875596,12907.584165,13565.732889,1366.834796,122,73,49,6909,3657,224,161,141,32,2086.962497,AEC71F5D2B0FA37B0CD5763F3FEAD3442C105A8443714CBC94BA00C33AFEBB4E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,4742.233717,-547.26,-125.473272,4069.500445,-844.736768,-12.11178,13212.651897,14069.500445,305.067732,295,152,143,9121,4628,302,178,149,51,3526.790275,18F99C971B113F2CB3D83FC3E928D801A34C29650352706D5A24196C9EE1FB68
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,5845.177849,-685.74,-182.143499,4977.29435,-1168.304445,-7.051299,13801.938606,14977.29435,589.286709,289,186,103,11429,5790,310,197,149,51,4741.701386,633CB98A976C037546F94510C962CDF28E6F393B3FD2A44247A1A80D3C84FEF4
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-03T23:00:00.000Z,28,1021.542826,-71.58,-7.991026,941.9718,-17.831356,0.0236,10924.164044,10941.9718,924.164044,25,4,21,1193,665,29,19,25,18,141.720821,D12DBB3DE823BB6C8CBF7EA87AFF42AF76C8C73CC70AF8E366A06D7D91B906EB
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-10T23:00:00.000Z,28,1455.834499,-134.1,-12.137711,1309.596788,-682.466667,-8.30705,10618.823071,11309.596788,-305.340973,104,76,28,2235,1214,114,76,42,32,312.074977,DC3572C97D78E32D0C9F00E231589AB67100EFF77C517CAADD3102CD22E8E569
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-17T23:00:00.000Z,28,2203.816056,-209.34,-31.054651,1963.421405,-331.667387,-35.393465,11596.360553,11963.421405,977.537482,75,63,12,3489,1882,143,113,42,32,701.179824,72EE2802B7BE86970DF454C68FDB268B8203D6DC94EA32C57EF633FBB4AA3394
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-24T23:00:00.000Z,28,2585.104664,-274.38,-91.805577,2218.919087,-236.562983,-3.112556,11979.243548,12218.919087,382.882995,127,66,61,4573,2377,151,113,80,32,1538.848563,AFA7228B74510BF88075DB5E2FDD6114F46D985C8D29C84D914B1CE0C264FA45
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-31T23:00:00.000Z,28,3176.027968,-345.48,-111.576021,2718.971947,-766.170726,-4.857066,11947.944155,12718.971947,-31.299393,172,98,74,5758,2957,174,113,80,32,2015.952717,6B51E59D72E207EB1F08BFA0A76463F6AF30F6FA69F8EC58AE043B4B6E3FE761
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,1539.092684,-123.24,-12.834342,1403.018342,-423.193252,1.267347,10981.092437,11403.018342,981.092437,139,9,130,2054,963,156,26,137,31,277.948617,54C458499C029C94A25A4E5A5F5E57D46967CCD7CED88C1A5BB8496E66C92873
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,2186.793956,-213.96,-13.235073,1959.598883,-927.10192,-10.655135,11021.841828,11959.598883,40.749391,201,119,82,3566,1732,212,124,139,32,1142.984036,64F4D7A24BB13A22C0251387CAB65F4265A0659DD2AE17029B05600009AE1277
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,3240.24827,-327,-47.787247,2865.461023,-759.849437,-32.563056,12073.04853,12865.461023,1051.206702,133,71,62,5450,2718,220,157,139,32,1846.661124,D2C29DF5700EDB255373713925CEBE31D9CA538C5EAE1DB59757FCDF33B5B5B6
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,3787.757818,-437.34,-110.630103,3239.787715,-851.705415,-13.515659,12374.566641,13239.787715,301.518111,288,163,125,7289,3458,292,174,145,52,3490.420155,3DD54C887BE2FEC237333AC7D6C4751F8DCC2BA142B299A24F55F91598515490
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,4672.515692,-551.58,-171.489819,3949.445873,-1100.296919,-7.048272,12842.100682,13949.445873,467.534041,263,174,89,9193,4355,305,204,145,52,4672.750022,BF09F824DEEB5B1E65E0E0575FAFECF193F3C5F5D4369B8B0EC16BB6FC8B94A9
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2026-05-03T23:00:00.000Z,28,317.336132,-38.52,-4.788051,274.028081,-90.4813,0.473076,10184.019857,10274.028081,184.019857,29,0,29,642,301,45,18,43,24,101.725004,E423C578CE21416FD0C77E9CEE87ABDD338E1EF90B529267591D2E05A71D8D16
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2026-05-10T23:00:00.000Z,28,511.333355,-79.68,-6.124555,425.5288,-574.228585,-7.62884,9843.671375,10425.5288,-340.348482,98,72,26,1328,596,101,74,54,31,401.365284,4C1DC68DC132148412B3C65828613D02542EE0BB759518DF4F647092F2E3C392
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2026-05-17T23:00:00.000Z,28,781.446052,-116.7,-20.446264,644.299788,-394.306115,-25.210446,10224.783227,10644.299788,381.111852,70,38,32,1945,965,112,85,54,32,619.96876,8F66FC8EFDEEFC17409536216FA6D8D31B317112D23D87F517AA9F07D64F333F
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2026-05-24T23:00:00.000Z,28,1033.784157,-165.42,-54.797516,813.566641,-481.116543,-8.793307,10323.656791,10813.566641,98.873564,159,110,49,2757,1279,192,148,62,40,1470.933347,19D8F2017EC0078F312402644ACF25757264555CD1F51B0EB79D7054D31AC80F
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2026-05-31T23:00:00.000Z,28,1262.731348,-213.18,-93.869129,955.682219,-381.999715,-5.013392,10568.669112,10955.682219,245.012321,151,102,49,3553,1645,192,148,64,40,2125.722933,B4AFABD921548BA2A4A021B902FBA88C14EC978129F2543DB37CC3C8119E631D
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-03T23:00:00.000Z,28,46.567995,-3.6,-0.07405,42.893945,-0.583785,0.000576,10042.310736,10042.893945,42.310736,2,0,2,60,37,9,3,9,6,2.122223,03B1FD2F4B6018B737DC46AB4AD51C506AF5055C0A3F81E577B68FDA7FE7CCBF
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-10T23:00:00.000Z,28,55.116567,-5.64,0.01711,49.493677,0.035773,0,10049.52945,10049.493677,7.218714,1,1,0,94,54,10,5,10,9,17.093056,D58C1CA74142FAEB7CE90D480821ACB92A3F33C481B5620AA31DEDFAE86F52B2
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-17T23:00:00.000Z,28,94.226992,-10.8,-0.481498,82.945494,0,0,10082.945494,10082.945494,33.416044,0,0,0,180,105,10,9,10,9,23.654168,D6AF5EC48D7F2306F9A09D009C7D13AD6A1F824D52BEE9D86A794B07CA3B2B4A
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-24T23:00:00.000Z,28,112.795147,-20.82,-0.987225,90.987922,-359.306401,-8.308427,9723.373094,10090.987922,-359.5724,107,90,17,347,140,113,96,19,41,30.315974,5AC4A3E9FD9B023FA38653DA1B24BFF2B3A466E199BC72627244E4C6892F5974
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-31T23:00:00.000Z,28,140.956956,-25.02,-34.093483,81.843473,1.996616,-0.014137,10083.825952,10081.843473,360.452858,3,3,0,417,174,113,96,21,41,463.436807,7495C80D2A0FD172A3065D0926981B8C4AA2E881B19B5520802152747BE5B5D8
