"stoch_levels","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_blocked_expansion","activation_started_long","activation_started_short"
"8020","raw_both","2728.09","0","","8043","-482.58","-138.79","176","139","5838","4976852","2969","2899"
"8020","candidate_b","1191.12","-228.62","6.210066","3863","-231.78","-100.67","106","90","2785","2396861","1382","1422"
"8020","david_contra","2161.21","-8.12","267.01619","5947","-356.82","-117.58","168","117","4156","2101328","2130","2045"
"8020","stoch_contra","320.62","0","","1832","-109.92","-24.46","65","53","1293","366281","618","688"
"8020","david_stoch_confirm","299.9","0","","1778","-106.68","-24.41","65","53","1243","312034","595","661"
"8020","david_stoch_release","19.19","-54.92","1.349491","61","-3.66","-3.97","15","0","39","9054","19","20"
"7030","raw_both","2728.09","0","","8043","-482.58","-138.79","176","139","5838","4976852","2969","2899"
"7030","candidate_b","1191.12","-228.62","6.210066","3863","-231.78","-100.67","106","90","2785","2396861","1382","1422"
"7030","david_contra","2161.21","-8.12","267.01619","5947","-356.82","-117.58","168","117","4156","2101328","2130","2045"
"7030","stoch_contra","616.18","-176.42","4.492747","3199","-191.94","-54.21","117","77","2306","923346","1118","1202"
"7030","david_stoch_confirm","549.59","-183.31","3.998125","2994","-179.64","-53.52","113","77","2129","695770","1034","1109"
"7030","david_stoch_release","13.35","-2.5","6.345476","30","-1.8","0.03","5","4","19","12640","4","16"
"6040","raw_both","2728.09","0","","8043","-482.58","-138.79","176","139","5838","4976852","2969","2899"
"6040","candidate_b","1191.12","-228.62","6.210066","3863","-231.78","-100.67","106","90","2785","2396861","1382","1422"
"6040","david_contra","2161.21","-8.12","267.01619","5947","-356.82","-117.58","168","117","4156","2101328","2130","2045"
"6040","stoch_contra","1019.6","-139.29","8.31979","4492","-269.52","-64.77","135","95","3234","1603274","1598","1652"
"6040","david_stoch_confirm","887.02","-155.32","5.97359","4039","-242.34","-69.1","149","96","2840","1078314","1405","1451"
"6040","david_stoch_release","-12.14","-170.02","0.943348","68","-4.08","-17.72","35","0","19","12856","13","6"
