"spacing_label","activation_rule_id","net_profit_usd","max_equity_drawdown_usd","weekly_equity_profit_factor","entries_opened","total_commission_usd","total_swap_usd","max_open_positions","end_liquidation_positions","target_reset_count","activation_started_long","activation_started_short"
"s0025","raw_both","2782.29","-2013.49","1.788068","237556","-14253.36","-1719.73","2370","2289","127105","72935","54225"
"s0025","david_contra","4419.8","-1671.41","3.64435","107509","-6450.54","-1107.07","1743","1614","51176","28955","22249"
"s0025","david_stoch_release","906.4","-1825.82","1.295123","7236","-434.16","-298.03","660","17","2028","931","1098"
"s005","raw_both","341.66","-2396.06","1.089638","137526","-8251.56","-987.07","1281","1242","94411","54960","39506"
"s005","david_contra","2038.74","-1605.41","1.776117","63058","-3783.48","-647.05","919","817","39916","22612","17332"
"s005","david_stoch_release","434.37","-921.77","1.273418","4310","-258.6","-159.63","341","9","2020","925","1096"
"s010","raw_both","-2135.27","-2135.27","0.28329","78235","-4694.1","-539.29","849","827","63089","37853","25291"
"s010","david_contra","411.2","-782.69","1.274089","37286","-2237.16","-326.47","554","474","28697","17097","11628"
"s010","david_stoch_release","245.89","-431.71","1.308193","2964","-177.84","-81.38","183","5","2006","917","1090"
"s020","raw_both","-1168.47","-1168.47","0.264536","45259","-2715.54","-336.67","460","441","40205","24272","15988"
"s020","david_contra","470.88","-358.52","1.708223","23181","-1390.86","-181.33","311","270","20113","12462","7680"
"s020","david_stoch_release","198.15","-190.01","1.533015","2375","-142.5","-43.92","93","2","1955","895","1061"
