variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,8694.530392,-3315.18,-93.002232,5286.34816,-4084.584031,-45.458641,11156.305488,15286.34816,1156.305488,1328,468,860,55253,28685,1451,551,916,140,2719.145833,E1D9CED1EF607FBE57B91865687AF6358D50151E5CF7B929DE613A2E139101F7
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,13433.34744,-5974.08,-252.414823,7206.852617,-7888.370218,-175.670862,9142.811537,17206.852617,-2013.493951,1790,1174,616,99568,54100,1808,1228,916,174,10290.588194,59DE7A6373CC3CD376DEB435873CDB385CCF004E5FF76F87005AB4997B48823C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,19467.33723,-8809.98,-744.494966,9912.862264,-5825.826698,-231.818509,13855.217057,19912.862264,4712.40552,1271,661,610,146833,78589,1828,1236,916,174,19855.488889,75C7E702352A6F09F8740A9531CC5D3358048A53720D3669CF9DE543C1290FB6
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,23461.161203,-11572.68,-1319.650777,10568.830426,-8189.384713,-41.259484,12338.186229,20568.830426,-1517.030828,2176,895,1281,192878,103303,2225,1236,1348,223,32889.611806,BAB105E8999ABA0F5C842BCEF8CAEB60ADE0BA78015708D9D655A82A28237DAB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,28759.457211,-14253.36,-1693.272624,12812.824587,-10004.078202,-26.454138,12782.292247,22812.824587,444.106018,2289,1026,1263,237556,127105,2370,1236,1568,223,42765.133333,B48E69305CFB59A4896EDF363C7E3350B25D51743203B0BB3AF7E6F62FDF7D71
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,4785.343316,-1728.24,-44.830183,3012.273133,-1758.010259,-10.070372,11244.192502,13012.273133,1244.192502,557,151,406,28804,14905,640,234,435,127,1272.917361,7F80D872EE78434B30665ACA69E2DAF3D087A56DB31495F598096829E02ABFBB
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,7407.064212,-3151.56,-134.095461,4121.408751,-4130.467498,-56.646083,9934.29517,14121.408751,-1309.897332,1122,818,304,52526,28459,1139,838,487,127,4914.370833,B96C8D216A1B91BF75F9F487F83C7CE995C06387AE861CB2E4ADD16AE9BA9898
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,10324.990509,-4733.94,-379.67916,5211.371349,-1722.500128,-133.584669,13355.286552,15211.371349,3420.991382,594,405,189,78899,41932,1148,838,487,127,9565.980556,B7D1F70676ADD95EAB21C5F5E65C64EEFF2BB11CFB93E5E8FFBDC672EFD654DB
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,12652.990651,-5949.66,-685.065761,6018.26489,-4269.308238,-46.217831,11702.738821,16018.26489,-1652.547731,1169,538,631,99161,51843,1209,838,680,202,15387.65,5E2380C27EDF02BDD614DEF6AB96765AE78058F82BBEB62B8CFD700D3D456A59
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,15275.300672,-7471.08,-914.059624,6890.161048,-3588.316876,4.243394,13306.087566,16890.161048,1603.348745,1009,593,416,124518,65240,1244,838,742,202,21321.481944,0A8728F5C2F8C4CBF1BE02FB82ABED85F5971CA3740654976013DF6903F5CF38
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-03T23:00:00.000Z,28,188.835424,-48.24,-0.76105,139.834374,-0.153392,0.000083,10139.681065,10139.834374,139.681065,3,0,3,804,256,73,19,73,62,57.954861,FFA500883401FBB196DA2D5922AA342F0C9A603549CFD42D4658FE8D556274E7
