variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-14T23:00:00.000Z,28,1315.268475,-63.06,-15.475695,1236.73278,-24525.964886,-26.885126,-13316.117232,11236.73278,-23316.117232,303,167,136,1051,173,303,167,137,20,460.391667,CC0FE3774FEE5E2AC9104E1D2F04CE6E0481E47EEB61D2FE27E56703691F27CB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-21T23:00:00.000Z,28,2430.690843,-125.82,-60.67557,2244.195273,-2327.809444,-121.196551,9795.189278,12244.195273,23111.30651,556,359,197,2097,356,567,372,204,26,1862.253472,CC3EB1588A1BE01AD8A414D1E98729BA435101A67194B33609A4E6F21487E583
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-28T23:00:00.000Z,28,3589.475877,-174.72,-199.459598,3215.296279,-3011.121983,-170.737938,10033.436358,13215.296279,238.24708,487,273,214,2912,513,567,372,261,28,4490.219444,839471A9755AEFB00AF024899EFC159E7C783B9BA8932F9F73D9A5AC4DDE1D41
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-05T23:00:00.000Z,28,4921.938272,-237.72,-274.587376,4409.630896,-4009.14561,-277.345908,10123.139378,14409.630896,89.70302,576,384,192,3962,694,593,384,262,41,7157.250694,BF4EFA4B7C93A3245DDCDCA4C900E3F2033865F18A49663109611DDD0B44C44F
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-14T23:00:00.000Z,28,802.021943,-38.34,-8.185333,755.49661,-22410.808745,-18.068054,-11673.380189,10755.49661,-21673.380189,189,121,68,639,116,192,124,70,16,238.645833,607DFA15A1B9E51B403451368C48F05974A4847EE4E44DA4B73D1DF9C23FE228
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-21T23:00:00.000Z,28,1464.206867,-75.54,-41.854825,1346.812042,-1454.593708,-90.566588,9801.651746,11346.812042,21475.031935,353,252,101,1259,218,359,274,106,23,1112.720833,31ABCB1E30EC7A01011B7D0A5EE9B509565CB2EB3FB80CB9BF15EC990A5B2666
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-28T23:00:00.000Z,28,2181.901569,-108.36,-127.064347,1946.477222,-1728.16739,-139.664378,10078.645454,11946.477222,276.993708,291,201,90,1806,325,372,274,155,25,3015.334028,81469F60052E1636F5F05F1B0BCA9264D3CD10B356DAA3DE80C74A8E3D9050A9
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-05-05T23:00:00.000Z,28,3262.850735,-152.52,-190.134617,2920.196118,-2408.004547,-208.439053,10303.752518,12920.196118,225.107064,342,254,88,2542,473,372,274,155,41,4159.611111,A75DD350B4CE207388243BE84407F87FFF7A46C1B9A0F4A3C0527B3CE324E762
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-04-14T23:00:00.000Z,28,1535.791849,-50.58,-11.324096,1473.887753,-4978.000975,-17.752402,6478.134376,11473.887753,-3521.865624,244,118,126,843,135,245,118,129,20,329.880556,008B55025BBA31CB6EC38AE4A6082B476559009FC2239EAB0AF0F70BE49E570E
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-04-21T23:00:00.000Z,28,2586.582241,-109.02,-57.078277,2420.483964,-1744.699643,-80.570372,10595.213949,12420.483964,4117.079573,470,296,174,1817,306,484,308,184,26,1666.261806,8963DE37D9AAD6DD80D680ED5EEB9E47591AE0D384649B6082EC319DF3D1A062
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-04-28T23:00:00.000Z,28,3688.689424,-155.88,-192.39884,3340.410584,-2372.017125,-94.019769,10874.37369,13340.410584,279.159741,417,219,198,2598,455,484,308,237,27,4106.7125,F8DDE5FF0B5905BD1F8F0E49BDD5589D9FE0E6C0CB0C9ED78859BD7AD10D6EC0
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-05-05T23:00:00.000Z,28,4964.540273,-213.84,-269.99166,4480.708613,-2725.989372,-164.324409,11590.394832,14480.708613,716.021142,472,313,159,3564,619,497,313,237,28,6676.653472,D963E799890CE408D5962524C779E0840EBB4E18DF8908D7327299D6CE55B2BC
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,2019-04-14T23:00:00.000Z,28,904.365646,-41.1,-9.531838,853.733808,-22132.852604,-16.552931,-11295.671727,10853.733808,-21295.671727,220,125,95,685,113,221,126,97,21,245.94375,764907B410720E071625B4433EF11EBD812E5111AA024E74036E1F6DDCCB05F1
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,2019-04-21T23:00:00.000Z,28,2176.793561,-84.9,-34.356207,2057.537354,-1911.837198,-106.773556,10038.9266,12057.537354,21334.598327,472,312,160,1415,224,484,329,168,27,1128.392361,BF73825ED9141B44BD354E622971DE33FCBC5F324ED472A8FDF4D3265AFABFD3
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,2019-04-28T23:00:00.000Z,28,2964.766369,-120.18,-163.212764,2681.373605,-2306.354974,-133.261689,10241.756942,12681.373605,202.830342,378,207,171,2003,342,484,329,217,27,3387.335417,720339812CEBF8F3C5BEBFF218BA80A22139653CCB02ACBCBB645185B3D21F58
RAW_GRID_T100_S020_GATE90_STOCH_CONTRA,2019-05-05T23:00:00.000Z,28,4034.937072,-166.2,-227.153616,3641.583456,-2971.905537,-212.689382,10456.988537,13641.583456,215.231595,425,298,127,2770,491,484,329,217,41,5373.781944,A6C18DEF4B1BE5A5C9C5DA68EDAF1E2124C29CF3549B324EAFBB3064FD05B174
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2019-04-14T23:00:00.000Z,28,509.493628,-25.8,-4.940877,478.752751,-17880.301713,-12.049032,-7413.597994,10478.752751,-17413.597994,146,92,54,430,71,149,95,56,16,150.619444,C5E11CF0E7BD7F204D571FA40FD9A799CF5D04979AB6CD8240F002AEE109EA22
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2019-04-21T23:00:00.000Z,28,1446.178747,-55.44,-26.133777,1364.60497,-1246.778313,-81.174527,10036.65213,11364.60497,17450.250124,316,231,85,924,141,324,250,92,23,728.293056,D9131156CBF5ABAA0EAEBAD18413DF2EB097CAC3E6ABE9CED64D32D9CF68292F
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2019-04-28T23:00:00.000Z,28,2099.357605,-81.84,-111.981845,1905.53576,-1405.865618,-109.639125,10390.031017,11905.53576,353.378887,236,168,68,1364,230,325,250,136,25,2491.157639,7E77C42B3809E4D7838AF40842F08FD3661D7C16FB4318D1647C39CDD7663D49
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_CONFIRM,2019-05-05T23:00:00.000Z,28,2892.506348,-117.42,-160.331059,2614.755289,-1995.693898,-175.786697,10443.274694,12614.755289,53.243677,289,218,71,1957,346,325,250,136,41,3316.561111,102842BDB6C6BBDD01AEC0F53B416D383DC92C786EB6E2FD944E03EE767A5D94
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2019-04-14T23:00:00.000Z,28,448.967717,-24.9,-4.224746,419.842971,-18575.930058,-12.494928,-8168.582015,10419.842971,-18168.582015,148,96,52,415,65,151,100,53,16,144.036806,C528EE63D08BC410833F33328ED5889113B1C7324B6FF8FA12E4C779CC5671BE
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2019-04-21T23:00:00.000Z,28,880.915927,-54,-26.116296,800.799631,-1259.669729,-82.00266,9459.127242,10800.799631,17627.709257,325,235,90,900,132,333,253,93,23,717.357639,30A1D07AA9A29230DB01813B63AA1F1FF5137611F0951DCAA93A66F201437001
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2019-04-28T23:00:00.000Z,28,1555.799257,-78.3,-112.863525,1364.635732,-1356.948104,-109.674809,9898.012819,11364.635732,438.885577,216,165,51,1305,223,333,253,125,26,2493.644444,64AB997DD4A662753356FDB9B4CACFFA855D19F84640BA7868A870CD6590076F
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2019-05-05T23:00:00.000Z,28,2232.819323,-112.8,-155.94737,1964.071953,-2113.886377,-182.631603,9667.553973,11964.071953,-230.458846,307,224,83,1880,323,333,253,125,41,3225.547222,F851ED68B73A8CDFA99EB82FAB56F85334F622378F6747555DBDB3AE6D07B401
