variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-14T23:00:00.000Z,28,2649.922203,-70.56,-15.852856,2563.509347,-24438.958254,-26.759768,-11902.208675,12563.509347,-21902.208675,311,170,141,1176,208,311,170,142,20,474.047917,C3CB5056AFB638E7C5457CFD0FCAC514927AED0B61550E8148E1274F35B833A2
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-21T23:00:00.000Z,28,4122.888372,-141.78,-66.808557,3914.299815,-2269.310806,-116.81022,11528.178789,13914.299815,23430.387464,559,357,202,2363,431,570,366,210,27,1954.802081,2D48D5C3267C863FB74DF39D419288D3043F2E2C68A532DB47988D3E7CA29BF3
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-04-28T23:00:00.000Z,28,5806.260201,-201.06,-215.355566,5389.844635,-2632.342722,-146.376776,12611.125137,15389.844635,1082.946348,457,260,197,3351,634,570,369,245,28,4811.417357,7631185F5D041A3F8CD50D0EBACE4727BE74172A0D02D2453A6D7E4E8335AA1C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2019-05-05T23:00:00.000Z,28,8189.313605,-282.42,-296.248034,7610.645571,-3415.191619,-230.942656,13964.511296,17610.645571,1353.386159,507,336,171,4707,896,570,369,245,41,7388.403464,2B38D5C0631B046830E77C18296DE12B0002E21B7CDC05CC2BA295BB0E4A2748
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-14T23:00:00.000Z,28,1465.522783,-45.72,-9.020291,1410.782492,-24346.109735,-19.690589,-12955.017832,11410.782492,-22955.017832,204,130,74,762,144,206,132,75,16,277.761112,BB6A7FAC1EDBFD05070DA6CA3F7F6EC9F9A52624DA924E85DD9E82140AFC96D3
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-21T23:00:00.000Z,28,2407.825523,-89.58,-49.122481,2269.123042,-1519.911848,-90.44043,10658.770764,12269.123042,23613.788596,361,254,107,1493,276,361,269,111,23,1226.581946,4CFF121B2E1DEA533ABBDC3B78DB582A67FE244B0D2338F29B2D3F6E1B64C840
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-04-28T23:00:00.000Z,28,3589.914933,-131.76,-155.185145,3302.969788,-1453.828801,-108.371778,11740.769209,13302.969788,1081.998445,269,180,89,2196,428,371,269,160,25,3394.915974,E777F74259501ADFB82776A3F50916D1B862842EFDB5749B3509974F58C9B06E
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2019-05-05T23:00:00.000Z,28,5361.176985,-188.4,-199.055978,4973.721007,-1915.265892,-185.828154,12872.626961,14973.721007,1131.857752,290,225,65,3140,623,371,269,160,41,4645.868754,7976F7AFD59538B7953A4CF974A11FBEF10DE5A43960A5C10F3ED84EC42D5BD8
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-04-14T23:00:00.000Z,28,1686.279856,-53.88,-13.532863,1618.866993,-3536.378883,-14.320723,8068.167387,11618.866993,-1931.832613,238,106,132,898,146,239,106,135,20,368.473612,2ECCD4D74934A28C771100C022428B692FFF809669B2BBB6227290B854F9AAE4
RAW_GRID_T100_S020_GATE90_DAVID_WITH,2019-04-21T23:00:00.000Z,28,2972.944276,-118.32,-59.78022,2794.844056,-1483.159656,-64.126867,11247.557533,12794.844056,3179.390146,452,270,182,1972,343,465,281,192,27,1714.854862,9AE7EBEDA779A6C2A4F326A026E70C1AC310C5A3319A82DA5BB1DB8F39F902B7
