variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-01-06T00:00:00.000Z,28,1012.458705,-54.42,-26.196374,931.842331,-490.65752,-5.425984,10435.758827,10931.842331,435.758827,170,69,101,907,160,170,80,101,15,531.205555,73EEB87D986D88EAF1A942DAC605F281156D4E6CDC9439A7697973C3223BF5D1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-01-13T00:00:00.000Z,28,1572.054071,-79.5,-67.180755,1425.373316,-660.893472,-7.320421,10757.159423,11425.373316,321.400596,196,74,122,1325,242,212,104,127,20,1403.382638,4F7A838E48E26BEA83AC3A03F15D2282D0B8AB455E6E10047F0BF6CC8CF1C1E1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-01-20T00:00:00.000Z,28,3054.071632,-119.7,-107.611672,2826.75996,-675.05195,-11.597654,12140.110356,12826.75996,1382.950933,225,117,108,1995,375,225,118,131,20,2976.320139,4984F8535F0BD9C91EDADEFB083A64A549A6036FCA16DEFCF29D42AF68929356
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-01-27T00:00:00.000Z,28,3926.85009,-167.64,-152.34091,3606.86918,-2851.58668,-58.199285,10697.083215,13606.86918,-1443.027141,359,217,142,2794,522,368,217,190,31,4418.134026,25B04445F476813490D87D78FE89FD65DAE945282F98A3AB26534793FB889E5F
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-02-03T00:00:00.000Z,28,4841.072569,-204.12,-302.677694,4334.274875,-536.239054,-3.138504,13794.897317,14334.274875,3097.814102,181,75,106,3402,651,368,217,190,31,7161.713887,15426B843D0A4C0CF550C362F2E390F84023A70FDD02BBD1202AD61FE733DCB4
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-02-10T00:00:00.000Z,28,5477.507713,-233.52,-329.957115,4914.030598,-862.442459,-33.655522,14017.932617,14914.030598,223.0353,252,172,80,3892,740,368,217,190,31,8284.176388,DA196CDB2D4D9FF9E89AC72B48BD4511F2612ED47A306C82EA834DF6F22DF66D
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-02-17T00:00:00.000Z,28,6283.657809,-280.14,-399.669974,5603.847835,-2066.721942,-76.143278,13460.982615,15603.847835,-556.950002,411,216,195,4669,871,413,224,195,41,9540.095831,00C8491BB2F1659D67B09E41094E97EBFFF24564DFFD8E4468E90C36D771914B
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-02-24T00:00:00.000Z,28,7049.125413,-339.9,-519.855159,6189.370254,-9387.501497,-104.058323,6697.810434,16189.370254,-6763.172181,639,449,190,5665,991,669,449,240,44,12233.838192,9E3F7B635F5CFA2B22D497B412CA8100E4825440EEC26B5A94DD0DDD3C883258
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-03-02T00:00:00.000Z,28,8923.704365,-390.18,-627.463225,7906.06114,-13507.682916,-245.331897,4153.046327,17906.06114,-2544.764107,591,362,229,6503,1179,669,449,249,44,13742.945133,2CC1A71F3421A42220E4C615E65E8FA4D67D54C197DCC2D5F080BEE4B3CB6A17
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-03-08T23:00:00.000Z,28,13933.080517,-468.84,-653.659261,12810.581256,-23079.123169,-443.670985,-712.212898,22810.581256,-4865.259225,675,429,246,7814,1452,680,457,249,44,14695.031243,839A9C84D34248A177FAE737411A8DC361414FAE21BB03DF36B98597FC117AC1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-03-15T23:00:00.000Z,28,16919.33586,-517.08,-760.01372,15642.24214,-30354.050854,-605.196495,-5317.005209,25642.24214,-4604.792311,814,473,341,8618,1590,848,518,341,46,16122.829157,28443D243C2857975162F05CAC8E27786B22DF998E2222909847B30EFB373658
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-03-22T23:00:00.000Z,28,18885.412797,-534.54,-892.657822,17458.214975,-25118.506527,-730.664454,1609.043994,27458.214975,6926.049203,620,339,281,8909,1651,848,518,348,46,18765.01249,499CC67A0FD0AEEF0FE86D639E82F1589D91A7F9C905F3E4A6AB07F2E40ADFC4
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-03-29T23:00:00.000Z,28,19910.359515,-551.04,-900.023669,18459.295846,-22147.533763,-936.039213,5375.72287,28459.295846,3766.678876,648,394,254,9184,1701,848,518,348,46,20283.194435,821198E2D084A33B45B6E42098F2DD997E3971121B5471A1C174282703C4EBAB
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-04-05T23:00:00.000Z,28,20457.267985,-566.22,-944.511667,18946.536318,-19549.586386,-1118.282841,8278.667091,28946.536318,2902.944221,718,381,337,9437,1734,848,518,348,46,21124.518046,F070D00C10774771C8F87B84D97F35FDABA7210C7ED606E568274E6D9705034C
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-04-12T23:00:00.000Z,28,20976.155232,-588.36,-1154.295176,19233.500056,-16322.995554,-1121.545881,11788.958621,29233.500056,3510.29153,680,346,334,9806,1793,848,518,381,46,25201.953463,B5FB78935B99A2D77E6E9B47E84C8D24270A604998C86AC335BD3A8552EFDBD9
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-04-19T23:00:00.000Z,28,22270.497536,-625.98,-1171.848973,20472.668563,-15936.861147,-1330.147959,13205.659457,30472.668563,1416.700836,689,421,268,10433,1919,848,518,381,53,27244.051382,6E64FD6DE485A31D607B6D0EB107A89D7822F165595AAEC1A64DC212911ED65C
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2020-04-26T23:00:00.000Z,28,23290.31494,-665.1,-1188.715353,21436.499587,-16147.950351,-1572.160724,13716.388512,31436.499587,510.729055,759,421,338,11085,2030,848,518,381,53,31256.194439,1E807905A2C76CCA7DD0A4BDC40A0C704CDA512407E09FA90D956F3857DB8245
