row_type,cell_id,cell_label,signal_adr_brick,david_ma_period,activation_rule_id,windows,winning_windows,losing_windows,sum_net_profit_usd,avg_window_net_usd,avg_return_pct_on_10k,min_window_net_usd,max_window_net_usd,event_profit_factor,weekly_profit_factor,event_win_pct,event_closed_events,event_winning_events,event_losing_events,weekly_positive_weeks,weekly_negative_weeks,worst_week_delta_usd,best_week_delta_usd,net_to_abs_worst_week_loss,worst_window_max_equity_drawdown_usd,worst_window_max_balance_drawdown_usd,net_to_worst_window_equity_drawdown,net_to_worst_window_balance_drawdown,sum_entries_opened,max_open_positions,max_add_depth,max_fill_age_days,sum_terminal_positions,max_terminal_positions,sum_commission_usd,sum_swap_usd,sum_session_flatten_positions,sum_session_flatten_net_usd,sum_target_net_usd
aggregate_cell_rule,adr0025_ma25,ADR 0.025 / MA25,0.025,25,raw_both,4,4,0,12187.28,3046.82,30.47,2227.17,4962.26,2.475,Infinity,84.08,44162,37130,7032,20,0,217.77,2519.59,Infinity,0,0,Infinity,Infinity,56343,105,24,3.07,0,0,-3380.58,-164.22,4026,-7616.15,19803.44
aggregate_cell_rule,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_contra,4,4,0,6502.27,1625.57,16.26,916.5,2884.12,2.308,79.617,83.62,24350,20361,3989,19,1,-82.71,1509.81,78.617,82.71,93.31,78.615,69.685,31566,80,24,3.07,0,0,-1893.96,-101.61,2333,-4536.07,11038.33
aggregate_cell_rule,adr0025_ma25,ADR 0.025 / MA25,0.025,25,candidate_b,4,4,0,6355.83,1588.96,15.89,1112.74,2443.81,2.98,Infinity,84.11,21925,18441,3484,20,0,75.57,901.82,Infinity,0,0,Infinity,Infinity,27512,41,12,3.07,0,0,-1650.72,-54.3,1823,-2877.01,9232.84
aggregate_cell_rule,adr0025_ma25,ADR 0.025 / MA25,0.025,25,stoch_contra,4,4,0,4792.44,1198.11,11.98,518.66,1890.14,2.351,24.198,83.89,17940,15050,2890,18,2,-168.33,1112.63,28.47,168.33,252.67,28.471,18.967,23020,73,24,3.07,0,0,-1381.2,-70.06,1693,-3212.18,8004.61
aggregate_cell_rule,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_stoch_confirm,4,4,0,4205.81,1051.45,10.51,432.67,1657.3,2.364,16.4,83.8,15652,13116,2536,17,3,-178.93,923.46,23.506,178.93,262.03,23.505,16.051,20256,70,24,3.07,0,0,-1215.36,-64.34,1504,-2769.53,6975.33
aggregate_cell_rule,adr005_ma25,ADR 0.05 / MA25,0.05,25,raw_both,4,4,0,9572.42,2393.11,23.93,1523.73,4096.37,1.85,72.706,88.16,32076,28279,3797,19,1,-133.5,2520.15,71.706,133.5,131.38,71.704,72.861,45584,116,25,3.08,0,0,-2735.04,-217.9,5487,-10566.84,20139.26
aggregate_cell_rule,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_contra,4,4,0,4655.75,1163.94,11.64,781.66,1784.04,1.73,8.939,88.32,16671,14723,1948,16,4,-383.32,1289.97,12.146,383.32,387.17,12.146,12.025,24015,84,25,3.08,0,0,-1440.9,-129.45,2942,-6034.34,10690.1
aggregate_cell_rule,adr005_ma25,ADR 0.05 / MA25,0.05,25,candidate_b,4,4,0,5885.1,1471.28,14.71,848.68,2545.83,2.405,45.244,88.68,16128,14303,1825,19,1,-133.01,1023.29,44.244,133.01,0,44.246,Infinity,22366,67,12,3.08,0,0,-1341.96,-79.75,2460,-3828.37,9713.48
aggregate_cell_rule,adr005_ma25,ADR 0.05 / MA25,0.05,25,stoch_contra,4,4,0,3719.42,929.86,9.3,715.28,1392.76,1.872,11.796,88.29,12175,10749,1426,18,2,-329.42,918.2,11.291,329.42,327.12,11.291,11.37,17527,69,25,3.08,0,0,-1051.62,-90.91,2078,-4041.44,7760.85
aggregate_cell_rule,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_stoch_confirm,4,4,0,3028.64,757.16,7.57,540.22,1066.35,1.824,9.691,88.26,10000,8826,1174,19,1,-348.49,782.19,8.691,348.49,350.48,8.691,8.641,14570,68,25,3.08,0,0,-874.2,-81.33,1721,-3488.53,6517.17
aggregate_cell_rule,adr0075_ma25,ADR 0.075 / MA25,0.075,25,raw_both,4,4,0,8157.07,2039.27,20.39,1129.87,3396.08,1.629,12.28,89.36,25397,22694,2703,18,2,-420.59,2412.82,19.394,420.59,390.09,19.394,20.911,38579,128,25,3.08,0,0,-2314.74,-252.46,6367,-12179.78,20336.85
aggregate_cell_rule,adr0075_ma25,ADR 0.075 / MA25,0.075,25,david_contra,4,4,0,3038.49,759.62,7.6,486.44,902.61,1.376,3.885,88.89,12893,11460,1433,16,4,-628.02,1309.25,4.838,785.34,809.11,3.869,3.755,20155,93,25,3.08,0,0,-1209.3,-150.26,3658,-7553.54,10592.04
aggregate_cell_rule,adr0075_ma25,ADR 0.075 / MA25,0.075,25,candidate_b,4,4,0,5651.57,1412.89,14.13,680.59,2484.71,2.19,35.814,89.72,12734,11425,1309,18,2,-143.99,959.47,39.249,143.99,13.23,39.25,427.178,18792,73,12,3.08,0,0,-1127.52,-92.72,2896,-4294.93,9946.49
aggregate_cell_rule,adr0075_ma25,ADR 0.075 / MA25,0.075,25,stoch_contra,4,4,0,2082.64,520.66,5.21,68.15,724.6,1.389,5.185,89.4,8707,7784,923,17,3,-410.46,479.27,5.074,497.67,487.84,4.185,4.269,13582,84,25,3.08,0,0,-814.92,-98.03,2332,-4980.89,7063.53
