row_type,window_id,window_label,requested_from,requested_to,selected_weeks,date_range,cell_id,cell_label,signal_adr_brick,david_ma_period,activation_rule_id,net_profit_usd,return_pct_on_10k,event_profit_factor,weekly_profit_factor,win_pct_events,closed_events,winning_events,losing_events,gross_profit_usd,gross_loss_abs_usd,positive_weeks,negative_weeks,worst_week_delta_usd,best_week_delta_usd,net_to_abs_worst_week_loss,max_equity_drawdown_usd,max_balance_drawdown_usd,net_to_max_equity_drawdown,net_to_max_balance_drawdown,entries_opened,closed_positions,max_open_positions,max_add_depth,max_fill_age_days,terminal_positions,terminal_price_pnl_usd,total_commission_usd,total_swap_usd,session_flatten_positions,session_flatten_events,session_flatten_net_usd,target_events,target_net_usd,close_reason_counts,artifact_dir,content_hash
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,raw_both,2412.75,24.13,2.155,Infinity,83.86,11852,9939,1913,4502.34,2089.59,5,0,266.48,783.48,Infinity,0,0,Infinity,Infinity,14968,14968,53,13,3.04,0,0,-898.08,-38.86,1018,424,-1846.59,11428,4259.34,"{""target"":11428,""session_flatten"":424}",oos-session-window-5w-oos1-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,D8112ED7DCDE5AD5B1DDF305CBC383524DC42F4544E78C5D8CB27BFF39F41F05
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_contra,1350.02,13.5,2.108,Infinity,83.57,6463,5401,1062,2568.8,1218.78,5,0,199.42,349.37,Infinity,0,0,Infinity,Infinity,8228,8228,35,13,3.02,0,0,-493.68,-20.17,567,243,-1039.54,6220,2389.55,"{""target"":6220,""session_flatten"":243}",oos-session-window-5w-oos1-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,6AFA7A2D9FDE2B05A17B4918502D434CD52D505DBC762FB324B3FC5D7AD53DBE
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,candidate_b,1112.74,11.13,2.018,Infinity,83.47,5965,4979,986,2206.08,1093.35,5,0,102,470.7,Infinity,0,0,Infinity,Infinity,7548,7548,28,12,3.02,0,0,-452.88,-8.98,548,224,-959.54,5741,2072.28,"{""target"":5741,""session_flatten"":224}",oos-session-window-5w-oos1-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,BECF29813A3D7196178AED8CC823E9E1DA67ACFA4D1842BBE5F04FBA02620582
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,stoch_contra,1118.85,11.19,2.451,Infinity,83.7,4805,4022,783,1890.12,771.27,5,0,98.29,448.3,Infinity,0,0,Infinity,Infinity,6015,6015,35,13,3.02,0,0,-360.9,-12.41,415,182,-629.62,4623,1748.47,"{""target"":4623,""session_flatten"":182}",oos-session-window-5w-oos1-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,1C4D5D23ACD59EF68A45D9704262DD7D2BF1D5EB3EEA905A527A8A767AC94011
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_stoch_confirm,1016.67,10.17,2.533,Infinity,83.64,4139,3462,677,1680.02,663.35,5,0,81.8,397.75,Infinity,0,0,Infinity,Infinity,5209,5209,31,13,3.02,0,0,-312.54,-11.16,355,159,-527.28,3980,1543.94,"{""target"":3980,""session_flatten"":159}",oos-session-window-5w-oos1-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,2D4C6E172BFCE8DEAE2B692A8B5917361D22AF57348109773259F9137507A8CD
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,raw_both,2145.49,21.45,1.809,Infinity,88.46,8714,7708,1006,4797.59,2652.1,5,0,241.17,597.84,Infinity,0,0,Infinity,Infinity,12135,12135,72,12,3.074,0,0,-728.1,-48.84,1348,523,-2324.15,8191,4469.64,"{""target"":8191,""session_flatten"":523}",oos-session-window-5w-oos1-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,B0866EF54301F5783E0A88702D08040EDADAD130C7B59FFAB549C3154FADBA46
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_contra,1017.13,10.17,1.663,Infinity,88.53,4515,3997,518,2550.62,1533.48,5,0,149.33,301.91,Infinity,0,0,Infinity,Infinity,6314,6314,37,11,2.59,0,0,-378.84,-27.02,688,269,-1376.45,4246,2393.59,"{""target"":4246,""session_flatten"":269}",oos-session-window-5w-oos1-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,76F0929147CD6A4BBA07C182E36DB82BDCEDCF33C462BA82CBDDAA27DB743587
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,candidate_b,1034.64,10.35,1.744,Infinity,88.26,4439,3918,521,2425.84,1391.2,5,0,97.95,533.52,Infinity,0,0,Infinity,Infinity,6191,6191,43,12,3.074,0,0,-371.46,-12.41,763,299,-1162.89,4140,2197.53,"{""target"":4140,""session_flatten"":299}",oos-session-window-5w-oos1-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,84A10E924339350F679145BD22FE35BBBDD64698B41AF6A2E5C174467716AD48
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,stoch_contra,715.28,7.15,1.691,Infinity,88.61,3196,2832,364,1750.96,1035.68,5,0,78.24,217.91,Infinity,0,0,Infinity,Infinity,4541,4541,32,12,3.02,0,0,-272.46,-17.44,488,188,-953.01,3008,1668.29,"{""target"":3008,""session_flatten"":188}",oos-session-window-5w-oos1-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,7E178A4BE56887032EC84B3A525AE6DC638CF6FC304DA72609B958D711CDC5E8
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_stoch_confirm,540.22,5.4,1.598,Infinity,88.53,2606,2307,299,1442.87,902.64,5,0,25.05,191.61,Infinity,0,0,Infinity,Infinity,3729,3729,30,10,2.59,0,0,-223.74,-15.53,384,149,-826.86,2457,1367.09,"{""target"":2457,""session_flatten"":149}",oos-session-window-5w-oos1-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,936BA69C6B00E6235C8A3E63775BD929C6FF00EBD943D1A6E5FA0D042ED885E2
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,raw_both,2129.97,21.3,1.74,Infinity,90.51,6935,6277,658,5008.69,2878.71,5,0,210.8,785.38,Infinity,0,0,Infinity,Infinity,10243,10243,85,12,3.04,0,0,-614.58,-54.86,1545,543,-2462.13,6392,4592.1,"{""target"":6392,""session_flatten"":543}",oos-session-window-5w-oos1-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,CD2E6625C090EE4CB1FE026166A83B8B99A21733F580ED2849AB2DA3AC3AB6C3
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,david_contra,868.58,8.69,1.478,Infinity,90.15,3542,3193,349,2686.22,1817.64,5,0,76.8,285.32,Infinity,0,0,Infinity,Infinity,5286,5286,54,11,3.04,0,0,-317.16,-29.31,843,298,-1531.18,3244,2399.76,"{""target"":3244,""session_flatten"":298}",oos-session-window-5w-oos1-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,19403F5D3F3AF2B7484598D7DCF6DB12A19F4FCF40D68A8009E582161C79CC57
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,candidate_b,1145.85,11.46,1.755,Infinity,90.04,3563,3208,355,2664.33,1518.48,5,0,68.18,712.18,Infinity,0,0,Infinity,Infinity,5292,5292,50,11,3.03,0,0,-317.52,-14.47,883,311,-1189.52,3252,2335.37,"{""target"":3252,""session_flatten"":311}",oos-session-window-5w-oos1-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,94A3133B6026CE75152C364B5675157E434AC7974EEB6187D80EABDA965FD670
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,stoch_contra,571.05,5.71,1.418,Infinity,90.37,2398,2167,231,1936.58,1365.53,5,0,35.78,194.26,Infinity,0,0,Infinity,Infinity,3628,3628,55,11,2.94,0,0,-217.68,-20.2,572,187,-1131.01,2211,1702.06,"{""target"":2211,""session_flatten"":187}",oos-session-window-5w-oos1-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,934FAE7C8CFF5C9A089BC4FCE56964BA752F23E3579D70A199C3AF0A6FFC98F5
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,david_stoch_confirm,408.53,4.09,1.342,35.012,89.88,1887,1696,191,1604.73,1196.2,4,1,-12.01,193.12,34.011,12.01,48.9,34.016,8.354,2916,2916,49,11,2.602,0,0,-174.96,-17.35,475,156,-970.71,1731,1379.25,"{""target"":1731,""session_flatten"":156}",oos-session-window-5w-oos1-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,83E7902F96DC9C7217A5C547071BE90A765DBD90E173EA0D253200002D55AF68
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr010_ma50,ADR 0.10 / MA50,0.1,50,raw_both,1687.92,16.88,1.517,Infinity,88.54,4260,3772,488,4950.96,3263.03,5,0,185.65,765.83,Infinity,0,0,Infinity,Infinity,7073,7073,83,12,3.08,0,0,-424.38,-64.79,1861,575,-2763.74,3685,4451.66,"{""target"":3685,""session_flatten"":575}",oos-session-window-5w-oos1-adr010_ma50-s020-exp010-rsi506040-stoch100-3-100-6040,323B83D4DBAC122A3C93A77C23F0CD0AFFE2C130D96852111241F196FF25DFFB
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr010_ma50,ADR 0.10 / MA50,0.1,50,david_contra,427.19,4.27,1.195,4.776,87.37,2169,1895,274,2612.47,2185.27,4,1,-113.13,219.63,3.776,113.13,44.95,3.776,9.504,3694,3694,67,12,3.08,0,0,-221.64,-31.4,1054,317,-1814.08,1852,2241.27,"{""target"":1852,""session_flatten"":317}",oos-session-window-5w-oos1-adr010_ma50-s020-exp010-rsi506040-stoch100-3-100-6040,A3788586203462365D7FD566A977D4F63DCD13DE07C5EB33C28F3E65891EEAD0
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr010_ma50,ADR 0.10 / MA50,0.1,50,candidate_b,971.61,9.72,1.57,Infinity,87.69,2193,1923,270,2676.99,1705.37,5,0,32.77,686.64,Infinity,0,12.75,Infinity,76.205,3688,3688,58,10,3.08,0,0,-221.28,-18.25,1058,327,-1323.12,1866,2294.74,"{""session_flatten"":327,""target"":1866}",oos-session-window-5w-oos1-adr010_ma50-s020-exp010-rsi506040-stoch100-3-100-6040,3C44D94CB1DA3AE3FB28D790BB0024A7DE7E88F3B35282D6E2B3BFCDBD0254C0
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr010_ma50,ADR 0.10 / MA50,0.1,50,stoch_contra,433.08,4.33,1.293,Infinity,87.05,1344,1170,174,1910.03,1476.95,5,0,0.68,301.13,Infinity,0,0,Infinity,Infinity,2315,2315,59,12,3.08,0,0,-138.9,-25.05,701,221,-1121.55,1123,1554.63,"{""target"":1123,""session_flatten"":221}",oos-session-window-5w-oos1-adr010_ma50-s020-exp010-rsi506040-stoch100-3-100-6040,44DEDEAD22BA82FA42EE4153A478B57269F56733645F2E87CB8C4AC852EE5876
window_cell_rule,oos1,OOS1,2025-12-28,2026-01-31,5,2025-12-29T00:00:00.000Z..2026-01-26T00:00:00.000Z,adr010_ma50,ADR 0.10 / MA50,0.1,50,david_stoch_confirm,375.34,3.75,1.307,Infinity,87.7,1041,913,128,1597.43,1222.09,5,0,0.68,241.88,Infinity,0,0,Infinity,Infinity,1800,1800,51,12,3.08,0,0,-108,-14.77,524,160,-916.13,881,1291.47,"{""target"":881,""session_flatten"":160}",oos-session-window-5w-oos1-adr010_ma50-s020-exp010-rsi506040-stoch100-3-100-6040,CDDF84954C08286B7958F0FD80139C384A52EBD1067BCBA7D8E562F2DCB93838
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,raw_both,2227.17,22.27,1.883,Infinity,83.66,10152,8493,1659,4748.86,2521.7,5,0,217.77,940.3,Infinity,0,0,Infinity,Infinity,13173,13173,105,24,2.94,0,0,-790.38,-49.55,1079,402,-2390.95,9750,4618.12,"{""target"":9750,""session_flatten"":402}",oos-session-window-5w-oos2-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,EF8070C1C2A0B763BC69D11B0E2DE402E5E86C539830D8F434A1C34D4FAAC0D0
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_contra,916.5,9.16,1.551,12.081,82.9,5621,4660,961,2578.46,1661.96,4,1,-82.71,568.03,11.081,82.71,93.31,11.081,9.822,7401,7401,80,24,2.94,0,0,-444.06,-33.36,728,243,-1586.08,5378,2502.58,"{""target"":5378,""session_flatten"":243}",oos-session-window-5w-oos2-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,7403D8962BD6A5585E25CA25DC327985EBD558A36F63C03A8C88B1F24113974B
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,candidate_b,1640.36,16.4,3.473,Infinity,84.02,5049,4242,807,2303.59,663.22,5,0,75.57,501.85,Infinity,0,0,Infinity,Infinity,6326,6326,41,8,2.76,0,0,-379.56,-5.24,405,198,-604.57,4851,2244.94,"{""target"":4851,""session_flatten"":198}",oos-session-window-5w-oos2-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,0866A9E828AEAA63D158AFF44842F9ACC50729D340FE60E3C0D7D1F205989A93
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,stoch_contra,518.66,5.19,1.38,3.511,83.74,4102,3435,667,1884.99,1366.33,3,2,-168.33,425.48,3.081,168.33,252.67,3.081,2.053,5380,5380,73,24,2.94,0,0,-322.8,-24.65,565,174,-1307.63,3928,1826.3,"{""target"":3928,""session_flatten"":174}",oos-session-window-5w-oos2-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,BE236B9728401208E0B0FB848906C1ADFB3E70678CF33C9DFC0E8323755B4CE5
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0025_ma25,ADR 0.025 / MA25,0.025,25,david_stoch_confirm,432.67,4.33,1.358,2.725,83.49,3598,3004,594,1640.95,1208.28,3,2,-178.93,428.93,2.418,178.93,262.03,2.418,1.651,4775,4775,70,24,2.94,0,0,-286.5,-23.36,524,159,-1151.35,3439,1584.02,"{""target"":3439,""session_flatten"":159}",oos-session-window-5w-oos2-adr0025_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,B83E15BD49A596895FBE2B6D003EB7D9ECECBD450F3D3490AB5253B083D9C97D
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,raw_both,1523.73,15.24,1.469,Infinity,87.62,7344,6435,909,4772.26,3248.53,5,0,7.03,529.67,Infinity,0,0,Infinity,Infinity,10630,10630,102,25,3.08,0,0,-637.8,-61.23,1447,529,-3139.16,6815,4662.89,"{""target"":6815,""session_flatten"":529}",oos-session-window-5w-oos2-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,F25D701286D08BA2B208A6961674EE0E4B5D1B680DFE5116B30DC330F035D52B
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_contra,781.66,7.82,1.436,4.894,88.4,3879,3429,450,2575.82,1794.16,3,2,-123.52,563.99,6.328,123.52,211.19,6.328,3.701,5583,5583,78,25,3.04,0,0,-334.98,-39.29,801,275,-1732.72,3604,2514.38,"{""target"":3604,""session_flatten"":275}",oos-session-window-5w-oos2-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,0236DAC767A6753DA9F4674DC56AEAD0D349C19EB63657D8DA191CE511D09508
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,candidate_b,1455.95,14.56,2.6,Infinity,88.82,3740,3322,418,2366,910.04,5,0,43.35,515.85,Infinity,0,0,Infinity,Infinity,5121,5121,47,10,3.08,0,0,-307.26,-7.68,550,268,-871.67,3472,2327.62,"{""target"":3472,""session_flatten"":268}",oos-session-window-5w-oos2-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,8A1068FE37CD38E9437177983DDFB6B8A6DDCA75ECAFBDCB44F32ADAF8B6DC73
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,stoch_contra,793.56,7.94,1.765,53.572,88.09,2829,2492,337,1831.01,1037.46,4,1,-15.09,394.43,52.572,15.09,0,52.588,Infinity,4036,4036,67,25,3.042,0,0,-242.16,-30.35,549,219,-978.73,2610,1772.29,"{""target"":2610,""session_flatten"":219}",oos-session-window-5w-oos2-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,9CEF7E94F95751EB2EEFC2DA3D94F23E719C6D89564E1CC963A5496441DB2574
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr005_ma25,ADR 0.05 / MA25,0.05,25,david_stoch_confirm,684.72,6.85,1.799,Infinity,88.61,2326,2061,265,1541.7,856.98,5,0,6.79,377.67,Infinity,0,15.71,Infinity,43.585,3343,3343,63,25,2.73,0,0,-200.58,-26.7,437,169,-819.51,2157,1504.23,"{""target"":2157,""session_flatten"":169}",oos-session-window-5w-oos2-adr005_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,A0754BE3D6E25F80ECA0E8FEA41C737A16695ED45E582635FC822BB3328DE860
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,raw_both,1129.87,11.3,1.297,4.734,88.37,5820,5143,677,4935.16,3805.3,4,1,-302.55,602.13,3.734,302.55,267.82,3.734,4.219,9063,9063,109,25,3.08,0,0,-543.78,-67.35,1674,570,-3711.8,5250,4841.67,"{""target"":5250,""session_flatten"":570}",oos-session-window-5w-oos2-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,6BB1B1BDB25ABCF5FEA8B2E97CD848BFBAE7C969E2C36B9E31EFBE3357978981
window_cell_rule,oos2,OOS2,2023-11-12,2023-12-16,5,2023-11-13T00:00:00.000Z..2023-12-11T00:00:00.000Z,adr0075_ma25,ADR 0.075 / MA25,0.075,25,david_contra,486.44,4.86,1.238,3.124,88.56,2954,2616,338,2532.7,2046.26,4,1,-229.01,314.29,2.124,229.01,202.17,2.124,2.406,4692,4692,90,25,3.08,0,0,-281.52,-40.22,906,282,-1991.43,2672,2477.87,"{""session_flatten"":282,""target"":2672}",oos-session-window-5w-oos2-adr0075_ma25-s020-exp010-rsi506040-stoch100-3-100-6040,09240EE1B2BC76294690A03D96807399502941383E91076254CE241650996135
