variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,1687.679701,-79.08,-22.708445,1585.891256,-1142.431977,-17.712789,10425.74649,11585.891256,425.74649,349,137,212,1318,243,356,146,213,18,574.382636,50E4033897DBD6E992C4CEB3CFA181B9C324E1612722D0997A91F6A64049C2CB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,2547.306539,-122.28,-83.374498,2341.652041,-1774.373678,-37.969934,10529.308429,12341.652041,103.561939,382,213,169,2038,381,382,221,213,21,2714.536803,2991888A466AB07655E11AA1984BE6D0E19A4A6E211B6C4E9AE83E9B71EB3B65
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,3354.636045,-169.62,-171.684759,3013.331286,-1817.81057,-74.115077,11121.405639,13013.331286,592.09721,444,212,232,2827,523,444,273,232,24,4414.701385,7D6E91BDDC8AD938B7BD3EB078CD4C390A65081AB74E28419D830B6CD9B9E4F5
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,4330.215838,-225.78,-330.604568,3773.83127,-2341.553341,-14.665309,11417.61262,13773.83127,296.206981,502,186,316,3763,687,502,273,316,35,7538.261104,A64408480CEC3D285D708334F2B9BFC1038F349B2A25AEE5154C23AB9717C914
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,5237.711702,-277.62,-422.369733,4537.721969,-2784.536401,1.809823,11754.995391,14537.721969,337.382771,504,184,320,4627,848,514,273,358,53,10236.102075,8F80DA4318FD10EAA632D48F2C1BC76503017E5366A4A597C8E9D4598BC82AFA
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-03T23:00:00.000Z,28,1012.837061,-42.48,-17.145491,953.21157,-240.391363,-5.655691,10707.164516,10953.21157,707.164516,114,56,58,708,151,115,60,59,10,363.556246,A10EC1CE189367869EAC658BE357609F3330B7B1ED8107FCBD9ED3A0732359F9
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-10T23:00:00.000Z,28,1367.488627,-65.4,-32.986599,1269.102028,-1303.835295,-31.079766,9934.186967,11269.102028,-772.977549,230,133,97,1090,212,230,133,97,21,883.427771,B73B99C66AE9DAF0FEB21A9C3ECF33ECEC1A25AA367905676CAF2050AFF84D8E
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-17T23:00:00.000Z,28,1768.720106,-89.64,-91.349602,1587.730504,-1133.328391,-53.446549,10400.955564,11587.730504,466.768597,268,131,137,1494,279,268,176,137,24,1930.360407,9BBA6ADEF1B7AB8B6213088D09707E4832F73E4A371F5881B42ABB97C663A847
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-24T23:00:00.000Z,28,2339.634689,-117.24,-204.010252,2018.384437,-1162.089919,5.802666,10862.097184,12018.384437,461.14162,255,72,183,1954,368,284,176,183,35,3986.07707,9015DAFD40370F6DCD4BC1A1E7B418A29C102CAFC9027D909A929B63631B75A2
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-31T23:00:00.000Z,28,2717.373193,-141.78,-232.997614,2342.595579,-1963.294996,5.640809,10384.941392,12342.595579,-477.155792,287,86,201,2363,434,287,176,208,53,5079.687483,F14DCEEC895EC1C3420A78D28C66AEE809C6AD27A49CD0CF73F7A32AC4EA4300
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,1101.081392,-48.24,-16.307624,1036.533768,-362.217464,-10.541126,10663.775178,11036.533768,663.775178,167,76,91,804,157,176,85,95,17,365.213195,21CF0A9A88C53589B4374631D61D63D13EE9DC9AFC743E954DE9079845C19669
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,1648.455617,-75.66,-61.736519,1511.059098,-761.358867,-19.207406,10730.492825,11511.059098,66.717647,209,150,59,1261,243,215,162,101,17,1479.569445,81721F025B01336A9511981188BB532A7F2333730A75E3165A1FAA7EF6FFEB56
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,2335.427922,-109.68,-135.936501,2089.811421,-562.392855,-31.765517,11495.653049,12089.811421,765.160224,190,106,84,1828,358,225,178,101,17,2788.9125,3121C53D6DFFD65F8C9780211FEA53B2DF6A5BE33814B4B406D73D8FA9E0C076
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,2978.668756,-146.04,-201.505265,2631.123491,-959.115053,-24.540876,11647.467562,12631.123491,151.814513,245,93,152,2434,464,256,178,159,21,4245.65,A33698BDE4D841E81EC4B46429F9A99E3B51B4B7D4A2148530B320BF0803E202
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,3743.072283,-184.2,-258.601132,3300.271151,-1074.850603,-3.631794,12221.788754,13300.271151,574.321192,242,99,143,3070,591,267,178,178,25,5697.099305,51901C1498CD3E21E307A2F77329DA7CD4C864FFD926857444F2BCC777959A52
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-03T23:00:00.000Z,28,695.587779,-33.12,-12.688749,649.77903,-339.693318,-8.301236,10301.784476,10649.77903,301.784476,150,63,87,552,102,159,72,91,16,222.718057,6F9AC5311B8E176D305A5866BC805D39CB27D0E2D38798EEB3AAD47ABB48E302
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-10T23:00:00.000Z,28,1179.27476,-56.1,-48.514716,1074.660044,-660.744751,-17.619859,10396.295434,11074.660044,94.510958,176,140,36,935,177,183,151,91,16,1213.620143,293ADF9B22097BE9E4795B3C185306562DFB49A3BF22710CBDF1C5C24F858625
RAW_GRID_T100_S020_GATE90_DAVID_STOCH_RELEASE,2026-05-17T23:00:00.000Z,28,1805.861741,-84.12,-125.40625,1596.335491,-404.956518,-19.402246,11171.976727,11596.335491,775.681293,139,75,64,1402,275,185,151,91,16,2384.6132,FAE0E868FD38554952D316CDE7444EF2039A934237F9F98279F91E9B58CC8E90
