variant_id,pair,side,close_reason,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-05T09:56:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.309977,1.307384,-0.06,-0.012991,1.234393,-0.118417,0.323907,0,1,0.141667,E552E7BC0E1F6301B69387BB3AE420CE846B1DC9C28C7D2DF92345DA30673B53
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,session_flatten,2026-05-05T20:00:00.000Z,2026-05-03T23:00:00.000Z,4,3,0,-0.550764,-2.326805,-0.24,0.011035,-2.55577,-1.244243,0.131997,0,,0.392361,D0178CB344D36F51BA1042B7497B21E1A5236C43EDB6DE53D68D77981E020FBB
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-06T12:21:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.172226,0.73525,-0.06,-0.000255,0.674995,-0.031001,0.172226,1,2,0.002778,2549A42C12D258AACA577A46C5B9376191FAD635B734FC70397C5E4759F625AC
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-06T13:15:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.168774,0.719957,-0.06,-0.000382,0.659575,0,0.168774,2,3,0.004167,E82B15B06873CD3848EAC80C2912FBB3A742441B01E947958E22A0AD440E240C
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-06T13:36:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.120526,0.514136,-0.06,-0.000955,0.453181,-0.044767,0.120526,3,4,0.010417,96D657C62A0369CCB40CA6B1CC9631ED67CD03C2E4C05CAD940CAB90B7F94606
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-06T14:10:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.103287,0.440632,-0.06,-0.000127,0.380504,-0.022379,0.103287,4,5,0.001389,45454AD2F71909C3CE7B11DC12255A8D96ADB661CA993F8DA95573B6A4006791
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,session_flatten,2026-05-06T20:00:00.000Z,2026-05-03T23:00:00.000Z,9,8,0,-5.98736,-25.405929,-0.54,0.063264,-25.882666,-8.718682,0.017327,0,,0.913194,F9E112FF2DDF97100F4CB18393B756FC47C4856D7CDE030AA5E8954852C74D92
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,SHORT,target,2026-05-07T15:56:00.000Z,2026-05-03T23:00:00.000Z,3,2,0,0.268878,1.151128,-0.18,0.017125,0.988253,-0.920161,0.268878,0,1,0.74375,B6729AAF3EB71381A81F2F39C39535D7B325FECCE73D4D9DA580370816E0BEE1
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,session_flatten,2026-05-07T20:00:00.000Z,2026-05-03T23:00:00.000Z,3,2,0,-0.217911,-0.930296,-0.18,-0.027319,-1.137615,-0.579069,0.166941,5,,0.164583,0A0F96A2C65490BEFD4C7A277172B16C122E224173A14A5EC2651ACEF2099DF3
RAW_GRID_T100_S020_GATE90_RAW_BOTH,AUDCAD,LONG,target,2026-05-08T05:31:00.000Z,2026-05-03T23:00:00.000Z,1,0,0,0.406491,1.728686,-0.06,-0.028402,1.640284,-0.074063,0.406491,5,6,0.309722,53CAFE0A5F48679A059E67A73B2E7CC4F9FBE8A46286339C3A15D80F1C427251
