variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,253.728851,-44.52,-3.774684,205.434167,-88.458504,-0.027528,10116.948135,10205.434167,116.948135,75,14,61,742,325,82,22,63,10,139.852777,D5F6CB5A43879DCF59AEDD255AFC85DDD0FDD2F12DDA87A7A3258BC2881FE563
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,480.115105,-97.44,-10.590821,372.084284,-185.035357,-2.762196,10184.286731,10372.084284,67.338596,103,67,36,1624,751,103,71,63,10,482.837494,66FE8E37EFCDA078A15DA8F1EF25A9BE66AD151F974C9B346B8E01EF3542CEA4
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,576.847505,-164.28,-33.409101,379.158404,-52.498757,-0.736572,10325.923075,10379.158404,141.636344,62,36,26,2738,1346,104,71,63,10,953.519433,B300B1CCB7B3C7CDC30D8965A3B39B99979C91AF2B0BCD8A615C82FC43663252
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,571.264793,-218.58,-48.612042,304.072751,-157.25905,-1.212006,10145.601695,10304.072751,-180.32138,111,45,66,3643,1697,113,71,72,16,1321.320817,239207A7708634C7A91301A2CA798D3C5EC46F0C8231A39C6FAAB46CD4337916
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,636.843062,-274.86,-64.145702,297.83736,-114.971111,-0.492411,10182.373838,10297.83736,36.772143,107,71,36,4581,2078,124,82,72,16,1826.461089,B12274446B197BCB9127349FCA7D8AC8F47811B75B04CB0036B20669DD84E7EC
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,233.949493,-23.94,-2.627688,207.381805,-42.940945,-0.079206,10164.361654,10207.381805,164.361654,52,13,39,399,181,55,19,41,8,76.125001,5E3CB7E6752EF89C46D6B2987DE570FDFD4A0835B0690B76E27EF413651A19FF
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,384.027992,-48.72,-6.597488,328.710504,-23.692568,-0.894378,10304.123558,10328.710504,139.761904,34,24,10,812,390,55,26,41,10,272.338194,EE29D7FF0E7D78F7CFE1E50237C3F75056A606975DAE4713C516FDF51E5AEC7A
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,609.328062,-80.64,-15.76264,512.925422,-43.224532,-0.578604,10469.122286,10512.925422,164.998728,44,27,17,1344,687,58,40,41,10,448.829858,2184F73DB1CFC58D985B8580C0A827C2F2E3DA8335F4F04153CDF38089FF928E
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,704.740473,-110.22,-25.469637,569.050836,-118.470902,-1.030014,10449.54992,10569.050836,-19.572366,79,37,42,1837,873,82,40,48,10,670.908328,268426FAAD75F665EB30143C9ED837051CE72EEA6AED487BD048191E10ADDD69
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,804.123476,-139.02,-35.713345,629.390131,-88.335991,-0.171845,10540.882295,10629.390131,91.332375,73,40,33,2317,1090,93,49,51,10,972.789576,B2EB2AA245CA67B5C62763101C71314F3194E47D484EC253B9A494EBC982D6F1
