variant_id,week_open_utc,pairs_replayed,closed_price_pnl_usd,realized_commission_usd,realized_swap_usd,realized_net_usd,open_price_pnl_usd,open_swap_usd,equity_usd,balance_usd,equity_delta_usd,open_positions,long_positions,short_positions,fills_opened,target_reset_count,max_open_positions_to_date,max_long_positions_to_date,max_short_positions_to_date,max_add_depth_to_date,position_days_closed_to_date,content_hash
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-03T23:00:00.000Z,28,706.928273,-59.94,-9.629878,637.358395,-396.706685,-2.517343,10238.134367,10637.358395,238.134367,121,31,90,999,565,130,40,93,16,243.618751,D6A4F522DBF1C8D6A01781874BDB175C7295BBBAA682937CBB37E4879659CB1E
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-10T23:00:00.000Z,28,1292.44088,-111.96,-27.334814,1153.146066,-596.190458,-7.463197,10549.492411,11153.146066,311.358044,162,110,52,1866,1072,162,115,93,16,1081.249306,428B86FA8194E39225EE3BCCB7E6FC5B24CB16E9DD1935EDB91384CB0EA6831D
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-17T23:00:00.000Z,28,1912.094456,-177.72,-75.499198,1658.875258,-72.788921,-1.110868,11584.975469,11658.875258,1035.483058,65,40,25,2962,1720,166,115,93,16,2055.8625,2711399C2FC812D3134F97A448CE6995A9650CE6DD0655ABD5C7807B830CCBE9
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-24T23:00:00.000Z,28,2386.047748,-234.12,-96.137988,2055.78976,-821.923526,-8.928614,11224.93762,12055.78976,-360.037849,197,101,96,3902,2167,202,115,102,25,2570.607639,A1738C8E64ADE68A452F3C87E66B3B9DF68ACD26ED833EC4CDE9AFCABBED9191
RAW_GRID_T100_S020_GATE90_RAW_BOTH,2026-05-31T23:00:00.000Z,28,2946.270587,-292.8,-137.589198,2515.881389,-683.144754,-2.092018,11830.644617,12515.881389,605.706997,181,87,94,4880,2683,212,115,136,25,3587.396528,8DE72A69499B89EF080ABAFC63544160E3739D0E8ABED3F4EC6421562C8B2A65
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-03T23:00:00.000Z,28,322.786302,-24.9,-6.368786,291.517516,-14.09975,0.002311,10277.420077,10291.517516,277.420077,20,4,16,415,271,23,13,19,10,113.879857,9E06C5FB86AF536392C994951C7D2ACBB60B42D5A53797809FD33611CA72FC66
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-10T23:00:00.000Z,28,644.443389,-56.1,-10.122796,578.220593,-403.263283,-5.641086,10169.316224,10578.220593,-108.103853,93,67,26,935,561,93,67,27,14,292.193047,1608ABF8F8B193B95C376E174D781EAA0366B5E54196D2C646BC41AC999C852E
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-17T23:00:00.000Z,28,957.409372,-88.86,-42.544673,826.004699,-28.502001,-0.407176,10797.095522,10826.004699,627.779298,32,20,12,1481,866,97,73,32,15,855.936096,1429737CF594F82A8129C9ED362BCFE76350C88FFC8FAE7B2D04BD1356212428
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-24T23:00:00.000Z,28,1231.401535,-116.88,-51.049525,1063.47201,-251.547323,-1.509278,10810.415409,11063.47201,13.319887,92,39,53,1948,1103,103,73,59,17,1104.566647,F4C336814FD4453C9FBC9644BC285467B74EB0F45FCAFBCCDFDE792D0203674C
RAW_GRID_T100_S020_GATE90_CANDIDATE_B,2026-05-31T23:00:00.000Z,28,1493.61325,-147.06,-62.721423,1283.831827,-450.89571,-1.712168,10831.223949,11283.831827,20.80854,105,49,56,2451,1347,110,73,77,17,1594.154837,050D3DA0BA36096E5D356EE75C7527A2B6E2B5C902C6029C238D30C109B5E8D4
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-03T23:00:00.000Z,28,508.438176,-34.08,-2.83234,471.525836,-160.043699,-1.122092,10310.360045,10471.525836,310.360045,65,19,46,568,322,72,26,49,13,79.12153,4D9AF40DC7A5C684AA8B26BB5568F679F30A5E4206E39D17A66C4727A6AEB661
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-10T23:00:00.000Z,28,854.433463,-63.84,-12.932712,777.660751,-400.028015,-6.5033,10371.129436,10777.660751,60.769391,103,85,18,1064,587,103,87,49,14,479.888892,F854D64EF59EEDCF54F82C9D305792CDEDE7E7C8E86C5934DA99B0185F3F85F1
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-17T23:00:00.000Z,28,1229.359029,-98.52,-50.485854,1080.353175,-53.930378,-0.767363,11025.655434,11080.353175,654.525998,41,25,16,1642,946,110,92,49,15,1067.82917,35519E2E5148A2FDC4BBB8617D6C4C31D4357C5D15D00FB54BD92BC14AD0111C
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-24T23:00:00.000Z,28,1527.334629,-131.7,-63.218025,1332.416604,-326.01244,-4.758537,11001.645627,11332.416604,-24.009807,111,60,51,2195,1190,117,92,57,21,1412.757642,0AD1CE9FC7E3386E4452EA0DFA6634A134CD84823F99BEBB8642DED2E08AFC60
RAW_GRID_T100_S020_GATE90_DAVID_CONTRA,2026-05-31T23:00:00.000Z,28,2114.902158,-167.94,-85.166479,1861.795679,-258.627015,-2.453659,11600.715005,11861.795679,599.069378,113,62,51,2799,1505,121,92,75,21,1959.087502,0E435A842DB434A81354FB355988742259F8509128FF6601FE5EA399BC598CC6
