variant_id,activation_rule_id,protection_mode,cycle_id,pair,side,close_reason,start_timestamp_utc,close_timestamp_utc,anchor_week_open_utc,fill_count,adverse_fill_count,expansion_fill_count,price_pnl_adr,price_pnl_market_pct,price_pnl_usd,commission_usd,swap_usd,net_usd,min_pnl_adr,max_pnl_adr,min_pnl_market_pct,max_pnl_market_pct,min_pnl_timestamp_utc,max_pnl_timestamp_utc,first_mfe_0_5q_timestamp_utc,first_mfe_1q_timestamp_utc,first_mfe_2q_timestamp_utc,first_mfe_3q_timestamp_utc,first_mae_0_5q_timestamp_utc,first_mae_1q_timestamp_utc,first_mae_2q_timestamp_utc,first_mae_3q_timestamp_utc,reset_ordinal_at_start,completed_reset_ordinal,max_fill_age_days,cycle_spacing_adr,cycle_signal_adr_brick,reversion_target_price,triangle_trigger_key,content_hash
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|1,AUDCHF,SHORT,session_flatten,2019-04-15T13:23:00.000Z,2019-04-15T20:01:00.000Z,2019-04-14T23:00:00.000Z,2,1,0,0.189403,0.134584,0.969998,-0.12,0.003389,0.853387,-0.166093,0.244276,-0.11802,0.173575,2019-04-15T18:32:00.000Z,2019-04-15T14:42:00.000Z,2019-04-15T13:51:00.000Z,2019-04-15T14:33:00.000Z,,,2019-04-15T15:51:00.000Z,2019-04-15T18:31:00.000Z,,,0,,0.276389,0.134491,0.033623,0.718775,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-15|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-15T13:23:00.000Z|range_0.448305|pe_0.333328|cost_0.05|q_0.134491|brick_0.033623|target_session_mid,60999466FE1E39A66498193745AF38E65C22A19FFD1996B900AA1EB20444C211
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|LONG|2,AUDCHF,LONG,target,2019-04-16T01:32:00.000Z,2019-04-16T11:50:00.000Z,2019-04-14T23:00:00.000Z,5,4,0,1.766565,1.255264,9.009993,-0.3,-0.166206,8.543786,-1.251354,1.766565,-0.889172,1.255265,2019-04-16T08:38:00.000Z,2019-04-16T11:50:00.000Z,2019-04-16T01:33:00.000Z,2019-04-16T08:59:00.000Z,2019-04-16T09:00:00.000Z,2019-04-16T09:01:00.000Z,2019-04-16T01:36:00.000Z,2019-04-16T01:37:00.000Z,2019-04-16T01:48:00.000Z,2019-04-16T01:56:00.000Z,0,1,0.429167,0.110346,0.027586,0.71991,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-16|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|LONG|2019-04-16T01:32:00.000Z|range_0.411109|pe_0.137177|cost_0.05|q_0.110346|brick_0.027586|target_session_mid,567B33BF17B78FA8F56FA53BE981E75EE377DCB3D70394BFE0968CF1613D82FA
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|3,AUDCHF,SHORT,session_flatten,2019-04-16T11:54:00.000Z,2019-04-16T20:00:00.000Z,2019-04-14T23:00:00.000Z,5,4,0,-1.139817,-0.809917,-5.839994,-0.3,0.013382,-6.126612,-1.286102,0,-0.913863,0,2019-04-16T17:11:00.000Z,,,,,,2019-04-16T12:00:00.000Z,2019-04-16T12:03:00.000Z,2019-04-16T12:52:00.000Z,2019-04-16T13:43:00.000Z,0,,0.3375,0.103245,0.025811,0.71991,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-16|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-16T11:54:00.000Z|range_0.411109|pe_0.009056|cost_0.05|q_0.103245|brick_0.025811|target_session_mid,642D12E05ACFE8CA8ABA781DEA2AB629805DFBB50AD3F9F76A2FEF354197D271
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|LONG|4,AUDCHF,LONG,target,2019-04-17T01:12:00.000Z,2019-04-17T02:00:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.18728,0.133075,0.960002,-0.06,-0.003057,0.896945,-0.031213,0.18728,-0.022179,0.133075,2019-04-17T01:28:00.000Z,2019-04-17T02:00:00.000Z,2019-04-17T01:53:00.000Z,2019-04-17T02:00:00.000Z,,,,,,,1,2,0.033333,0.116587,0.029147,0.722015,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|LONG|2019-04-17T01:12:00.000Z|range_0.432643|pe_0.144543|cost_0.05|q_0.116587|brick_0.029147|target_session_mid,6600F3F826EA64DCFB1AB9FEE2205DED8AC98F0A6F45F118314433742ECC26AA
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|5,AUDCHF,SHORT,session_flatten,2019-04-17T02:01:00.000Z,2019-04-17T20:00:00.000Z,2019-04-14T23:00:00.000Z,6,5,0,-0.063877,-0.045389,-0.319994,-0.36,0.040674,-0.63932,-2.091449,1.684024,-1.486117,1.196614,2019-04-17T13:31:00.000Z,2019-04-17T14:13:00.000Z,2019-04-17T03:20:00.000Z,2019-04-17T03:20:00.000Z,2019-04-17T03:22:00.000Z,2019-04-17T14:03:00.000Z,2019-04-17T02:02:00.000Z,2019-04-17T02:02:00.000Z,2019-04-17T02:05:00.000Z,2019-04-17T02:06:00.000Z,0,,0.749306,0.116657,0.029164,0.722015,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-17|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-17T02:01:00.000Z|range_0.432643|pe_0.145658|cost_0.05|q_0.116657|brick_0.029164|target_session_mid,81BEB85AE420DCE349BC7C0A1090CAE5BA0BDF8F461A1A5180DAF83D8D62766C
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|6,AUDCHF,SHORT,target,2019-04-18T01:32:00.000Z,2019-04-18T02:11:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.375709,0.266967,1.939997,-0.06,0.000271,1.880268,0,0.375709,0,0.266967,,2019-04-18T02:11:00.000Z,2019-04-18T01:35:00.000Z,2019-04-18T01:40:00.000Z,2019-04-18T02:11:00.000Z,,,,,,0,1,0.027083,0.18523,0.046307,0.72478,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-18T01:32:00.000Z|range_0.657775|pe_0.224436|cost_0.05|q_0.18523|brick_0.046307|target_session_mid,3B68C95F8705987F843548227B80496C6D514FFD1C4357D0A510371D57D69D9E
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|7,AUDCHF,SHORT,target,2019-04-18T02:35:00.000Z,2019-04-18T03:35:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.172604,0.122647,0.89,-0.06,0.000417,0.830417,-0.011636,0.172604,-0.008268,0.122647,2019-04-18T03:20:00.000Z,2019-04-18T03:35:00.000Z,2019-04-18T02:36:00.000Z,2019-04-18T03:35:00.000Z,,,,,,,1,2,0.041667,0.168127,0.042032,0.72478,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-18T02:35:00.000Z|range_0.657775|pe_0.043819|cost_0.05|q_0.168127|brick_0.042032|target_session_mid,936D104D180F207F76A2D50DECA05556D0235FAAB611B26C94E0B7144FE28E6B
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|SHORT|8,AUDCHF,SHORT,target,2019-04-18T06:14:00.000Z,2019-04-18T07:53:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.205562,0.146066,1.059999,-0.06,0.000688,1.000686,-0.031029,0.205562,-0.022048,0.146066,2019-04-18T06:26:00.000Z,2019-04-18T07:53:00.000Z,2019-04-18T07:14:00.000Z,2019-04-18T07:53:00.000Z,,,,,,,2,3,0.06875,0.166812,0.041703,0.72478,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|SHORT|2019-04-18T06:14:00.000Z|range_0.657775|pe_0.028389|cost_0.05|q_0.166812|brick_0.041703|target_session_mid,96AD8C6AFBA86377F1340BBA96A58202B772677E6AA731CD82A971018F353FB0
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|LONG|9,AUDCHF,LONG,target,2019-04-18T08:02:00.000Z,2019-04-18T13:02:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.221663,0.157507,1.140002,-0.06,-0.019104,1.060898,-0.093332,0.221663,-0.066319,0.157507,2019-04-18T09:27:00.000Z,2019-04-18T13:02:00.000Z,2019-04-18T12:01:00.000Z,2019-04-18T12:57:00.000Z,,,2019-04-18T09:27:00.000Z,,,,2,3,0.208333,0.167304,0.041826,0.72478,2019-04-14T23:00:00.000Z|AUDCHF|asia_london|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|LONG|2019-04-18T08:02:00.000Z|range_0.657775|pe_0.034191|cost_0.05|q_0.167304|brick_0.041826|target_session_mid,2321D1478144AD7CB66D122F1C250A33538DDF39147380A5E9B47BB602FDFF6C
RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY,triangle_formulaic_directionless_geometry,baseline,RAW_GRID_T100_S020_GATE90_TRIANGLE_FORMULAIC_DIRECTIONLESS_GEOMETRY|AUDCHF|LONG|10,AUDCHF,LONG,target,2019-04-18T14:38:00.000Z,2019-04-18T15:44:00.000Z,2019-04-14T23:00:00.000Z,1,0,0,0.221504,0.157394,1.140002,-0.06,-0.004203,1.075799,-0.03886,0.221504,-0.027613,0.157394,2019-04-18T14:41:00.000Z,2019-04-18T15:44:00.000Z,2019-04-18T14:50:00.000Z,2019-04-18T15:44:00.000Z,,,,,,,3,4,0.045833,0.208374,0.052093,0.72538,2019-04-14T23:00:00.000Z|AUDCHF|ny|2019-04-18|triangle_v1_geometry|gate91_formulaic_directionless_grid_geometry_scaffold_2026_07_03|LONG|2019-04-18T14:38:00.000Z|range_0.814388|pe_0.045849|cost_0.05|q_0.208374|brick_0.052093|target_session_mid,3FF56C13292AA346A59F37BC032129032E991A17DB3B869DFCEDBAA8FE050ECC
